id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
0,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],45547.33973699536,14650.0,49584000000.0,252906.8771771663,112.95902915775581,12.799999999995313,64.0,53.47693405689553,3.1603518724792012,0.9171668072020237,0.0,2.164674371310947,[1. 0. 0. 0.],0.0,0.0,5.1005743219015466e-06,122976190.47699036,[0. 0. 0. 0.],0.0,0.0
1,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],48681.30986811028,20547.0,102441000000.0,1027887.3439488966,120.73138700487735,12.799999999995313,64.0,75.11490681655933,5.290742252510629,1.5184266653439809,0.0,4.837656862258816,[1. 0. 0. 0.],0.0,0.0,1.0033944845802917e-05,254069940.47784302,[0. 0. 0. 0.],0.0,0.0
2,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],47742.938395270554,18587.0,74446500000.0,1398883.2099729562,118.40419224062916,12.799999999995313,64.0,67.43881517538927,4.5874627086957425,1.3189325926293338,0.0,3.6545310252467638,[1. 0. 0. 0.],0.0,0.0,1.8790449651400083e-05,184639136.90596285,[0. 0. 0. 0.],0.0,0.0
3,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],48783.177307899576,20729.0,103197000000.0,1030901.352858509,120.98402189349677,12.799999999995313,64.0,75.57595253058022,5.279511105399754,1.5211547046277467,0.0,4.863548435097465,[1. 0. 0. 0.],0.0,0.0,9.989644591010485e-06,255944940.47785524,[0. 0. 0. 0.],0.0,0.0
4,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],45619.20865638681,14564.0,49555500000.0,359355.15651164803,113.13726664446682,12.799999999995313,64.0,52.87127436597275,3.1508706796664416,0.9081394772084718,0.0,2.1564406527453994,[1. 0. 0. 0.],0.0,0.0,7.251569583833238e-06,122905505.95318037,[0. 0. 0. 0.],0.0,0.0
5,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],46410.69757356875,16157.0,74868000000.0,290283.3707561816,115.10018742513847,12.799999999995313,64.0,58.95823786489672,3.605041414306196,1.0409701899707355,0.0,3.2169535241307474,[1. 0. 0. 0.],0.0,0.0,3.877268936744425e-06,185684523.81073156,[0. 0. 0. 0.],0.0,0.0
6,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],48054.83640211445,18919.0,109915500000.0,639686.7724966828,119.17771043626263,12.799999999995313,64.0,69.0581121000314,4.729862106301725,1.371459749020386,0.0,5.129061058479242,[1. 0. 0. 0.],0.0,0.0,5.819804963782931e-06,272607886.906535,[0. 0. 0. 0.],0.0,0.0
7,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],48044.879086732566,18978.0,110434500000.0,1563444.9817781078,119.15301593851594,12.799999999995313,64.0,68.99176630359,4.90187327223375,1.3999801597142998,0.0,5.23823223054412,[1. 0. 0. 0.],0.0,0.0,1.4157215197950892e-05,273895089.2874958,[0. 0. 0. 0.],0.0,0.0
8,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],48051.80055545001,18947.0,110406000000.0,677433.4745392932,119.170181428119,12.799999999995313,64.0,69.05505875824883,4.691374784550217,1.3790982590149299,0.0,5.162194335598433,[1. 0. 0. 0.],0.0,0.0,6.135839307096473e-06,273824404.7636858,[0. 0. 0. 0.],0.0,0.0
9,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],46507.56982519228,16237.0,74464500000.0,343637.112059096,115.34043406871636,12.799999999995313,64.0,59.03586078147082,3.6038322407434045,1.041218193541987,0.0,3.197410842716135,[1. 0. 0. 0.],0.0,0.0,4.61477767337585e-06,184683779.763106,[0. 0. 0. 0.],0.0,0.0
