id,sleep_switches,steps,time,sleep_time,energy_consumption,cell_traffic,cell_dropped_traffic,num_requests,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
0,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],23074.90821243541,23824500000.0,0.0,6924.0,114.44751618111047,12.80000000000204,64.0,50.735415832510235,2.7325684350891897,0.7933736732467017,0.0,1.9170717190754885,[1. 0. 0. 0.],0.0,0.0,0.0,118177083.33298247,[0. 0. 0. 0.],0.0,0.0
1,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],24998.24140313997,49498500000.0,318619.4215055236,9913.0,123.98691302023566,12.80000000000204,64.0,72.44210002947958,4.572371835136892,1.327050887808749,0.0,4.242733855768277,[1. 0. 0. 0.],0.0,0.0,6.436951049133279e-06,245528273.80879483,[0. 0. 0. 0.],0.0,0.0
2,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],24397.19563913132,35713500000.0,87361.2076674531,8726.0,121.00583096484033,12.80000000000204,64.0,63.609540280908824,3.922336796768804,1.1206229540720167,0.0,3.1467116357504215,[1. 0. 0. 0.],0.0,0.0,2.446167630376555e-06,177150297.61852166,[0. 0. 0. 0.],0.0,0.0
3,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],25015.404993306685,48804000000.0,87361.2076674531,9833.0,124.0720414309428,12.80000000000204,64.0,71.61660723087864,4.480187857564433,1.3025493502628707,0.0,4.151572264656284,[1. 0. 0. 0.],0.0,0.0,1.790041956959534e-06,242083333.33261457,[0. 0. 0. 0.],0.0,0.0
4,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],23073.4612616278,23658000000.0,87361.2076674531,6907.0,114.44033955772099,12.80000000000204,64.0,50.3944537351358,2.728208668626266,0.7951592103957941,0.0,1.901398670766789,[1. 0. 0. 0.],0.0,0.0,3.6926708795102333e-06,117351190.47584206,[0. 0. 0. 0.],0.0,0.0
5,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],23626.502043260884,36012000000.0,0.0,7762.0,117.18332528152364,12.80000000000204,64.0,56.7593278467946,3.154420983466644,0.9213371689316536,0.0,2.8531891677412955,[1. 0. 0. 0.],0.0,0.0,0.0,178630952.38042203,[0. 0. 0. 0.],0.0,0.0
6,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],24566.587736741738,52335000000.0,360808.35482027417,8964.0,121.84598619552492,12.80000000000204,64.0,64.96187105762952,4.0565641693659185,1.173296299970241,0.0,4.431703204047218,[1. 0. 0. 0.],0.0,0.0,6.894207601419207e-06,259598214.28494352,[0. 0. 0. 0.],0.0,0.0
7,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],24576.651106210404,52047000000.0,360808.35482027417,8874.0,121.8958987511663,12.80000000000204,64.0,64.88240715604103,4.074494865734762,1.1782561253843864,0.0,4.408689614125583,[1. 0. 0. 0.],0.0,0.0,6.9323564243909195e-06,258169642.85637635,[0. 0. 0. 0.],0.0,0.0
8,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],24494.854082075195,51279000000.0,98739.99469624442,8766.0,121.49019979205991,12.80000000000204,64.0,63.46869510078143,3.924017335171018,1.1302450153754589,0.0,4.2986806864398375,[1. 0. 0. 0.],0.0,0.0,1.9255444664725213e-06,254360119.04686385,[0. 0. 0. 0.],0.0,0.0
9,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],23563.637265561192,35107500000.0,0.0,7634.0,116.87152695943412,12.80000000000204,64.0,55.716763134726705,3.0470705510475575,0.9022914393413352,0.0,2.7567701616903086,[1. 0. 0. 0.],0.0,0.0,0.0,174144345.2375782,[0. 0. 0. 0.],0.0,0.0
10,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],23586.079143360166,35107500000.0,0.0,7659.0,116.98283475528257,12.80000000000204,64.0,56.267604004905614,3.137845406607773,0.9156829679595279,0.0,2.7797837516119435,[1. 0. 0. 0.],0.0,0.0,0.0,174144345.2375782,[0. 0. 0. 0.],0.0,0.0
11,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],24550.79781378187,52180500000.0,233295.17554715637,8879.0,121.76767093433982,12.80000000000204,64.0,64.56439122927793,3.962097696834754,1.1547465529213372,0.0,4.385477631187382,[1. 0. 0. 0.],0.0,0.0,4.470926410194544e-06,258831845.23732677,[0. 0. 0. 0.],0.0,0.0
12,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],24582.18393262824,51558000000.0,676674.035407711,8887.0,121.92334060424687,12.80000000000204,64.0,64.97404655010291,4.091852747718801,1.1748834441027676,0.0,4.417716496379327,[1. 0. 0. 0.],0.0,0.0,1.3124520644860371e-05,255744047.6182883,[0. 0. 0. 0.],0.0,0.0
13,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],24460.00363884185,51585000000.0,504366.4293057164,8728.0,121.3173476780172,12.80000000000204,64.0,63.33712173231422,3.9235877228208773,1.1370895744469796,0.0,4.339053665310981,[1. 0. 0. 0.],0.0,0.0,9.777385466816254e-06,255877976.1897165,[0. 0. 0. 0.],0.0,0.0
14,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],23596.23218594392,34948500000.0,0.0,7487.0,117.03319207392079,12.80000000000204,64.0,54.1999647202814,3.1049379953888985,0.8967364348774923,0.0,2.7657970439440533,[1. 0. 0. 0.],0.0,0.0,0.0,173355654.76139006,[0. 0. 0. 0.],0.0,0.0
15,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],23546.676876218844,34965000000.0,0.0,7514.0,116.78740638934075,12.80000000000204,64.0,54.646077193572275,3.024899166169949,0.8864199980160699,0.0,2.755183017557782,[1. 0. 0. 0.],0.0,0.0,0.0,173437499.99948505,[0. 0. 0. 0.],0.0,0.0
16,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],24546.628592871926,51828000000.0,0.0,8884.0,121.74699232651422,12.80000000000204,64.0,64.61521957147764,4.014185473775705,1.1617895050094236,0.0,4.328935621466124,[1. 0. 0. 0.],0.0,0.0,0.0,257083333.33257005,[0. 0. 0. 0.],0.0,0.0
17,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],24575.20823795209,51684000000.0,285505.3140427312,8893.0,121.88874237651127,12.80000000000204,64.0,64.8141406696244,4.068568745795909,1.1727011209205436,0.0,4.421386767185795,[1. 0. 0. 0.],0.0,0.0,5.524056072338271e-06,256369047.61828646,[0. 0. 0. 0.],0.0,0.0
18,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],24505.976017625115,51774000000.0,256880.37686981822,8874.0,121.54536265065502,12.80000000000204,64.0,64.8123555808651,4.022531749761001,1.164666203749628,0.0,4.323579010018848,[1. 0. 0. 0.],0.0,0.0,4.961570998374053e-06,256815476.1897137,[0. 0. 0. 0.],0.0,0.0
19,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],23576.04893581089,35004000000.0,188500.74871827953,7626.0,116.93308667697113,12.80000000000204,64.0,55.611668933385275,3.1117899194884577,0.9079456403134609,0.0,2.783454022418411,[1. 0. 0. 0.],0.0,0.0,5.3851202353525175e-06,173630952.38043687,[0. 0. 0. 0.],0.0,0.0
20,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],24309.488209882853,32079000000.0,0.0,8795.0,120.57081742824533,12.80000000000204,64.0,63.921599715593814,3.754409309087314,1.096419006050987,0.0,2.630393810137883,[1. 0. 0. 0.],0.0,0.0,0.0,159122023.80905136,[0. 0. 0. 0.],0.0,0.0
21,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],24305.24931049128,35049000000.0,0.0,8642.0,120.5497932273147,12.80000000000204,64.0,63.09148267359273,3.7887500925574473,1.0959230235095725,0.0,3.0220216248388057,[1. 0. 0. 0.],0.0,0.0,0.0,173854166.66615048,[0. 0. 0. 0.],0.0,0.0
