id,sleep_switches,steps,time,sleep_time,energy_consumption,cell_traffic,cell_dropped_traffic,num_requests,avg_pc,avg_tx_power,avg_num_ants,avg_operation_pc,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
0,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21540.60965179146,15517500000.0,168975.96062081098,5097.0,106.83766318713802,12.80000000000204,64.0,106.29439159629035,37.09688381976248,2.3159556559630237,0.6483483781370896,0.0,1.3504612637635156,[1. 0. 0. 0.],0.0,0.0,1.0889380417000869e-05,76971726.19024765,[0. 0. 0. 0.],0.0,0.0
1,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],22083.41508718557,26683500000.0,225185.51396142232,5398.0,109.52988338054438,12.80000000000204,64.0,108.9874830316311,39.429646059414814,2.7414771949316084,0.7639123102866779,0.0,2.4207915881360975,[1. 0. 0. 0.],0.0,0.0,8.439129573010373e-06,132358630.95198798,[0. 0. 0. 0.],0.0,0.0
2,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21970.87001125527,20701500000.0,390936.80566859315,5491.0,108.97167945270802,12.80000000000204,64.0,108.73447794427142,40.352202612630194,2.8157987414439987,0.7790893760539629,0.0,1.990179545679992,[1. 0. 0. 0.],0.0,0.0,1.8884467582957427e-05,102686011.90445703,[0. 0. 0. 0.],0.0,0.0
3,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],22011.02186375349,26442000000.0,522323.86504852265,5407.0,109.17082563115342,12.80000000000204,64.0,108.88454785637083,39.77337168170303,2.810964416006771,0.7690705287173891,0.0,2.401051482987799,[1. 0. 0. 0.],0.0,0.0,1.9753568756089655e-05,131160714.28532487,[0. 0. 0. 0.],0.0,0.0
4,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21506.944040103313,15328500000.0,6815.274601922058,4936.0,106.67068763070455,12.80000000000204,64.0,106.10369982983985,35.807147080481606,2.1863712066255534,0.6097609364150381,0.0,1.3201071322289455,[1. 0. 0. 0.],0.0,0.0,4.446145808084325e-07,76034226.19025044,[0. 0. 0. 0.],0.0,0.0
5,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21438.457490756806,20784000000.0,0.0,4817.0,106.3310063027285,12.80000000000204,64.0,105.7240016116973,34.891060392448026,2.165332730194148,0.5942862811229045,0.0,1.6982442218033926,[1. 0. 0. 0.],0.0,0.0,0.0,103095238.094932,[0. 0. 0. 0.],0.0,0.0
6,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21574.8521626254,27015000000.0,56209.55334061135,4672.0,107.00750006261686,12.80000000000204,64.0,106.4545883580884,34.075173181712735,2.214871222795618,0.6120424561055451,0.0,2.286281122904474,[1. 0. 0. 0.],0.0,0.0,2.0806793759249067e-06,134002976.19007833,[0. 0. 0. 0.],0.0,0.0
7,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21527.954539956736,26847000000.0,349757.29873942974,4578.0,106.77489604184244,12.80000000000204,64.0,106.42318684164188,33.558656327373455,2.1906383897299344,0.6097609364150381,0.0,2.296895149290745,[1. 0. 0. 0.],0.0,0.0,1.3027798217284231e-05,133169642.85674748,[0. 0. 0. 0.],0.0,0.0
8,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21515.504751705244,26293500000.0,390564.32824671664,4662.0,106.71314726567137,12.80000000000204,64.0,106.43382525223474,34.23931841191514,2.2287488882814337,0.6137287967463545,0.0,2.217041960123004,[1. 0. 0. 0.],0.0,0.0,1.4854025833256001e-05,130424107.14246991,[0. 0. 0. 0.],0.0,0.0
9,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21411.162212045423,20197500000.0,300363.0200007405,4667.0,106.19562648568957,12.80000000000204,64.0,105.78103622064171,34.06917174808229,2.0688425819229974,0.5746453724828886,0.0,1.6459676619382997,[1. 0. 0. 0.],0.0,0.0,1.4871296942727589e-05,100186011.90446445,[0. 0. 0. 0.],0.0,0.0
10,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21386.435043186957,20274000000.0,0.0,4630.0,106.07298404516544,12.80000000000204,64.0,105.61177218497609,33.76243364945694,2.031133584638916,0.5694871540521773,0.0,1.64358694573951,[1. 0. 0. 0.],0.0,0.0,0.0,100565476.1901776,[0. 0. 0. 0.],0.0,0.0
11,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21547.569076418407,26925000000.0,0.0,4586.0,106.87218071827097,12.80000000000204,64.0,106.3158589497651,33.411519635726634,2.1591717124914327,0.5992461065370499,0.0,2.2651522666402144,[1. 0. 0. 0.],0.0,0.0,0.0,133556547.61865109,[0. 0. 0. 0.],0.0,0.0
12,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21593.67243979193,26593500000.0,0.0,4647.0,107.10084535160873,12.80000000000204,64.0,106.6510004271569,33.85897522833424,2.175375108383951,0.6135304037297887,0.0,2.255629401845055,[1. 0. 0. 0.],0.0,0.0,0.0,131912202.38056073,[0. 0. 0. 0.],0.0,0.0
13,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21480.998778433823,26740500000.0,97016.58284789827,4552.0,106.54200366249947,12.80000000000204,64.0,106.11433769545502,33.07008410121355,2.124857721487021,0.5904176172998711,0.0,2.2506695764309095,[1. 0. 0. 0.],0.0,0.0,3.628076619655514e-06,132641369.04722524,[0. 0. 0. 0.],0.0,0.0
14,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21415.85478958953,20169000000.0,97016.58284789827,4598.0,106.21890085105038,12.80000000000204,64.0,105.7698197733529,33.73134544191177,2.0710178696970334,0.5716694772344013,0.0,1.6399166749330423,[1. 0. 0. 0.],0.0,0.0,4.810183095240134e-06,100044642.85684583,[0. 0. 0. 0.],0.0,0.0
15,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21368.923924531053,20109000000.0,0.0,4584.0,105.98613195382576,12.80000000000204,64.0,105.47745359544534,33.3135424840149,2.027742938937331,0.5602618787818668,0.0,1.6287074694970738,[1. 0. 0. 0.],0.0,0.0,0.0,99747023.80922766,[0. 0. 0. 0.],0.0,0.0
16,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21615.43315285274,26610000000.0,0.0,4741.0,107.20877468927745,12.80000000000204,64.0,106.71267241515065,34.43880240675492,2.268161052075717,0.6195813907350461,0.0,2.2388651919452434,[1. 0. 0. 0.],0.0,0.0,0.0,131994047.61865573,[0. 0. 0. 0.],0.0,0.0
17,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21528.71765616449,26653500000.0,0.0,4664.0,106.77868096500279,12.80000000000204,64.0,106.21575320706414,33.82198843426333,2.2128232651490083,0.6135304037297887,0.0,2.261085209800615,[1. 0. 0. 0.],0.0,0.0,0.0,132209821.42817889,[0. 0. 0. 0.],0.0,0.0
18,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21564.659997336683,26781000000.0,198526.7120656268,4675.0,106.95694870219238,12.80000000000204,64.0,106.50064628668837,34.24947265116197,2.290583133271479,0.6220613034421189,0.0,2.272988790794564,[1. 0. 0. 0.],0.0,0.0,7.412968599590262e-06,132842261.90436749,[0. 0. 0. 0.],0.0,0.0
19,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21404.863910973276,20464500000.0,196161.1401691721,4717.0,106.16438801196578,12.80000000000204,64.0,105.71522926962452,34.42493348676858,2.0628453428412588,0.57742287471481,0.0,1.6779089376053964,[1. 0. 0. 0.],0.0,0.0,9.585435274214964e-06,101510416.66636528,[0. 0. 0. 0.],0.0,0.0
20,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],22154.974636471998,19821000000.0,222201.661292003,5835.0,109.88480625171916,12.80000000000204,64.0,109.42285002254293,42.33027237851505,3.0869364267951362,0.8482293423271501,0.0,1.8106338656879277,[1. 0. 0. 0.],0.0,0.0,1.1210416290399223e-05,98318452.38066047,[0. 0. 0. 0.],0.0,0.0
21,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],22024.322474856086,20349000000.0,228860.54956743814,5644.0,109.23679434012288,12.80000000000204,64.0,108.8026543776632,41.238298080385945,2.937397221227059,0.788711437357405,0.0,1.902589028866184,[1. 0. 0. 0.],0.0,0.0,1.1246771318857838e-05,100937499.99970031,[0. 0. 0. 0.],0.0,0.0
22,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],22039.83144418073,25881000000.0,231226.12146389284,5209.0,109.31371612032757,12.80000000000204,64.0,108.84996892439418,38.07342325546821,2.7131215008300655,0.7481400654696955,0.0,2.3516516218629104,[1. 0. 0. 0.],0.0,0.0,8.93420352628928e-06,128377976.19009504,[0. 0. 0. 0.],0.0,0.0
