id,sleep_switches,steps,time,sleep_time,energy_consumption,cell_traffic,cell_dropped_traffic,num_requests,disconnects,num_rejects,ant_switches,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[15908. 16065.  1157.     0.],20161.0,403.19999999737746,[188.271 168.618  46.311   0.   ],41127.01446707885,49056000000.0,688405032.1148937,80971.0,183690.0,56176.0,96.0,101.99646462744565,6.7737513020195115,63.91746441148752,62.59264705125814,12.361461852715825,2.0524279549625515,0.016318634988343832,3.959625018600268,[0.467 0.418 0.115 0.   ],0.6937792543009226,0.014033044522890037,121666666.66745803,[39.454 39.844  2.87   0.   ],0.23809523809678673
1,[14756. 14756.     0.     0.],20161.0,403.19999999737746,[194.491 208.709   0.      0.   ],43868.734316577335,98155500000.0,2215816863.643398,158160.0,435375.0,110794.0,408.0,108.79602776791319,6.960369029314763,62.72169039234165,72.35235215915681,22.420599450064405,2.630276275978374,0.01621943355984326,9.136104359902783,[0.482 0.518 0.    0.   ],0.7005184623166414,0.02257455632790213,243441220.23967865,[36.597 36.597  0.     0.   ],1.0119047619113437
2,[16341. 16341.     0.     0.],20161.0,403.19999999737746,[193.391 209.809   0.      0.   ],43191.27422863029,72127500000.0,1830999582.6220798,171002.0,359065.0,130172.0,168.0,107.11590255599997,6.782123902584908,63.69465800307525,70.47627964204669,19.786916225142058,2.519815485342989,0.010812955706562174,6.946183225038441,[0.48 0.52 0.   0.  ],0.7612308627969263,0.025385596098881563,178887648.81068736,[40.528 40.528  0.     0.   ],0.4166666666693768
3,[14432. 14432.     0.     0.],20161.0,403.19999999737746,[195.07 208.13   0.     0.  ],43249.179815299976,97266000000.0,1686691372.7638676,144088.0,416402.0,101449.0,152.0,107.25951047889477,6.988383512723183,62.19631962700263,72.32351234714147,19.069001785477074,2.489559049650315,0.013044987847825009,8.73374336590447,[0.484 0.516 0.    0.   ],0.7040766753650547,0.017341017136140766,241235119.0491881,[35.794 35.794  0.     0.   ],0.376984126986579
4,[16108. 16302.  1111.     0.],20161.0,403.19999999737746,[191.028 168.372  43.8     0.   ],41375.92081112839,48949500000.0,511730897.8837417,59348.0,162001.0,35927.0,136.0,102.61376124976012,6.850017360250704,63.90179058578443,62.59840075763001,11.33424790855065,2.003620852140271,0.016169832845592976,3.8009523337136053,[0.474 0.418 0.109 0.   ],0.6053615960099751,0.010454262002344082,121402529.7626944,[39.95  40.432  2.755  0.   ],0.33730158730378124
5,[16805. 16806.     0.     0.],20161.0,403.19999999737746,[182.487 220.713   0.      0.   ],41811.99418619327,74022000000.0,1352139690.3504176,119574.0,375864.0,84153.0,168.0,103.69523879319655,6.446267546253685,63.960319428599774,63.41745988487989,14.857550526896093,2.061157680670602,0.011408164277565597,6.329249541193393,[0.453 0.547 0.    0.   ],0.7037733955542175,0.018266727329042956,183586309.5250036,[41.679 41.682  0.     0.   ],0.4166666666693768
6,[9.734e+03 1.112e+04 1.727e+03 4.000e+00],20161.0,403.19999999737746,[140.096 161.482 101.173   0.449],36647.70396831347,70540500000.0,1447490615.1672735,80120.0,324443.0,47437.0,2808.0,90.88761462306299,3.920321412628527,34.430236595406974,50.50056652384269,16.64738976178004,2.2369922126878627,0.012548980705322156,7.346361787609742,[0.347 0.401 0.251 0.001],0.5920743884173739,0.020519993693938567,174951636.90589985,[2.414e+01 2.759e+01 4.283e+00 9.921e-03],6.964285714331012
7,[12271. 13355.  1522.     0.],20161.0,403.19999999737746,[175.466 161.371  66.363   0.   ],41784.64835342211,94977000000.0,3061890778.8170905,200455.0,430101.0,151008.0,7084.0,103.62742015133158,6.026367739696205,50.33163037547741,66.56042482004328,28.819142126606668,3.1164128763454193,0.01706264570209811,10.056693616388076,[0.435 0.4   0.165 0.   ],0.7533261829338256,0.032238234296904415,235558035.71581787,[30.434 33.123  3.775  0.   ],17.569444444558723
8,[ 9784. 11305.  1633.     0.],20161.0,403.19999999737746,[141.652 176.601  84.947   0.   ],35857.622328496815,70074000000.0,909092166.5472465,75506.0,329172.0,46071.0,2648.0,88.92818394051505,3.9607162343139186,33.76042855017112,51.34207566137193,12.141417330166183,2.0489559049650317,0.008828927136550766,6.978175685729875,[0.351 0.438 0.211 0.   ],0.6101634307207374,0.012973316302012821,173794642.85827327,[24.266 28.038  4.05   0.   ],6.567460317503034
9,[16419. 16420.     0.     0.],20161.0,403.19999999737746,[189.075 214.125   0.      0.   ],42250.75359776686,72645000000.0,884763948.5454897,107927.0,298109.0,76534.0,64.0,104.78337780310109,6.746451068896199,63.9644858885968,66.38280752613544,13.438284658859587,2.173602499875998,0.007886513565795348,5.9923614900054565,[0.469 0.531 0.    0.   ],0.7091274657870598,0.012179282105382197,180171130.95355284,[40.722 40.724  0.     0.   ],0.15873015873119117
