id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_operation_pc,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
0,[5874. 6028. 1166.    0.],10081.0,201.60000000059856,[66.333 59.245 76.022  0.   ],16300.905302344234,5124.0,6452.0,15372000000.0,602652.5270825131,80.84964439214292,4.948080547564981,64.0,83.57340624794737,38.33172493682009,2.3028549346119433,0.6445789108223391,0.02797341533578018,1.3719869060609067,[0.329 0.294 0.377 0.   ],0.0,0.0,3.9204562001204335e-05,76249999.9997736,[29.137 29.901  5.784  0.   ],0.0,0.0
1,[5.776e+03 5.780e+03 5.000e+00 0.000e+00],10081.0,201.60000000059856,[7.078e+01 1.307e+02 1.150e-01 0.000e+00],18377.22544596593,5792.0,8636.0,26484000000.0,7498024.53236869,91.14782980836578,5.134014482690506,63.99404820950303,92.9880331518485,42.39019864579168,2.823162111162071,0.7917865291141751,0.010217240353139569,2.509175677016169,[3.511e-01 6.483e-01 5.704e-04 0.000e+00],85.0,0.014675414364640885,0.00028311525949134157,131369047.61865757,[2.865e+01 2.867e+01 2.480e-02 0.000e+00],120.0,0.595238095236328
2,[7532. 7533.    0.    0.],10081.0,201.60000000059856,[ 69.551 132.049   0.      0.   ],18176.04224505525,5785.0,8463.0,20494500000.0,7832627.996324621,90.14999625559788,4.863009622061539,64.0,91.40579230398923,42.88029186246656,2.9818415220764285,0.8230334292232914,0.011903580993949014,2.054458883047317,[0.345 0.655 0.    0.   ],18.0,0.003111495246326707,0.00038218195107587994,101659226.19017436,[37.361 37.366  0.     0.   ],0.0,0.0
3,[5720. 6118.  480.    0.],10081.0,201.60000000059856,[70.809 96.044 34.747  0.   ],17804.291175160895,6073.0,10207.0,26811000000.0,7357075.36102872,88.30617585139866,5.143537347485669,63.99880964190061,90.48296719700745,42.51648833384277,2.8967628172429847,0.8044836821743875,0.01775617498264061,2.595972621763714,[0.351 0.476 0.172 0.   ],285.0,0.04692903013337724,0.00027440510838941927,132991071.42817658,[28.373 30.347  2.381  0.   ],24.0,0.11904761904726559
4,[5892. 6076. 1196.    0.],10081.0,201.60000000059856,[66.794 59.439 75.367  0.   ],16346.330053601203,5095.0,6686.0,15307500000.0,3519505.493396441,81.07494322785877,5.0141057434781,64.0,83.96273424043098,38.12161526659427,2.4147483237326703,0.651125880369011,0.025096716595575837,1.3944053169328439,[0.331 0.295 0.374 0.   ],50.0,0.009813542688910697,0.000229920332738621,75930059.52358408,[29.226 30.139  5.933  0.   ],0.0,0.0
5,[5114. 5421.  336.    0.],10081.0,201.60000000059856,[ 59.975 116.573  25.052   0.   ],17033.75159371402,4940.0,6269.0,20629500000.0,3272128.6282977094,84.48443405273117,4.328459478226481,64.0,86.0755582919729,36.510589054454066,2.1771801388288177,0.6044043249677611,0.012300367027080646,1.7403035413153456,[0.297 0.578 0.124 0.   ],21.0,0.004251012145748988,0.00015861405406324483,102328869.04731523,[25.367 26.89   1.667  0.   ],0.0,0.0
6,[3606. 4205.  912.  240.],10081.0,201.60000000059856,[44.06  51.054 61.272 45.214],13233.930014656768,4192.0,17211.0,20854500000.0,8180483.144178832,65.63798241571287,2.879158813609681,32.45114571967067,67.67398252731364,27.640527585620976,1.8192966114295286,0.5003471877789902,0.011407598452534471,1.9601230036702708,[0.219 0.253 0.304 0.224],407.0,0.09708969465648855,0.0003922646500361472,103444940.47588335,[17.887 20.858  4.524  1.19 ],3520.0,17.46031746026562
7,[4361. 5261.  997.    0.],10081.0,201.60000000059856,[54.124 71.066 76.41   0.   ],15515.58178664132,4740.0,13186.0,23574000000.0,12319573.728436941,76.95457686063186,3.7379625037198636,39.93333994643388,79.41365973725118,33.32691284502931,2.305192637410544,0.6296994345799027,0.01210197401051483,2.2528518996131335,[0.268 0.353 0.379 0.   ],269.0,0.056751054852320675,0.0005225915724288174,116934523.80917662,[21.632 26.096  4.945  0.   ],5696.0,28.253968253884366
8,[3523. 4599. 1136.    0.],10081.0,201.60000000059856,[44.435 67.205 89.96   0.   ],14377.802903018362,4175.0,21769.0,20557500000.0,6352597.72264038,71.31139223796141,2.854875508382021,31.47346493403432,73.21267808497959,26.886635385134248,1.9229918766869942,0.5184009522864795,0.011010812419402837,1.9943457990278741,[0.22  0.333 0.446 0.   ],408.0,0.09772455089820359,0.0003090160633657001,101971726.19017343,[17.475 22.812  5.635  0.   ],4432.0,21.984126984061714
9,[5148. 5149.    0.    0.],10081.0,201.60000000059856,[ 60.58 141.02   0.     0.  ],17508.449260282432,4941.0,6387.0,20352000000.0,5443794.3541094735,86.83885160340841,4.372899513937234,64.0,88.18290040284872,37.1153661995618,2.2187886334375913,0.6214661243924214,0.00952286479515921,1.7480408689614126,[0.3 0.7 0.  0. ],12.0,0.0024286581663630845,0.0002674820339086809,100952380.95208122,[25.536 25.541  0.     0.   ],0.0,0.0
