id,sleep_switches,steps,time,sleep_time,energy_consumption,cell_traffic,cell_dropped_traffic,num_requests,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_operation_pc,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
0,[5841. 5999. 1173.    0.],10081.0,201.60000000059856,[65.963 60.838 74.799  0.   ],16280.696756882106,15540000000.0,1366578.2320105145,5100.0,6488.0,80.74941353477656,4.949350262871002,64.0,83.50032162288045,38.4444832549774,2.3128129541970677,0.6471580200376946,0.02479912707072711,1.4064080944350759,[0.327 0.302 0.371 0.   ],0.0,0.0,8.793939716927377e-05,77083333.33310448,[28.973 29.757  5.818  0.   ],0.0,0.0
1,[5810. 5819.   10.    0.],10081.0,201.60000000059856,[ 71.157 130.169   0.274   0.   ],18410.9073439713,26682000000.0,3077036.6841503116,5893.0,8917.0,91.31488614208968,5.159567503224191,63.99404820950303,93.10082662045112,43.00290792523163,2.8596346396962837,0.8074595774228747,0.01011804384485666,2.5452832060311477,[0.353 0.646 0.001 0.   ],121.0,0.020532835567622604,0.00011532256518065781,132351190.47579752,[28.819 28.864  0.05   0.   ],120.0,0.595238095236328
2,[7654. 7655.    0.    0.],10081.0,201.60000000059856,[ 69.796 131.804   0.      0.   ],18189.011118280687,20685000000.0,3276429.1261106418,5681.0,8305.0,90.21431960261444,4.922686241444551,64.0,91.80595183458774,43.043193598023066,2.9623341674143484,0.8238270012895547,0.009622061303442118,2.084813014581887,[0.346 0.654 0.    0.   ],0.0,0.0,0.0001583963802809109,102604166.66636203,[37.966 37.971  0.     0.   ],0.0,0.0
3,[5691. 6117.  504.    0.],10081.0,201.60000000059856,[69.798 94.945 36.857  0.   ],17688.362836543332,26446500000.0,5009446.290879462,5920.0,9678.0,87.73119153130408,5.133379625037497,63.99960321396687,90.24642529923786,43.161798552838555,2.9296578523908465,0.8053764507489336,0.017458585457791886,2.552822140660649,[0.346 0.471 0.183 0.   ],187.0,0.031587837837837834,0.00018941811925507956,131183035.71389623,[28.229 30.342  2.5    0.   ],8.0,0.039682539682421865
4,[5831. 6044. 1165.    0.],10081.0,201.60000000059856,[65.436 59.106 77.058  0.   ],16249.146060398842,15330000000.0,2627602.9633423747,4958.0,6357.0,80.5929275885249,4.868088483285626,64.0,83.29810860872423,37.799569675859246,2.220125537573988,0.6342624739609166,0.026981450252951095,1.3919254042257712,[0.325 0.293 0.382 0.   ],0.0,0.0,0.00017140267210322078,76041666.6664409,[28.924 29.98   5.779  0.   ],0.0,0.0
5,[5041. 5341.  335.    0.],10081.0,201.60000000059856,[ 59.281 117.94   24.379   0.   ],16993.812335512226,20782500000.0,1176325.9253575862,5016.0,6364.0,84.28634230487917,4.286558873127771,64.0,85.75202275286968,37.46149205548351,2.250750911327755,0.6236484475746453,0.013193135601626823,1.7734351750818371,[0.294 0.585 0.121 0.   ],1.0,0.00019936204146730463,5.6601752693736856e-05,103087797.61874154,[25.005 26.493  1.662  0.   ],0.0,0.0
6,[3655. 4218.  871.  236.],10081.0,201.60000000059856,[45.285 50.892 60.796 44.627],13379.714498886196,21118500000.0,2277816.92023808,4231.0,16665.0,66.36104800558209,2.970737030056459,33.696260291637735,68.28928059712337,28.127536212166568,1.8454974692646182,0.5126475548060708,0.012895546076778097,1.9722249776807856,[0.225 0.252 0.302 0.221],380.0,0.08981328291184117,0.00010785884036451831,104754464.28540327,[18.13  20.923  4.32   1.171],3776.0,18.73015873010312
7,[4227. 5163. 1020.    0.],10081.0,201.60000000059856,[52.595 71.398 77.607  0.   ],15389.306649158872,23613000000.0,5493345.071183664,4604.0,13015.0,76.32827422457129,3.6368614224778937,39.17904969745065,78.67489636583497,32.39328182042476,2.1611296203706,0.6057930760837219,0.012201170518797738,2.213570082333102,[0.261 0.354 0.385 0.   ],264.0,0.05734144222415291,0.00023264070940514394,117127976.19012843,[20.967 25.61   5.06   0.   ],5168.0,25.634920634844523
8,[3745. 4760. 1079.    0.],10081.0,201.60000000059856,[46.196 66.202 89.202  0.   ],14599.728734676904,21586500000.0,5036107.722322532,4326.0,20167.0,72.41210561787668,3.089852197202561,33.38676718579506,74.54338029763683,29.246639728345276,1.9674597572796848,0.5335780180537645,0.010614026386271203,2.012201170518798,[0.229 0.328 0.442 0.   ],335.0,0.07743874248728617,0.00023329894713466898,107075892.85682495,[18.576 23.611  5.352  0.   ],4800.0,23.80952380945312
9,[5079. 5079.    0.    0.],10081.0,201.60000000059856,[ 59.76 141.84   0.     0.  ],17440.160310101724,20209500000.0,3760070.2441373253,4883.0,6423.0,86.50015033279709,4.328459478226481,64.0,87.91411881332274,36.617190916417805,2.28816023897775,0.6184902291439341,0.010911615911119929,1.732367820652713,[0.296 0.704 0.    0.   ],24.0,0.004915011263567479,0.00018605459037271212,100245535.71398808,[25.193 25.193  0.     0.   ],0.0,0.0
