id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,cell_traffic,cell_dropped_traffic,disconnects,num_rejects,ant_switches,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[13642. 13637.  1707.     0.],20161.0,403.19999999737746,[152.848 167.058  83.294   0.   ],38148.77965582761,148634.0,36633000000.0,1842728281.343668,327953.0,122358.0,216.0,94.61033593528808,5.49873518178741,63.864292445811216,45.02584451847792,18.163958600862642,1.8464857893953672,0.018997073557859234,3.8054163979961313,[0.379 0.414 0.207 0.   ],0.8232167606335025,0.05030241261550154,90855654.76249571,[33.834 33.822  4.234  0.   ],0.5357142857177701
1,[1.41e+04 1.41e+04 1.00e+00 0.00e+00],20161.0,403.19999999737746,[1.637e+02 2.395e+02 2.900e-02 0.000e+00],42945.68968026416,291043.0,70378500000.0,5608571633.568887,534613.0,239965.0,576.0,106.50684410561082,5.711938891920742,62.17806656415853,53.5764980756787,39.02960180783837,2.614800853132285,0.037299737116214475,8.428847775407966,[4.060e-01 5.940e-01 7.192e-05 0.000e+00],0.8245001597702057,0.07969154832184384,174549851.19161153,[3.497e+01 3.497e+01 2.480e-03 0.000e+00],1.4285714285807205
2,[16224. 16225.     0.     0.],20161.0,403.19999999737746,[155.702 247.498   0.      0.   ],41945.83440440238,305166.0,52836000000.0,5055389844.037598,506904.0,257738.0,304.0,104.02716731412677,5.3414810773282815,63.43415505183275,50.575612953869374,36.290709120894206,2.467982738951441,0.012052973562819305,6.630970685977878,[0.386 0.614 0.    0.   ],0.8445829482969924,0.09568078287602388,131041666.667519,[40.238 40.241  0.     0.   ],0.753968253973158
3,[1.282e+04 1.282e+04 1.000e+00 0.000e+00],20161.0,403.19999999737746,[1.655e+02 2.376e+02 2.900e-02 0.000e+00],43425.9298743548,272422.0,73357500000.0,5464454272.332259,533208.0,221777.0,120.0,107.69785693754105,5.927047269481587,63.31134368334904,54.37696047365035,38.80178135564173,2.617181687416299,0.03799414711571847,8.651505381677497,[4.106e-01 5.894e-01 7.192e-05 0.000e+00],0.8140935754087408,0.07449073744787185,181938244.04880244,[3.180e+01 3.181e+01 2.480e-03 0.000e+00],0.2976190476209834
4,[13753. 13823.  1608.     0.],20161.0,403.19999999737746,[152.753 170.262  80.185   0.   ],38449.19881166911,136387.0,36424500000.0,1775927697.3668246,305582.0,111307.0,176.0,95.35538617049788,5.49837805664482,63.83135757154903,45.27155345153123,17.925291274308826,1.8454441743961114,0.01770745498735182,3.7592381330291156,[0.379 0.422 0.199 0.   ],0.8161115062285995,0.04875640564364163,90338541.66725425,[34.11  34.283  3.988  0.   ],0.4365079365107757
5,[16957. 16958.     0.     0.],20161.0,403.19999999737746,[150.262 252.938   0.      0.   ],40278.57974302898,191048.0,54246000000.0,3284020525.047263,485464.0,152052.0,184.0,99.89231621206491,5.173830663162275,63.91825802291553,48.69607238844677,25.63070919084621,2.092902137790784,0.013491394276077576,5.993799910718715,[0.373 0.627 0.    0.   ],0.7958837569616013,0.06053940428874503,134538690.47706556,[42.056 42.059  0.     0.   ],0.4563492063521746
6,[7.048e+03 8.593e+03 1.939e+03 6.000e+00],20161.0,403.19999999737746,[ 95.021 155.256 152.236   0.687],33870.39715267807,157549.0,38860500000.0,4119570249.9594374,415350.0,125905.0,2256.0,83.99979453567482,2.164456128168256,26.7304201180497,28.422989332201865,32.73220782691239,2.006745697138039,0.028818014979415704,5.969991567878577,[0.236 0.385 0.378 0.002],0.7991482015119106,0.1060091931385195,96380208.33396022,[1.748e+01 2.131e+01 4.809e+00 1.488e-02],5.595238095274488
7,[ 9899. 11447.  1938.     0.],20161.0,403.19999999737746,[134.956 160.211 108.033   0.   ],39330.42444115828,310315.0,65178000000.0,7335717995.881413,540050.0,257064.0,6972.0,97.54085720240576,4.413908040276234,42.96969396359307,44.897642228883015,51.124635094847356,2.929418183621844,0.053618372104558304,9.408313079708348,[0.335 0.397 0.268 0.   ],0.8283969514847815,0.11254898885945279,161651785.71533716,[24.551 28.39   4.807  0.   ],17.291666666779136
8,[6388. 8403. 2118.    0.],20161.0,403.19999999737746,[ 89.069 186.338 127.793   0.   ],34414.64406680288,216540.0,45417000000.0,5608443045.211651,519680.0,176183.0,2272.0,85.34954631912646,2.2173106492733745,26.509200932493428,29.89403687838401,37.468796417708404,2.2329745548335898,0.03209166211993453,7.5877684638658796,[0.221 0.462 0.317 0.   ],0.8136279671192389,0.12348774787440057,112641369.0483517,[15.843 20.841  5.253  0.   ],5.634920634957286
9,[16041. 16042.     0.     0.],20161.0,403.19999999737746,[154.061 249.139   0.      0.   ],40749.54845790593,158501.0,54289500000.0,3009721294.854077,424038.0,122637.0,32.0,101.06033544443645,5.3242200287691785,63.9474232428947,49.23314323169287,24.269427564752043,2.1578790734586577,0.013888199990079857,5.911809930062993,[0.382 0.618 0.    0.   ],0.7737301341947369,0.055438368282155426,134646577.38182816,[39.784 39.787  0.     0.   ],0.07936507936559559
