id,sleep_switches,steps,time,sleep_time,energy_consumption,cell_traffic,cell_dropped_traffic,num_requests,disconnects,num_rejects,ant_switches,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[13678. 13753.  1693.     0.],20161.0,403.19999999737746,[152.109 167.829  83.262   0.   ],38239.80268759119,36615000000.0,1638860382.1357753,144557.0,307153.0,119728.0,152.0,94.83607630472245,5.490164178364984,63.90238579435544,45.001005711072146,16.044490900688526,1.7884529537225335,0.02182431427012549,3.717523932344626,[0.377 0.416 0.207 0.   ],0.8282407631591691,0.04475926210940258,90811011.90535256,[33.924 34.11   4.199  0.   ],0.376984126986579
1,[14072. 14072.     0.     0.],20161.0,403.19999999737746,[163.771 239.429   0.      0.   ],42974.066173550746,71724000000.0,5358725514.034542,271815.0,516653.0,221582.0,496.0,106.57721882235808,5.814195724419197,62.78140965229899,53.560619109855715,37.12747904499169,2.5832051981548534,0.038539754972471606,8.348593819751004,[0.406 0.594 0.    0.   ],0.8151941577911447,0.07471314363441166,177886904.7630618,[34.901 34.901  0.     0.   ],1.2301587301667316
2,[16252. 16252.     0.     0.],20161.0,403.19999999737746,[156.591 246.609   0.      0.   ],41811.01231195101,53557500000.0,5039646337.879268,342250.0,487940.0,296753.0,224.0,103.69280371001176,5.448737661823101,63.876990228659295,51.62928134778994,35.18418884662836,2.422102078269927,0.010713754278061604,6.693814790932989,[0.388 0.612 0.    0.   ],0.8670650109569028,0.09409786375165509,132831101.19134016,[40.308 40.308  0.     0.   ],0.555555555559169
3,[1.264e+04 1.265e+04 4.000e+00 0.000e+00],20161.0,403.19999999737746,[1.615e+02 2.416e+02 1.100e-01 0.000e+00],42771.37534056908,70965000000.0,5579885169.951091,288228.0,520931.0,238052.0,232.0,106.07453831796435,5.705113833639994,61.74237389018402,52.32148178388168,38.58391405875728,2.5759138931600614,0.046376667824016664,8.554039978175686,[4.005e-01 5.992e-01 2.728e-04 0.000e+00],0.8259155945987204,0.07862869259425197,176004464.28685907,[3.136e+01 3.137e+01 9.921e-03 0.000e+00],0.5753968254005679
4,[13960. 13985.  1578.     0.],20161.0,403.19999999737746,[153.285 171.333  78.582   0.   ],38558.46336468692,36511500000.0,2040024497.3429053,159704.0,339170.0,132070.0,336.0,95.62636616409375,5.488576955508957,63.79703387728783,44.74899292587892,19.868459511808176,1.8655324636674768,0.01770745498735182,3.9352214671891277,[0.38  0.425 0.195 0.   ],0.8269673896708911,0.05587347814641703,90554315.47677948,[34.623 34.685  3.914  0.   ],0.8333333333387536
5,[16979. 16980.     0.     0.],20161.0,403.19999999737746,[151.44 251.76   0.     0.  ],40391.29602978839,54139500000.0,3257597736.7126193,187259.0,470948.0,148429.0,200.0,100.17185662860926,5.1910520311499795,63.934328654332624,48.32676157681121,24.730012920445116,2.1160160706314173,0.011308962849065027,5.99652795000248,[0.376 0.624 0.    0.   ],0.7926401401267763,0.0601704437003042,134274553.57230192,[42.111 42.113  0.     0.   ],0.49603174603497235
6,[6.844e+03 8.427e+03 1.917e+03 4.000e+00],20161.0,403.19999999737746,[ 91.461 158.443 152.838   0.458],32936.34615080487,36394500000.0,4044378143.4959927,156045.0,409909.0,126633.0,1992.0,81.68331469372033,2.0118843311342927,25.6001190417142,27.452918210557705,33.4824052947913,1.944000793611428,0.042011804969991566,5.645950101681464,[0.227 0.393 0.379 0.001],0.8115159088724406,0.11112608068515827,90264136.90534902,[1.697e+01 2.090e+01 4.754e+00 9.921e-03],4.940476190508325
7,[10196. 11726.  1969.     0.],20161.0,403.19999999737746,[139.655 154.868 108.677   0.   ],40300.72532942686,66528000000.0,7474616743.933484,324215.0,526846.0,269437.0,7572.0,99.94723805719467,4.661713208670706,43.95099449432072,47.34719873598203,50.80834330063874,3.053221566390556,0.05158474282029661,9.527652398194533,[0.346 0.384 0.27  0.   ],0.8310442144873001,0.11235294528519547,165000000.0010732,[25.288 29.082  4.883  0.   ],18.779761904884055
8,[6329. 8373. 2143.    0.],20161.0,403.19999999737746,[ 88.113 183.14  131.947   0.   ],33110.18380915722,41085000000.0,5027374520.065785,192570.0,464625.0,157376.0,2856.0,82.11443829461193,2.0348197014036935,25.23644660483111,27.833779662663872,32.9526813474735,2.0335300828331926,0.030554039978175684,6.717821536630128,[0.219 0.454 0.327 0.   ],0.8172404839798515,0.12236520676806098,101897321.4292342,[15.697 20.766  5.315  0.   ],7.0833333333794055
9,[16124. 16125.     0.     0.],20161.0,403.19999999737746,[155.032 248.168   0.      0.   ],40857.98824230105,54114000000.0,3227828502.607163,180935.0,420044.0,144886.0,64.0,101.32926998239274,5.367828976738046,63.951589702891724,49.35940375852911,26.419997722929494,2.234611378403849,0.011259362134814741,6.042904617826497,[0.385 0.615 0.    0.   ],0.8007627048387542,0.05964867691553319,134211309.52468248,[39.99  39.993  0.     0.   ],0.15873015873119117
