id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,disconnects,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[3325. 4627. 4058.  514.],20161.0,403.19999999737746,[ 43.781 138.127 152.949  68.343],21840.840919406226,17928.0,70176.0,8918.0,6858.0,7836000000.0,8163842.493930498,54.166065471456676,0.5288626556222527,18.911958732205743,8.350933151349693,0.7446902865574616,0.1930955805763603,0.024453152125390606,0.5320172610485591,[0.109 0.343 0.379 0.17 ],0.7690065037003813,0.0010418379905475367,19434523.809650216,[ 8.247 11.476 10.064  1.275],44.46428571457492
1,[9315. 9628. 2778.   12.],20161.0,403.19999999737746,[110.353 175.562 115.759   1.526],32544.627558175074,23736.0,111398.0,37663.0,30206.0,47275500000.0,119335133.16837277,80.71183859474301,4.007261544566617,60.84658499082387,24.76767974438304,2.1589411210565626,0.5450622488963841,0.018997073557859234,3.463766678240167,[0.274 0.435 0.287 0.004],0.8020072750444733,0.002524248990880536,117250744.04838169,[23.103 23.879  6.89   0.03 ],58.869047619430525
2,[6260. 7351. 2732.  149.],20161.0,403.19999999737746,[ 78.56  221.105  83.006  20.529],26661.604196056738,33148.0,40766.0,10501.0,6595.0,15334500000.0,33741870.450189896,66.12173055912909,1.1389117603293852,25.241406676256137,14.60433507605113,1.598588993469348,0.38633996329547143,0.014533009275333564,1.0526759585338028,[0.195 0.548 0.206 0.051],0.6280354251976002,0.0022003893475620265,38031994.04786642,[15.526 18.232  6.776  0.37 ],82.21230158783632
3,[8937. 9423. 2794.   23.],20161.0,403.19999999737746,[102.459 202.591  95.011   3.139],31593.190769289846,20880.0,155586.0,41465.0,35629.0,55746000000.0,184888416.18154934,78.3522413801073,3.6477158871090705,61.336838450473685,18.80720006156348,1.6628486980395223,0.404345022568325,0.01726104855909925,4.262338177669759,[0.254 0.502 0.236 0.008],0.8592547931990836,0.003316622110672503,138258928.57232785,[22.165 23.371  6.93   0.057],51.78571428605112
4,[6324. 7646. 3117.  143.],20161.0,403.19999999737746,[ 75.602 204.638 104.4    18.56 ],26411.28713699491,30576.0,58257.0,11961.0,8344.0,13867500000.0,38204019.86464254,65.50093531320114,0.9717771935916283,23.482565348941026,13.099234944766438,1.4455696001034866,0.3395168890432022,0.016566638559595257,0.9711819850205843,[0.188 0.508 0.259 0.046],0.6976005350723183,0.0027549320255736464,34393601.1906999,[15.685 18.963  7.731  0.355],75.83333333382657
5,[9.814e+03 1.021e+04 1.734e+03 7.000e+00],20161.0,403.19999999737746,[120.198 227.295  54.701   1.006],33910.229357456854,29704.0,122212.0,44391.0,35734.0,46780500000.0,192364663.1994843,84.09857982603587,4.032815832548318,56.94320718218342,28.187831428366426,3.0457754345233603,0.7080501959228213,0.011804969991567878,3.737562620901741,[0.298 0.564 0.136 0.002],0.8049829920479377,0.004112069413526668,116023065.47694513,[2.434e+01 2.532e+01 4.301e+00 1.736e-02],73.6706349211141
6,[3635. 4332. 3622.  309.],20161.0,403.19999999737746,[ 50.158 199.034 114.437  39.571],23157.691322159837,15528.0,68109.0,8967.0,6785.0,7696500000.0,22622756.745752,57.43190149832342,0.5902484995784162,18.955408957888995,9.346558174986587,1.236404241648713,0.26838946480829323,0.01964188284311294,0.5732850553047963,[0.124 0.494 0.284 0.098],0.7566633210661313,0.0029393564276946663,19088541.666790824,[ 9.015 10.744  8.983  0.766],38.511904762155254
7,[4419. 5204. 3566.  526.],20161.0,403.19999999737746,[ 58.344  85.405 187.756  71.695],22695.79161948618,5736.0,102481.0,29486.0,26303.0,39244500000.0,99666958.27034594,56.28637374010136,2.444481920539764,63.63831159168692,10.744119209616477,1.312810901570863,0.2887257576509102,0.016169832845592976,2.8421705272555924,[0.145 0.212 0.466 0.178],0.8920504646272808,0.002539641434349933,97332589.28634737,[10.96  12.907  8.844  1.305],14.226190476283008
8,[3034. 3662. 1200. 1033.],20161.0,403.19999999737746,[ 37.255  65.293  34.783 265.869],16891.99287137989,50636.0,168469.0,17570.0,14251.0,33601500000.0,78078870.77355915,41.89274557654269,0.8810277267992651,31.90436982292545,7.589765907809114,1.0505939325378788,0.21878875055800803,0.0791131392292049,2.4507216903923417,[0.092 0.162 0.086 0.659],0.8110984632896984,0.0023236721805145353,83337053.57197063,[7.525 9.082 2.976 2.562],125.58531746113431
9,[5338. 6536. 2495.  717.],20161.0,403.19999999737746,[ 65.991 129.508  94.256 113.445],22908.510472306534,54976.0,141542.0,18049.0,13429.0,32205000000.0,95534821.33215602,56.81392409181826,1.452229552105549,28.340062496899954,13.587097932636697,1.7238211120327793,0.36922771687912304,0.04101979068498587,2.4321214225484846,[0.164 0.321 0.234 0.281],0.7440301401739708,0.0029664592868236615,79873511.90528142,[13.239 16.21   6.188  1.778],136.3492063500932
