id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_operation_pc,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[4418. 3635. 1958.    0.],10081.0,201.60000000059856,[ 64.77   28.121 108.709   0.   ],15847.468157361825,7176.0,15516000000.0,1480789.2373394053,5193.0,5342.0,78.60067531674467,5.484376549945813,63.63694077968456,85.05720650682527,42.059498784407964,2.6125685988921346,0.7233409383989684,0.043646463644479716,1.5386370399761928,[0.321 0.139 0.539 0.   ],0.0,0.0,9.54362746416219e-05,76964285.7140572,[21.915 18.031  9.712  0.   ],35.59523809513241
1,[2825. 1108. 1860.    0.],10081.0,201.60000000059856,[ 74.481   7.011 120.108   0.   ],16030.281571450747,10360.0,26566500000.0,1993605.5529885353,5448.0,2794.0,79.50739793399052,6.125106636246914,62.16565816883246,85.91671128543396,41.854690888211756,2.863660359742782,0.7817676817776015,0.04215851602023609,2.654597758158913,[0.369 0.035 0.596 0.   ],189.0,0.034691629955947136,7.504208506911093e-05,131778273.80913256,[14.013  5.496  9.226  0.   ],51.38888888873631
2,[3615. 2805. 1445.    0.],10081.0,201.60000000059856,[84.031 25.33  92.239  0.   ],17076.775890385863,0.0,20688000000.0,636649.5078384575,5592.0,3522.0,84.69782705280032,6.39555599642951,64.0,89.0738828160723,43.080561202105905,2.9531485664541584,0.8159904771352049,0.039976192838012105,2.1737922825116556,[0.417 0.126 0.458 0.   ],0.0,0.0,3.077385478724176e-05,102619047.61874294,[17.932 13.914  7.168  0.   ],0.0
3,[2418.  862. 1660.    0.],10081.0,201.60000000059856,[ 77.08    5.817 118.703   0.   ],16134.198581349638,9744.0,26344500000.0,227288.7200018682,5444.0,1671.0,80.02280816064895,6.09471282610903,62.0545580795556,85.46220150102722,41.4407436936169,2.8404411996052676,0.7683761531594088,0.0434480706279139,2.6135304037297886,[0.382 0.029 0.589 0.   ],168.0,0.03085966201322557,8.627558693536344e-06,130677083.33294535,[11.994  4.276  8.234  0.   ],48.33333333318983
4,[4294. 3502. 1889.    0.],10081.0,201.60000000059856,[ 64.227  27.436 109.937   0.   ],15750.818268611574,7336.0,15319500000.0,11747.833063662485,5018.0,4966.0,78.12130874224685,5.353754587838848,63.630195417121314,84.07399306929314,40.60143239128951,2.438511095886421,0.684654300168634,0.0493006646166055,1.5087788909830373,[0.319 0.136 0.545 0.   ],0.0,0.0,7.668548623429279e-07,75989583.33310772,[21.3   17.371  9.37   0.   ],36.38888888878085
5,[2177.  748. 1572.    0.],10081.0,201.60000000059856,[ 73.911   6.486 121.203   0.   ],15552.19660039997,48.0,20781000000.0,1534535.7575555714,5186.0,947.0,77.13617994445156,5.783553218927139,63.99761928380121,81.78632098642368,36.4842296777341,2.2457909559004166,0.6048011110008927,0.03977779982144628,1.915583771451245,[0.367 0.032 0.601 0.   ],467.0,0.09005013497878905,7.384321050746217e-05,103080357.1425511,[10.799  3.71   7.798  0.   ],0.23809523809453118
6,[4254. 2931. 1609.    0.],10081.0,201.60000000059856,[80.631 25.292 95.677  0.   ],16521.97470874724,0.0,27027000000.0,1830171.1595353372,4780.0,3744.0,81.94611005231141,6.354925106636822,64.0,86.84151846003279,37.043114100708884,2.342390342071509,0.640313460966174,0.03700029758952485,2.4652316238468406,[0.4   0.125 0.475 0.   ],1.0,0.00020920502092050208,6.77164006192081e-05,134062499.99960196,[21.101 14.539  7.981  0.   ],0.0
7,[4078. 2909. 1428.    0.],10081.0,201.60000000059856,[77.683 25.454 98.463  0.   ],16265.987760968384,16.0,26866500000.0,236784.61718825536,4641.0,3524.0,80.6764594830295,6.062811229045246,63.999206427933736,85.03656005544478,36.01216146196021,2.2463575115543017,0.6270211288562643,0.030155738518004165,2.449657772046424,[0.385 0.126 0.488 0.   ],0.0,0.0,8.813377893966663e-06,133266369.04722337,[20.228 14.43   7.083  0.   ],0.07936507936484373
8,[4036. 2715. 1577.    0.],10081.0,201.60000000059856,[79.33  23.389 98.881  0.   ],16379.12306109354,0.0,26317500000.0,1760560.4396591382,4775.0,3507.0,81.23759081982713,6.272393611745423,64.0,86.19241658968701,36.84101035115354,2.3712017714881948,0.6356512250768773,0.038289852197202656,2.3847832556294017,[0.394 0.116 0.49  0.   ],0.0,0.0,6.68969484054009e-05,130543154.76151718,[20.02  13.467  7.822  0.   ],0.0
9,[2551. 1247. 1557.    0.],10081.0,201.60000000059856,[ 70.656  11.678 119.266   0.   ],15471.75309548701,16.0,20221500000.0,1679956.428249126,5183.0,1155.0,76.73719420438125,5.5829382005757395,63.999206427933736,81.49192944033776,35.76629126866294,2.139468901855422,0.5815891280626921,0.03680190457295903,1.850510862017657,[0.35  0.058 0.592 0.   ],620.0,0.11962184063283812,8.30777354918837e-05,100305059.52351172,[12.654  6.186  7.723  0.   ],0.07936507936484373
10,[2764. 1461. 1618.    0.],10081.0,201.60000000059856,[ 70.527  13.859 117.214   0.   ],15551.739121772876,40.0,20277000000.0,191350.08662465913,5129.0,1200.0,77.13391093033039,5.585477631187782,63.99801606983434,81.8042877114447,35.43403065802457,2.1086253855357353,0.577522071223093,0.03809145918063684,1.8352345997420891,[0.35  0.069 0.581 0.   ],554.0,0.10801325794501852,9.436804587693402e-06,100580357.14255852,[13.71   7.247  8.026  0.   ],0.19841269841210932
11,[4341. 2977. 1640.    0.],10081.0,201.60000000059856,[78.642 26.507 96.451  0.   ],16393.61079810822,0.0,26949000000.0,270615.12213525764,4693.0,3758.0,81.30944746606573,6.301597063783918,64.0,86.73894717754617,36.80807516010794,2.263745010533173,0.6267235393314156,0.031643686142247794,2.412855867473465,[0.39  0.131 0.478 0.   ],0.0,0.0,1.0041750051402932e-05,133675595.23769835,[21.533 14.767  8.135  0.   ],0.0
12,[4122. 3051. 1367.    0.],10081.0,201.60000000059856,[75.873 27.131 98.596  0.   ],16178.627232112538,0.0,26599500000.0,353636.33452960046,4660.0,3667.0,80.24316651181734,5.933379625037678,64.0,84.41611879319115,36.14399121573672,2.184319373253096,0.6145223688126178,0.02995734550143835,2.359587342525543,[0.376 0.135 0.489 0.   ],0.0,0.0,1.3294848945641853e-05,131941964.28532255,[20.446 15.134  6.781  0.   ],0.0
13,[4076. 2794. 1543.    0.],10081.0,201.60000000059856,[ 76.95   24.634 100.016   0.   ],16203.658956767464,0.0,26748000000.0,1510279.5485273674,4632.0,3424.0,80.36731949592033,6.093363753596389,64.0,85.1775769265345,35.779018453551274,2.180140893492545,0.608967364348775,0.03580993949012995,2.4076976490427535,[0.382 0.122 0.496 0.   ],1.0,0.0002158894645941278,5.646327009598353e-05,132678571.4281775,[20.218 13.859  7.654  0.   ],0.0
14,[2870. 1536. 1656.    0.],10081.0,201.60000000059856,[ 69.99   14.685 116.925   0.   ],15551.647205148494,24.0,20182500000.0,2270527.8794057244,5376.0,1426.0,77.13345503992112,5.567701616903482,63.99880964190061,81.98712065263038,35.45841611993445,2.131430975294333,0.5790100188473366,0.041265747445689914,1.8264061105049103,[0.347 0.073 0.58  0.   ],847.0,0.15755208333333334,0.00011249983299421402,100111607.14255992,[14.236  7.619  8.214  0.   ],0.11904761904726559
15,[2539. 1364. 1481.    0.],10081.0,201.60000000059856,[ 68.108  12.704 120.788   0.   ],15303.555576477584,32.0,20110500000.0,115549.66400602728,4814.0,1174.0,75.90296387500248,5.339152861819608,63.99841285586747,80.25281506727423,34.597026873246826,2.03678591090664,0.5597658962404524,0.036008332506695766,1.7935720662632675,[0.338 0.063 0.599 0.   ],363.0,0.07540506855006232,5.74573799786317e-06,99754464.28541811,[12.594  6.766  7.346  0.   ],0.15873015872968746
16,[3934. 2674. 1464.    0.],10081.0,201.60000000059856,[79.081 23.631 98.888  0.   ],16357.525977433452,24.0,26626500000.0,169156.74978561944,4782.0,3244.0,81.13047305541893,6.210177561750369,63.99801606983434,85.82867412278061,36.99231767790904,2.3472490120637617,0.6368415831762722,0.030750917567701617,2.3829977184803095,[0.392 0.117 0.491 0.   ],0.0,0.0,6.3529472437466224e-06,132075892.85675073,[19.514 13.264  7.262  0.   ],0.11904761904726559
17,[4160. 3085. 1353.    0.],10081.0,201.60000000059856,[75.118 26.951 99.531  0.   ],16113.497453761029,0.0,26653500000.0,376124.241747229,4691.0,3873.0,79.92013418193147,5.8660847138185375,64.0,84.08648484077766,36.16445693355048,2.259607020381457,0.6231524650332309,0.02737823628608273,2.3838904870548556,[0.373 0.134 0.494 0.   ],1.0,0.00021317416329140907,1.4111626681194928e-05,132209821.42817889,[20.635 15.303  6.711  0.   ],0.0
