id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_operation_pc,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[4370. 3680. 1870.    0.],10081.0,201.60000000059856,[ 65.232  27.875 108.493   0.   ],15859.753068234926,7392.0,5089.0,5170.0,15141000000.0,1568663.652087797,78.66160632990322,5.407479416724882,63.62622755679,84.56096453876225,40.71803927600262,2.5464486605036254,0.6991369903779387,0.04652316238468406,1.4932050391826208,[0.324 0.138 0.538 0.   ],0.0,0.0,0.00010360370200698744,75104166.66644368,[21.677 18.254  9.276  0.   ],36.6666666665578
1,[2885. 1141. 1865.    0.],10081.0,201.60000000059856,[ 74.411   7.265 119.924   0.   ],16017.09757329914,9720.0,5416.0,2841.0,26706000000.0,1536762.8068240825,79.44200760489798,6.100426544986125,62.38349370102173,85.75596001699009,41.39144400430153,2.7681126061815124,0.7610356115464736,0.045531197301854974,2.628509076480508,[0.369 0.036 0.595 0.   ],202.0,0.03729689807976366,5.7543728256724423e-05,132470238.09484479,[14.311  5.66   9.251  0.   ],48.21428571414256
2,[3646. 2797. 1499.    0.],10081.0,201.60000000059856,[84.766 25.542 91.292  0.   ],17167.43089399703,0.0,5707.0,3248.0,20560500000.0,837035.8017084913,85.14746004363046,6.4603114770366075,64.0,89.3225745868063,43.36862351033114,2.9636829200662973,0.8019045729590318,0.040868961412558275,2.109413748636048,[0.42  0.127 0.453 0.   ],0.0,0.0,4.071086800945946e-05,101986607.14255434,[18.085 13.874  7.436  0.   ],0.0
3,[2545.  927. 1723.    0.],10081.0,201.60000000059856,[ 76.318   6.649 118.633   0.   ],16069.120381579183,9368.0,5270.0,1721.0,26404500000.0,889931.9960670228,79.70003165152053,6.111853982740318,62.26445789108223,85.70469422458034,40.26258713888852,2.736836605446614,0.7435770260886817,0.039281817280031744,2.58833449062593,[0.379 0.033 0.588 0.   ],173.0,0.03282732447817837,3.3703800339602066e-05,130974702.38056351,[12.624  4.598  8.547  0.   ],46.468253968116
4,[4465. 3636. 1922.    0.],10081.0,201.60000000059856,[ 66.005  26.967 108.628   0.   ],15921.452939315823,7568.0,5142.0,5297.0,15388500000.0,971620.8880500768,78.96762691853986,5.581509770856458,63.617498264061105,85.49705208551832,41.78078486301398,2.590816843910697,0.7098502132724928,0.044836821743874614,1.5038190655688919,[0.327 0.134 0.539 0.   ],0.0,0.0,6.31394150209622e-05,76331845.2378686,[22.148 18.036  9.534  0.   ],37.53968253957108
5,[2297.  782. 1663.    0.],10081.0,201.60000000059856,[ 74.212   7.055 120.333   0.   ],15566.045574907695,32.0,4959.0,1016.0,20647500000.0,1247938.4485215507,77.20486844017482,5.873703005654667,63.99841285586747,82.15163302979617,35.37868941047957,2.1107943247645835,0.5721654597758159,0.0387858347386172,1.88403928181728,[0.368 0.035 0.597 0.   ],393.0,0.07924984875983061,6.044017186204387e-05,102418154.76160067,[11.394  3.879  8.249  0.   ],0.15873015872968746
6,[4374. 3017. 1632.    0.],10081.0,201.60000000059856,[80.188 26.747 94.665  0.   ],16543.887749614893,8.0,4867.0,3988.0,26929500000.0,823370.126039624,82.0547949093081,6.373970836227144,63.999206427933736,87.29532006314439,37.790921476212546,2.4446476075269348,0.6575736534074,0.03650431504811031,2.4508481301458187,[0.398 0.133 0.47  0.   ],3.0,0.0006163961372508733,3.057502463987909e-05,133578869.04722245,[21.696 14.965  8.095  0.   ],0.039682539682421865
7,[4113. 2877. 1451.    0.],10081.0,201.60000000059856,[79.373 25.689 96.538  0.   ],16394.89604108514,8.0,4794.0,3637.0,27046500000.0,470439.5870282817,81.31582204684604,6.175895248487787,63.99960321396687,85.58020068043245,36.9583334406065,2.2681764600698,0.6379327447673842,0.033925205832754685,2.4621565320900705,[0.394 0.127 0.479 0.   ],1.0,0.00020859407592824363,1.739373253575441e-05,134159226.19007787,[20.402 14.271  7.197  0.   ],0.039682539682421865
8,[4055. 2727. 1565.    0.],10081.0,201.60000000059856,[80.13 23.54 97.93  0.  ],16453.0860023489,0.0,4777.0,3497.0,27013500000.0,277165.07139873994,81.60443409556967,6.307945640314026,64.0,86.45461120726682,36.95776102983912,2.296295046061807,0.6401150679496082,0.03948021029659756,2.4578910822339055,[0.397 0.117 0.486 0.   ],0.0,0.0,1.0260242893321486e-05,133995535.71388789,[20.114 13.527  7.763  0.   ],0.0
9,[2440. 1220. 1534.    0.],10081.0,201.60000000059856,[ 70.299  11.823 119.478   0.   ],15423.845552133418,24.0,4934.0,934.0,20409000000.0,998475.9275582279,76.4995811533266,5.4457295903187894,63.99880964190061,80.51570678364041,35.24098045875744,2.045772025828034,0.5684951889693483,0.04245610554508481,1.8693581985914096,[0.349 0.059 0.593 0.   ],351.0,0.07113903526550466,4.8923314594454795e-05,101235119.04731847,[12.103  6.052  7.609  0.   ],0.11904761904726559
