id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,cell_traffic,cell_dropped_traffic,disconnects,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[13585. 13586.     0.     0.],20161.0,403.19999999737746,[178.769 224.431   0.      0.   ],35182.17814148024,22968.0,20178.0,18048000000.0,90793051.51508586,150162.0,12333.0,87.25305823490662,1.5025445166411535,17.411041118992113,27.152366901056684,2.2374309368052545,0.6226873666980804,0.006249689995535936,1.430087793264223,[0.443 0.557 0.    0.   ],0.6112102289622361,0.005030643368522045,44761904.76219591,[33.693 33.695  0.     0.   ],56.96428571465623
1,[7777. 7777.    0.    0.],20161.0,403.19999999737746,[301.441 101.759   0.      0.   ],50120.03431990092,10320.0,28400.0,100858500000.0,159529474.48449108,12345.0,3065.0,124.29947502579041,9.280769803083848,62.608402360994,92.85901949601934,9.462937133929318,2.395317692574773,0.008233718565547344,5.96696592430931,[0.748 0.252 0.    0.   ],0.1079225352112676,0.0015817157154279617,250145089.2873413,[19.288 19.288  0.     0.   ],25.595238095404575
2,[12212. 12213.     0.     0.],20161.0,403.19999999737746,[235.003 168.197   0.      0.   ],45060.136351173256,16840.0,20966.0,73756500000.0,60702854.34948435,37830.0,1882.0,111.75074736166725,7.223173453698086,63.26630623480978,69.2972618947884,5.493106630847523,1.4851445860820396,0.011904171420068449,4.005505679281781,[0.583 0.417 0.    0.   ],0.08976438042545073,0.0008230170134087755,182927827.3821422,[30.288 30.29   0.     0.   ],41.765873016144674
3,[10090. 10091.    24.     0.],20161.0,403.19999999737746,[297.705 104.795   0.7     0.   ],49765.55808599966,11352.0,27044.0,101944500000.0,180726682.3963173,17795.0,1747.0,123.42036130647905,9.45984822181289,62.883388720797576,93.39776807894292,9.735280858783543,2.390060016864243,0.007886513565795348,5.935271067903378,[0.738 0.26  0.002 0.   ],0.06459843218458808,0.001772794828522552,252838541.6683112,[25.025 25.027  0.06   0.   ],28.154761904945033
4,[10295. 10296.     0.     0.],20161.0,403.19999999737746,[231.914 171.286   0.      0.   ],35576.95413496171,22312.0,17683.0,17506500000.0,146073903.52411237,154266.0,10214.0,88.23211679718524,1.939110163186367,17.209860621992956,25.704022898425062,2.108817922354735,0.5804275581568374,0.003968057140022816,1.3894152075789892,[0.575 0.425 0.    0.   ],0.5776169202058474,0.008343981008431861,43418898.80980622,[25.533 25.536  0.     0.   ],55.33730158766152
5,[1.191e+04 1.191e+04 1.000e+00 0.000e+00],20161.0,403.19999999737746,[2.120e+02 1.911e+02 3.000e-02 0.000e+00],42752.73884942532,5840.0,37099.0,74488500000.0,175280435.91144907,109052.0,20270.0,106.02831915436761,6.395000248004584,63.80100193442786,60.542429003226644,5.4238623139148325,1.3484450176082536,0.00724170428054164,4.276771985516591,[5.259e-01 4.740e-01 7.440e-05 0.000e+00],0.5463759130973881,0.0023531207624190188,184743303.5726302,[2.953e+01 2.953e+01 2.480e-03 0.000e+00],14.484126984221193
6,[10731. 10734.    13.     0.],20161.0,403.19999999737746,[261.049 141.777   0.374   0.   ],45670.7316711452,1216.0,26857.0,109593000000.0,157027904.8809744,38255.0,6910.0,113.26504556109614,8.171697832448315,63.950796091463715,73.18098144201754,6.6802917639723205,1.6748177173751302,0.007836912851545062,5.8923664500768815,[0.647 0.352 0.001 0.   ],0.25728860259895,0.001432827871132047,271808035.71605366,[26.615 26.622  0.032  0.   ],3.015873015892632
7,[9186. 9146.  185.    0.],20161.0,403.19999999737746,[285.642 111.93    5.628   0.   ],45632.534549688586,1280.0,24074.0,110175000000.0,112794812.50938301,40617.0,4460.0,113.17031533576471,9.085620752937547,63.95694658003075,71.84178630628016,6.091493760806811,1.6007638509994544,0.008729725708050196,5.788006547294281,[0.708 0.278 0.014 0.   ],0.18526210849879537,0.0010237786476912458,273251488.0970154,[22.783 22.684  0.459  0.   ],3.1746031746238232
8,[10873. 10872.    19.     0.],20161.0,403.19999999737746,[248.908 153.737   0.555   0.   ],44238.453049039636,3152.0,27338.0,110167500000.0,120725906.96861969,55395.0,8384.0,109.71294342800206,7.714934775060714,63.867268488666234,68.07954461779468,5.122030629268028,1.4422895689697932,0.010068944992807896,5.797182679430584,[0.617 0.381 0.001 0.   ],0.3066793474284878,0.0010958395803537314,273232886.9065391,[26.967 26.964  0.047  0.   ],7.8174603175111645
9,[1.51e+04 1.51e+04 2.00e+00 0.00e+00],20161.0,403.19999999737746,[2.318e+02 1.714e+02 5.700e-02 0.000e+00],44440.035348489415,3352.0,25634.0,73912500000.0,151037868.05458742,61002.0,7033.0,110.21287472964816,7.658985169386425,63.90337780864044,70.05910634643746,6.961986538220853,1.6193641188433114,0.007936114280045632,4.059570457814592,[5.749e-01 4.250e-01 1.414e-04 0.000e+00],0.2743621752360147,0.00204346853447776,183314732.14404947,[3.745e+01 3.746e+01 4.960e-03 0.000e+00],8.313492063546137
10,[12668. 12669.     0.     0.],20161.0,403.19999999737746,[220.668 182.532   0.      0.   ],44358.76559285933,18360.0,28786.0,74067000000.0,143667803.34136158,83148.0,12285.0,110.01132283333645,6.74105451118573,63.10778235206587,59.67176044159784,5.077108670981068,1.2522692326769505,0.008928128565051336,3.922622885769555,[0.547 0.453 0.    0.   ],0.4267699576182867,0.0019397005865143934,183697916.6678615,[31.419 31.421  0.     0.   ],45.53571428601047
11,[10260. 10259.    22.     0.],20161.0,403.19999999737746,[274.552 127.988   0.66    0.   ],46435.80115000134,2920.0,26869.0,109788000000.0,159053627.80976668,34286.0,7058.0,115.16244519121344,8.610009424134839,63.87619661723129,72.6373734417399,6.25544563576005,1.6202073309855662,0.0097217399930559,5.854124299389912,[0.681 0.317 0.002 0.   ],0.262681901075589,0.0014487341768660207,272291666.6684377,[25.446 25.444  0.055  0.   ],7.242063492110597
12,[9578. 9541.  105.    0.],20161.0,403.19999999737746,[284.11  115.773   3.317   0.   ],45920.497070167265,4080.0,27976.0,109488000000.0,155522348.3078295,44736.0,8523.0,113.88447267041771,9.006616735279799,63.80258915728386,71.548225412451,6.027864533873327,1.578592331729577,0.008779326422300482,5.8067556172808885,[0.705 0.287 0.008 0.   ],0.304653989133543,0.0014204510842085844,271547619.04938525,[23.755 23.663  0.26   0.   ],10.119047619113436
13,[10537. 10536.    13.     0.],20161.0,403.19999999737746,[260.774 142.058   0.368   0.   ],45620.11829600193,5448.0,30302.0,110058000000.0,164921682.62396732,47066.0,10932.0,113.13952258320914,8.072139278805222,63.7569565001736,69.9186302521637,5.626928403074322,1.49739596250186,0.009473736421804473,5.833986409404296,[0.647 0.352 0.001 0.   ],0.3607682661210481,0.00149849790677613,272961309.52558494,[26.133 26.131  0.032  0.   ],13.511904761992648
14,[1.405e+04 1.405e+04 1.000e+00 0.000e+00],20161.0,403.19999999737746,[2.143e+02 1.889e+02 3.000e-02 0.000e+00],43791.39681532582,17896.0,25006.0,73756500000.0,77082678.18526933,70744.0,8912.0,108.60422800288814,6.736808690045883,63.15758146917316,59.299489069955484,4.376575236154243,1.1908139477208473,0.00992014285005704,3.716879123059372,[5.315e-01 4.684e-01 7.440e-05 0.000e+00],0.3563944653283212,0.0010450967465276868,182927827.3821422,[3.484e+01 3.484e+01 2.480e-03 0.000e+00],44.384920635209326
15,[13514. 13515.     0.     0.],20161.0,403.19999999737746,[201.248 201.952   0.      0.   ],43337.15194269127,20520.0,24369.0,74119500000.0,124799020.31573382,99188.0,9058.0,107.47768449652476,6.116402956203442,63.02068349784237,55.306507214733585,4.284762129445373,1.1147264520609097,0.009126531422052478,3.8681117008084915,[0.499 0.501 0.    0.   ],0.371701752226189,0.0016837542119919025,183828125.00119567,[33.517 33.519  0.     0.   ],50.892857143188166
16,[11044. 11044.    12.     0.],20161.0,403.19999999737746,[250.461 152.378   0.361   0.   ],45080.71499642475,5024.0,23451.0,110217000000.0,142673314.04529396,46740.0,4410.0,111.8017831368083,7.781756857298615,63.75378205446158,69.86024908547938,5.842669285602847,1.5057288824959079,0.010168146421308467,5.747185159466296,[0.621 0.378 0.001 0.   ],0.1880516822310349,0.0012944764786311908,273355654.7636828,[27.391 27.391  0.03   0.   ],12.460317460398507
17,[9628. 9613.   66.    0.],20161.0,403.19999999737746,[281.154 120.019   2.027   0.   ],45832.64085417495,4488.0,27121.0,109891500000.0,169233623.92238072,48579.0,7853.0,113.66658611718807,8.875432766230777,63.76707504588066,70.52733656267792,6.024488111920898,1.5573632260304549,0.010118545707058182,5.844898566539358,[0.697 0.298 0.005 0.   ],0.2895542199771395,0.0015400064966114824,272548363.09701085,[23.879 23.842  0.164  0.   ],11.13095238102478
18,[1.142e+04 1.142e+04 1.100e+01 0.000e+00],20161.0,403.19999999737746,[238.467 164.403   0.33    0.   ],44326.42873901518,7672.0,25381.0,110071500000.0,155830317.126785,63386.0,6708.0,109.93112628097276,7.352651158176923,63.66073111452805,68.12462390283693,5.3765639718128675,1.4241357075541887,0.008332919994047915,5.753732453747334,[0.591 0.408 0.001 0.   ],0.26429218706906743,0.0014157190292381316,272994791.6684423,[2.833e+01 2.833e+01 2.728e-02 0.000e+00],19.02777777790154
19,[14040. 14041.     0.     0.],20161.0,403.19999999737746,[211.612 191.588   0.      0.   ],43986.957775227,19888.0,23112.0,74275500000.0,89846110.00675102,75430.0,7237.0,109.08922616741381,6.677525916374002,62.975447646446106,59.108377943344685,4.495896707057071,1.2018749069986607,0.010366549278309607,3.768910272307921,[0.525 0.475 0.    0.   ],0.3131273797161648,0.0012096331900391247,184215029.76310295,[34.821 34.824  0.     0.   ],49.325396825717654
20,[10713. 10714.     0.     0.],20161.0,403.19999999737746,[258.192 145.008   0.      0.   ],46766.90474537813,28880.0,23025.0,67482000000.0,104149125.3868608,36590.0,3929.0,115.983593932284,7.800724170427968,62.34651058975249,69.81803854186005,5.628792597252294,1.4639650810971678,0.010465750706810177,3.5077129110659193,[0.64 0.36 0.   0.  ],0.17064060803474485,0.0015433615688162888,167366071.42966002,[26.57  26.572  0.     0.   ],71.62698412745002
21,[12193. 12194.     0.     0.],20161.0,403.19999999737746,[250.748 152.452   0.      0.   ],46567.82711237576,23976.0,20608.0,74131500000.0,61985645.619588956,17996.0,1363.0,115.48987429287682,7.765686225881565,62.68498586379644,70.7384622037188,5.947211882832789,1.4936263082188383,0.00962253856455533,3.840484102971083,[0.622 0.378 0.    0.   ],0.06613936335403726,0.0008361579843870549,183857886.9059578,[30.241 30.243  0.     0.   ],59.46428571467249
22,[1.052e+04 1.052e+04 4.000e+00 0.000e+00],20161.0,403.19999999737746,[2.689e+02 1.342e+02 1.060e-01 0.000e+00],47893.28383748572,24336.0,23158.0,100320000000.0,94639030.67257449,23814.0,1748.0,118.77705430653924,8.110153266206675,58.70819899806557,79.27415761210618,6.816831486440144,1.7717871137344379,0.010812955706562174,5.288924160507912,[6.668e-01 3.329e-01 2.629e-04 0.000e+00],0.07548147508420416,0.0009433715178685654,248809523.81114215,[2.608e+01 2.608e+01 9.921e-03 0.000e+00],60.357142857535436
23,[11732. 11732.     0.     0.],20161.0,403.19999999737746,[243.551 159.649   0.      0.   ],46027.87332497189,39564.0,21855.0,71656500000.0,76476291.31596783,32605.0,3554.0,114.1507696170065,7.202936362283852,61.37056693616388,66.21613675177659,5.077211007218464,1.3726005654481424,0.011705768563067308,3.7879569465800307,[0.604 0.396 0.    0.   ],0.16261725005719516,0.0010672624439648577,177719494.048775,[29.097 29.097  0.     0.   ],98.12500000063824
24,[11078. 11079.     0.     0.],20161.0,403.19999999737746,[261.577 141.623   0.      0.   ],47201.4987293801,30468.0,23098.0,67132500000.0,75203419.81612864,23631.0,3594.0,117.06140253305404,7.916194633202459,62.40642825256684,71.40721096337256,5.994776633028396,1.5277019989087843,0.010713754278061604,3.4379247061157683,[0.649 0.351 0.    0.   ],0.1555978872629665,0.0011202237339012944,166499255.9534639,[27.475 27.478  0.     0.   ],75.56547619096769
