id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,disconnects,cell_traffic,cell_dropped_traffic,num_requests,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[14281. 14282.     0.     0.],20161.0,403.19999999737746,[168.025 235.175   0.      0.   ],35046.012118383296,23216.0,154102.0,18061500000.0,63310414.39409279,21829.0,13949.0,86.91536163479633,1.3942959178613137,17.364019641882845,26.976096794227956,2.20698845726597,0.6173304895590497,0.0073905064232924955,1.416695600416646,[0.417 0.583 0.    0.   ],0.6390123230564845,0.003505268908678282,44795386.905053265,[35.419 35.422  0.     0.   ],57.579365079739596
1,[7.752e+03 7.752e+03 1.000e+00 0.000e+00],20161.0,403.19999999737746,[3.009e+02 1.023e+02 1.500e-02 0.000e+00],50182.35048952739,10624.0,11836.0,101331000000.0,162059207.8624345,29325.0,3840.0,124.45402135193063,9.285729874508807,62.5218987153415,93.261270593246,9.656392196234382,2.420663657556669,0.008035315708546204,6.025246763553395,[7.463e-01 2.536e-01 3.720e-05 0.000e+00],0.1309462915601023,0.0015993053247518973,251316964.28734893,[1.923e+01 1.923e+01 2.480e-03 0.000e+00],26.349206349377734
2,[12361. 12361.     0.     0.],20161.0,403.19999999737746,[233.487 169.713   0.      0.   ],45028.84989493656,17016.0,36590.0,73684500000.0,50246635.47706386,21145.0,2218.0,111.67315583288297,7.200317444571574,63.308169237637024,68.58413263242718,5.328331750802539,1.482614949655275,0.009324934279053619,3.9931551014334605,[0.579 0.421 0.    0.   ],0.10489477417829274,0.0006819159453760812,182749255.95356962,[30.657 30.657  0.     0.   ],42.20238095265545
3,[10314. 10315.    20.     0.],20161.0,403.19999999737746,[294.704 107.953   0.543   0.   ],49601.46130775742,11152.0,18232.0,101191500000.0,89855615.8581003,26722.0,1460.0,123.01339543612943,9.399573433855984,62.85005704082139,93.53274920244445,9.03137374332199,2.369029314022122,0.007737711423044492,5.838996081543574,[0.731 0.268 0.001 0.   ],0.05463662899483571,0.0008879759254295103,250970982.14448953,[25.58  25.583  0.05   0.   ],27.65873015891006
4,[14710. 14711.     0.     0.],20161.0,403.19999999737746,[160.601 242.599   0.      0.   ],34631.71859101134,21144.0,170840.0,17794500000.0,49701064.5203548,21751.0,14307.0,85.88789889145039,1.297792768215959,17.160855116313677,25.12796229533188,2.030125956976791,0.5666881603095084,0.0055552799960319425,1.3776598383016716,[0.398 0.602 0.    0.   ],0.6577628614776332,0.002793057659409076,44133184.52409658,[36.483 36.486  0.     0.   ],52.44047619081728
5,[1.188e+04 1.188e+04 1.000e+00 0.000e+00],20161.0,403.19999999737746,[2.150e+02 1.882e+02 1.600e-02 0.000e+00],43012.238043794845,5800.0,105436.0,74944500000.0,181131239.8496074,37998.0,20786.0,106.67188642377099,6.478805614801884,63.808342840136895,61.928431192922865,5.3176403313626555,1.3756758097316601,0.007737711423044492,4.321313426913347,[5.333e-01 4.667e-01 3.968e-05 0.000e+00],0.5470287909889994,0.0024168716830402152,185874255.95358995,[2.947e+01 2.947e+01 2.480e-03 0.000e+00],14.384920635014199
6,[10618. 10617.    14.     0.],20161.0,403.19999999737746,[261.243 141.537   0.42    0.   ],45597.4921832816,1296.0,39919.0,109429500000.0,201712270.6671026,27115.0,7374.0,113.08340901562715,8.189911214721006,63.95496255146074,72.3782053615227,6.795557938773397,1.651455780963246,0.009473736421804473,5.8874063786518525,[0.648 0.351 0.001 0.   ],0.2719527936566476,0.0018433079806368722,271402529.76367,[26.334 26.332  0.035  0.   ],3.214285714306621
7,[9442. 9393.  173.    0.],20161.0,403.19999999737746,[282.39  115.609   5.201   0.   ],45373.90572013939,1072.0,42357.0,108696000000.0,137166296.85946605,23754.0,4568.0,112.52890660219717,8.996736273001117,63.9656763057388,70.21767017594127,6.034004086602982,1.5606368731709737,0.009424135707554189,5.717672734487377,[0.7   0.287 0.013 0.   ],0.192304453986697,0.0012619258929442302,269583333.33508676,[23.418 23.296  0.429  0.   ],2.658730158747452
8,[1.15e+04 1.15e+04 8.00e+00 0.00e+00],20161.0,403.19999999737746,[2.403e+02 1.627e+02 2.230e-01 0.000e+00],43714.06726096593,3048.0,57475.0,108343500000.0,135511185.85693538,27849.0,9187.0,108.41244794644459,7.432091662120122,63.86647487723823,67.4861604251212,5.068931690138049,1.4114379247061157,0.009672139278805615,5.687416298794703,[5.960e-01 4.034e-01 5.531e-04 0.000e+00],0.32988617185536284,0.0012507551062771222,268709077.38270015,[2.853e+01 2.853e+01 1.984e-02 0.000e+00],7.559523809572979
9,[1.532e+04 1.532e+04 1.000e+00 0.000e+00],20161.0,403.19999999737746,[2.264e+02 1.767e+02 1.900e-02 0.000e+00],44092.742458903165,3584.0,61207.0,73650000000.0,78857685.17318559,27016.0,8246.0,109.35157596077173,7.495540895789041,63.89306086007638,70.85044994011005,6.148898341547965,1.5930757402906601,0.008779326422300482,4.017657854273102,[5.616e-01 4.383e-01 4.712e-05 0.000e+00],0.3052265324252295,0.0010707085563229544,182663690.47737858,[3.80e+01 3.80e+01 2.48e-03 0.00e+00],8.888888888946704
