id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,disconnects,num_requests,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[1.102e+04 1.102e+04 1.000e+00 0.000e+00],20161.0,403.19999999737746,[2.216e+02 1.815e+02 3.000e-02 0.000e+00],35693.6546260317,22488.0,17602500000.0,100558305.80930461,147902.0,18212.0,10529.0,88.52153818270749,1.8492733495362863,17.20192450771291,26.408076539329258,2.243208631993379,0.6159912702742919,0.00486086999652795,1.431675016120232,[5.497e-01 4.502e-01 7.440e-05 0.000e+00],0.57813529540962,0.005712728635665651,43656994.04790301,[2.734e+01 2.734e+01 2.480e-03 0.000e+00],55.77380952417229
1,[7.313e+03 7.314e+03 1.000e+00 0.000e+00],20161.0,403.19999999737746,[3.078e+02 9.534e+01 3.000e-02 0.000e+00],50392.0567565571,10244.0,100827000000.0,185980306.12338805,11394.0,28697.0,3310.0,124.97410038330243,9.46778433609299,62.63736917811617,92.10843244417086,10.036209722891465,2.4339566489757454,0.008828927136550766,6.035018104260701,[7.635e-01 2.365e-01 7.440e-05 0.000e+00],0.11534306721957,0.001844548643948427,250066964.2873408,[1.814e+01 1.814e+01 2.480e-03 0.000e+00],25.406746031911286
2,[12218. 12218.     0.     0.],20161.0,403.19999999737746,[234.018 169.182   0.      0.   ],45031.09553562516,15440.0,74002500000.0,58570620.85343503,36979.0,21123.0,1961.0,111.67872510198774,7.255036952532453,63.37245176330539,69.58501392485944,5.491551653550493,1.5014632210703833,0.011507365706066168,4.011904171420069,[0.58 0.42 0.   0.  ],0.09283719168678692,0.0007914681376093379,183537946.42976522,[30.303 30.303  0.     0.   ],38.293650793899864
3,[10261. 10263.    27.     0.],20161.0,403.19999999737746,[297.116 105.381   0.703   0.   ],49754.35963838722,10912.0,100792500000.0,145346206.81060612,18159.0,26669.0,1633.0,123.39258875647499,9.46143544466885,62.82466147512524,92.60910096061774,9.466663445523878,2.3670452854521105,0.008729725708050196,5.855860324388671,[0.737 0.261 0.002 0.   ],0.06123214218755859,0.0014420339490597625,249981398.81114978,[25.449 25.454  0.067  0.   ],27.063492063668093
4,[12624. 12625.     0.     0.],20161.0,403.19999999737746,[193.242 209.958   0.      0.   ],35100.491935335514,21688.0,17268000000.0,107623035.07978596,166325.0,21093.0,13839.0,87.05047352644907,1.5857149942960622,17.12216655919845,24.940224848012004,1.964861619499334,0.5468974753236446,0.00476166856802738,1.362085214027082,[0.479 0.521 0.    0.   ],0.6560944389133836,0.006232513034502314,42827380.95265952,[31.31  31.312  0.     0.   ],53.7896825400324
5,[1.195e+04 1.195e+04 1.000e+00 0.000e+00],20161.0,403.19999999737746,[2.112e+02 1.920e+02 3.000e-02 0.000e+00],42725.93863304137,5160.0,74046000000.0,211232385.98505554,108993.0,40689.0,23717.0,105.96185366063172,6.333693765191216,63.83552403154606,60.170114125626675,5.537498499550198,1.3795942661574327,0.006646495709538218,4.332473587619662,[5.238e-01 4.762e-01 7.440e-05 0.000e+00],0.5828848091621814,0.0028527183910684647,183645833.33452782,[2.964e+01 2.964e+01 2.480e-03 0.000e+00],12.797619047702288
6,[10347. 10347.    16.     0.],20161.0,403.19999999737746,[265.804 136.928   0.468   0.   ],45770.57245079111,1056.0,109032000000.0,169680452.92542386,38347.0,26563.0,6802.0,113.51265426018229,8.343594067753946,63.95893060860077,72.61214576981793,6.834944545368324,1.660532711671048,0.008481722136798769,5.871633351520262,[0.659 0.34  0.001 0.   ],0.25607047396754884,0.0015562445238592694,270416666.66842556,[25.662 25.662  0.04   0.   ],2.6190476190646543
7,[8640. 8590.  167.    0.],20161.0,403.19999999737746,[296.555 101.516   5.129   0.   ],45992.55773908021,1264.0,109164000000.0,122401645.39675389,39473.0,23255.0,3803.0,114.06318570278846,9.452110510389717,63.95893060860077,71.25882030645958,5.894059229265891,1.5842964138683597,0.009076930707802192,5.754823669460841,[0.736 0.252 0.013 0.   ],0.16353472371533004,0.001121263836033435,270744047.6208086,[21.429 21.305  0.414  0.   ],3.1349206349410252
8,[10805. 10805.    25.     0.],20161.0,403.19999999737746,[251.444 151.054   0.702   0.   ],44277.91608807479,3352.0,110133000000.0,116810590.76934837,55643.0,27477.0,8545.0,109.81081317413228,7.78850255443667,63.859530777243194,68.1924436724504,5.228785583541584,1.4374286989732652,0.010465750706810177,5.80000992014285,[0.624 0.375 0.002 0.   ],0.31098737125595954,0.0010606320609567374,273147321.43034804,[26.798 26.798  0.062  0.   ],8.313492063546137
9,[15337. 15338.     0.     0.],20161.0,403.19999999737746,[228.691 174.509   0.      0.   ],44122.101395094185,3192.0,73813500000.0,123359283.70810871,61923.0,26612.0,7908.0,109.42438717100892,7.584147611725662,63.90436982292545,70.8690281056106,6.8258960132952735,1.6278954416943603,0.008134517137046774,4.055503199246069,[0.567 0.433 0.    0.   ],0.29715917631143846,0.0016712292969187034,183069196.42976215,[38.038 38.041  0.     0.   ],7.916666666718159
