id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,cell_traffic,cell_dropped_traffic,disconnects,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[15186. 15187.     0.     0.],20161.0,403.19999999737746,[142.487 260.713   0.      0.   ],35102.54240295204,20872.0,17188.0,14377500000.0,38337008.573821835,128188.0,11151.0,87.05555875936335,1.207003620852217,17.42453251326819,20.659214115349187,1.6634348115836477,0.47284360894796884,0.004612866425276524,1.107137542780616,[0.353 0.647 0.    0.   ],0.6487665813358157,0.002666458603639147,35658482.14308908,[37.664 37.666  0.     0.   ],51.76587301620972
1,[9.821e+03 9.822e+03 1.000e+00 0.000e+00],20161.0,403.19999999737746,[2.623e+02 1.409e+02 3.000e-02 0.000e+00],47419.2234033402,17528.0,23192.0,76336500000.0,120877589.40230753,12849.0,3518.0,117.60136749996781,7.8989732652148135,61.01522741927484,71.995865734185,7.127445878523535,1.8452457715391102,0.008630524279549625,4.564704131739497,[6.505e-01 3.495e-01 7.440e-05 0.000e+00],0.15169023801310796,0.001583483515779575,189326636.90599334,[2.436e+01 2.436e+01 2.480e-03 0.000e+00],43.47222222250498
2,[13688. 13689.     0.     0.],20161.0,403.19999999737746,[196.068 207.132   0.      0.   ],41952.3779423006,16032.0,16504.0,56052000000.0,58016437.312348664,36517.0,1959.0,104.04339552179496,5.955895044889466,63.28594811765289,53.07704730668877,4.502795698699513,1.160706314170924,0.008779326422300482,3.08526362779624,[0.486 0.514 0.    0.   ],0.11869849733397964,0.001035046694361462,139017857.14376137,[33.948 33.951  0.     0.   ],39.76190476216338
3,[11226. 11227.    22.     0.],20161.0,403.19999999737746,[263.41  139.191   0.599   0.   ],47287.578464587925,19892.0,21734.0,76959000000.0,94546498.99216281,15069.0,1911.0,117.2748833504911,8.111105599920284,60.40692425970934,73.10786614339372,7.16532414104381,1.8540250979614106,0.009076930707802192,4.540201378899856,[0.653 0.345 0.001 0.   ],0.08792675071316831,0.0012285307630317806,190870535.7155272,[27.842 27.845  0.055  0.   ],49.33531746063835
4,[15829. 15830.     0.     0.],20161.0,403.19999999737746,[129.783 273.417   0.      0.   ],34702.84943964471,20944.0,16609.0,13587000000.0,32537012.389483184,141047.0,11061.0,86.0643059363217,1.041853082684453,17.185258667724817,18.68010742443185,1.508006792821318,0.4244333118396905,0.004364862854025098,1.0515351421060464,[0.322 0.678 0.    0.   ],0.6659642362574508,0.002394716448773326,33697916.666885845,[39.258 39.261  0.     0.   ],51.944444444782306
5,[1.399e+04 1.399e+04 1.000e+00 0.000e+00],20161.0,403.19999999737746,[1.667e+02 2.365e+02 3.000e-02 0.000e+00],39365.91957061018,6320.0,40531.0,56448000000.0,140411653.87211573,110594.0,28116.0,97.62888639107244,4.822975050841386,63.79306582014781,44.089343040562504,3.806278523629525,0.9835325628689053,0.004563265711026239,3.331134368334904,[4.134e-01 5.865e-01 7.440e-05 0.000e+00],0.6936912486738546,0.0024874513511925263,140000000.0009106,[3.469e+01 3.469e+01 2.480e-03 0.000e+00],15.674603174705128
6,[11862. 11863.    23.     0.],20161.0,403.19999999737746,[230.389 172.122   0.689   0.   ],42294.44383257356,1448.0,24848.0,83220000000.0,188567213.05429545,47785.0,9597.0,104.8917311457083,7.122226080056028,63.942066365755664,55.92772870477007,5.144165988319233,1.300679529785229,0.007836912851545062,4.623580179554586,[0.571 0.427 0.002 0.   ],0.38622826786864134,0.0022658881645553405,206398809.525152,[29.42  29.422  0.057  0.   ],3.5912698412932
7,[8777. 8693.  211.    0.],20161.0,403.19999999737746,[279.283 117.301   6.616   0.   ],43001.558704131014,1520.0,20145.0,83569500000.0,164480608.82222462,46395.0,5450.0,106.64540128001849,8.883686325081962,63.94563761718169,54.29395255271905,4.890779420367385,1.237537820544616,0.0069440999950399285,4.557164823173454,[0.693 0.291 0.016 0.   ],0.2705385951849094,0.0019681894569457113,207265625.0013481,[21.768 21.56   0.523  0.   ],3.76984126986579
8,[12532. 12536.    20.     0.],20161.0,403.19999999737746,[211.628 191.007   0.565   0.   ],40889.87146217905,3824.0,25888.0,83416500000.0,174114440.4393013,64817.0,11838.0,101.40834150631777,6.4451168096830695,63.83473042011805,50.280061577079195,4.057031577223787,1.0948861663607956,0.008332919994047915,4.588165269579882,[0.525 0.474 0.001 0.   ],0.45727750309023485,0.002087290169682273,206886160.71563137,[31.081 31.091  0.05   0.   ],9.484126984188672
9,[1.534e+04 1.534e+04 1.000e+00 0.000e+00],20161.0,403.19999999737746,[1.928e+02 2.103e+02 3.000e-02 0.000e+00],41070.803457545604,3808.0,26519.0,56283000000.0,85522070.91579314,66551.0,12436.0,101.85705931636384,6.158623084173369,63.891076831506375,52.81826749990121,4.872322087967254,1.2263280591240513,0.007787312137294777,3.1679480184514657,[4.782e-01 5.217e-01 7.440e-05 0.000e+00],0.4689467928654927,0.0015195009312899657,139590773.81043175,[3.803e+01 3.804e+01 2.480e-03 0.000e+00],9.444444444505875
10,[1.377e+04 1.377e+04 2.000e+00 0.000e+00],20161.0,403.19999999737746,[1.887e+02 2.144e+02 4.100e-02 0.000e+00],42370.15576894551,21688.0,28053.0,56079000000.0,144280393.0947226,82568.0,15545.0,105.07949945177077,5.654997271961481,62.9044194236397,45.197093069382866,4.033013897706105,0.987302217151927,0.007936114280045632,3.102475075641089,[4.681e-01 5.318e-01 1.017e-04 0.000e+00],0.5541296830998467,0.002572806096662255,139084821.42947608,[3.416e+01 3.416e+01 4.960e-03 0.000e+00],53.7896825400324
11,[11194. 11187.    27.     0.],20161.0,403.19999999737746,[245.608 156.762   0.83    0.   ],43610.60151482171,3912.0,25025.0,83575500000.0,188009256.00125724,41431.0,9749.0,108.15584920098422,7.61029710827839,63.802985962997866,55.84569996629252,4.963691319273252,1.2849561033678885,0.007737711423044492,4.650612568820991,[0.609 0.389 0.002 0.   ],0.3895704295704296,0.002249573810521711,207280505.95372918,[27.763 27.746  0.067  0.   ],9.70238095244406
12,[8814. 8759.  167.    0.],20161.0,403.19999999737746,[282.982 114.825   5.393   0.   ],43892.9240576115,5616.0,24932.0,83308500000.0,209531814.16353822,49751.0,10039.0,108.85601918954582,8.959357174742165,63.692872377362235,55.02872464147321,4.777780080047929,1.25390605624721,0.006200089281285651,4.641089231684936,[0.702 0.285 0.013 0.   ],0.402655222204396,0.0025151312790836254,206618303.57277247,[21.86  21.724  0.414  0.   ],13.928571428662025
13,[12172. 12172.    18.     0.],20161.0,403.19999999737746,[222.063 180.598   0.539   0.   ],42566.599135389595,7352.0,28163.0,82876500000.0,186821499.2839692,55358.0,13535.0,105.56668601604053,6.749109667179973,63.62779624026586,53.00478637343889,4.449068589775841,1.1619463320271812,0.008035315708546204,4.62432419026834,[0.551 0.448 0.001 0.   ],0.4805951070553563,0.002254215601334144,205546875.00133693,[30.188 30.188  0.045  0.   ],18.234126984245584
14,[1.442e+04 1.442e+04 1.000e+00 0.000e+00],20161.0,403.19999999737746,[1.851e+02 2.181e+02 3.000e-02 0.000e+00],41840.79221045554,21904.0,24183.0,55587000000.0,86580335.79730256,72943.0,12009.0,103.76665892181184,5.6171816874170375,62.89033282079262,44.69273924268216,3.613820017284453,0.931650215763107,0.008134517137046774,2.9178116164872776,[4.59e-01 5.41e-01 7.44e-05 0.00e+00],0.4965885125914899,0.0015575644628654643,137864583.33423004,[3.576e+01 3.576e+01 2.480e-03 0.000e+00],54.325396825750175
15,[14739. 14740.     0.     0.],20161.0,403.19999999737746,[162.492 240.708   0.      0.   ],40786.001366371696,22040.0,21004.0,55935000000.0,128172071.93860249,100567.0,9773.0,101.15073995924952,4.809483656565245,62.880214275085564,40.75540555237595,3.2932703817424267,0.8497594365358861,0.006795297852289073,3.034274093546947,[0.403 0.597 0.    0.   ],0.46529232527137687,0.0022914467138393222,138727678.5723309,[36.555 36.558  0.     0.   ],54.66269841305395
16,[12156. 12156.    13.     0.],20161.0,403.19999999737746,[220.786 182.025   0.389   0.   ],42451.26307836381,6160.0,20719.0,83446500000.0,160608012.18749002,52538.0,6305.0,105.28064847567538,6.7465304300389874,63.69029314022122,52.728535355389646,4.428622393072282,1.1664103963097068,0.00724170428054164,4.504389663211151,[0.548 0.451 0.001 0.   ],0.3043100535740142,0.001924682427513317,206960565.47753662,[30.149 30.149  0.032  0.   ],15.27777777787715
17,[8796. 8755.  109.    0.],20161.0,403.19999999737746,[283.477 116.454   3.269   0.   ],43793.81595082983,7200.0,24527.0,83406000000.0,199582301.94934243,55657.0,9771.0,108.61022754532894,8.899875998213286,63.56668816030951,54.35617804999477,5.027764302111476,1.2513764198204453,0.006596894995287932,4.670304052378354,[0.703 0.289 0.008 0.   ],0.39837729848738124,0.0023929010137081555,206860119.04896453,[21.815 21.714  0.27   0.   ],17.857142857259007
18,[1.295e+04 1.295e+04 9.000e+00 0.000e+00],20161.0,403.19999999737746,[202.676 200.276   0.248   0.   ],41548.35467015,8648.0,22050.0,83550000000.0,147505624.73929447,68439.0,8136.0,103.04140337817701,6.084182332226484,63.61053519170676,50.280647760629805,4.174782196959499,1.0840236099399831,0.0073905064232924955,4.517682654630227,[0.503 0.497 0.001 0.   ],0.3689795918367347,0.0017654772560059182,207217261.90610972,[3.212e+01 3.212e+01 2.232e-02 0.000e+00],21.448412698552204
19,[14792. 14793.     0.     0.],20161.0,403.19999999737746,[175.954 227.246   0.      0.   ],41883.7883003003,22312.0,20681.0,55960500000.0,79347614.14730842,79230.0,8663.0,103.87329076012155,5.402112990427777,62.89152323793463,44.837827360161604,3.8129400745983326,0.9538713357472347,0.008184117851297058,2.9275829571945837,[0.436 0.564 0.    0.   ],0.41888690102026016,0.0014179218224874407,138790922.61995035,[36.687 36.689  0.     0.   ],55.33730158766152
20,[12223. 12224.     0.     0.],20161.0,403.19999999737746,[224.111 179.089   0.      0.   ],44388.25400310407,27904.0,17886.0,51276000000.0,97467944.70498624,31482.0,3135.0,110.08445514384654,6.66066167352876,62.50642329249541,54.13385723614203,4.668684686983504,1.1643767670254452,0.008828927136550766,2.738653836615247,[0.556 0.444 0.    0.   ],0.1752767527675277,0.0019008492219554226,127172619.04844622,[30.315 30.317  0.     0.   ],69.20634920679935
