id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,disconnects,cell_traffic,cell_dropped_traffic,num_requests,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[15490. 15491.     0.     0.],20161.0,403.19999999737746,[138.72 264.48   0.     0.  ],34786.95908019932,20920.0,132406.0,13713000000.0,47007256.12498205,17578.0,11834.0,86.27290084866357,1.1309359654779678,17.269381479093298,19.61550632534242,1.5742810607011843,0.44903526610783195,0.006596894995287932,1.0811467685134666,[0.344 0.656 0.    0.   ],0.6732278985095005,0.0034279337945731826,34010416.66688788,[38.418 38.42   0.     0.   ],51.88492063525811
1,[1.006e+04 1.006e+04 1.000e+00 0.000e+00],20161.0,403.19999999737746,[2.603e+02 1.429e+02 3.000e-02 0.000e+00],47371.2321203929,18500.0,13372.0,76188000000.0,133565632.04294692,23316.0,3667.0,117.48234740436953,7.810366549278261,60.68825951093696,71.5877626610145,6.970062991526542,1.8137493179901791,0.009771340707306186,4.543723029611626,[6.456e-01 3.543e-01 7.440e-05 0.000e+00],0.1572739749528221,0.0017531058965053147,188958333.3345624,[2.494e+01 2.494e+01 2.480e-03 0.000e+00],45.88293650823495
2,[13588. 13588.     0.     0.],20161.0,403.19999999737746,[198.947 204.253   0.      0.   ],42132.11045937741,16064.0,34692.0,55884000000.0,76103642.01705876,16532.0,2000.0,104.48913858284843,6.080531719657612,63.33237438619116,52.98667332866086,4.541142103390252,1.1457764991815882,0.009870542135806756,3.0385397549724718,[0.493 0.507 0.    0.   ],0.12097749818533753,0.001361814508930262,138601190.47709197,[33.7 33.7  0.   0. ],39.841269841528984
3,[11764. 11768.    26.     0.],20161.0,403.19999999737746,[255.176 147.317   0.707   0.   ],46906.274746428826,20720.0,16151.0,76222500000.0,82827839.68943208,21284.0,1821.0,116.32923651214242,7.867387530380228,60.508506522493924,71.80373946097363,6.848754981140804,1.8317543772630327,0.009424135707554189,4.4675363325231885,[0.633 0.365 0.002 0.   ],0.0855572260853223,0.0010866586597058886,189043898.8107534,[29.177 29.187  0.064  0.   ],51.38888888922314
4,[16416. 16417.     0.     0.],20161.0,403.19999999737746,[120.345 282.855   0.      0.   ],34617.33744950395,20832.0,142636.0,13935000000.0,34048576.269001566,18518.0,12847.0,85.8522331469249,0.9709439015922359,17.25549327910322,19.170657812674193,1.4935126840151576,0.42993899112147216,0.005406477853281087,1.0825355885124746,[0.298 0.702 0.    0.   ],0.6937574252079058,0.002443385451668573,34561011.9049867,[40.714 40.717  0.     0.   ],51.66666666700272
5,[13850. 13851.     0.     0.],20161.0,403.19999999737746,[168.854 234.346   0.      0.   ],39414.6453999955,6088.0,107948.0,56130000000.0,146320320.49173766,38727.0,26139.0,97.74972818806947,4.9050344724970785,63.79405783443281,44.68331331779993,3.97982412341346,1.0118545707058182,0.005852884281533654,3.2991915083577203,[0.419 0.581 0.    0.   ],0.6749554574327988,0.002606811339599816,139211309.524715,[34.35  34.353  0.     0.   ],15.09920634930456
6,[11299. 11297.    23.     0.],20161.0,403.19999999737746,[239.512 162.998   0.69    0.   ],42488.156464758766,1120.0,45674.0,82758000000.0,201361239.0519269,24843.0,9645.0,105.3721453914946,7.417647934130462,63.95853380288676,55.969835182254236,5.181296644200065,1.3058380040672586,0.007886513565795348,4.6111800009920145,[0.594 0.404 0.002 0.   ],0.38823813549088276,0.002433133220376603,205252976.19181123,[28.023 28.018  0.057  0.   ],2.7777777777958454
7,[8476. 8395.  207.    0.],20161.0,403.19999999737746,[285.4  111.29   6.51   0.  ],43008.26939336053,1880.0,48614.0,82887000000.0,163598657.95752993,19973.0,5325.0,106.66204402895951,9.058439561528427,63.93770150290164,53.954530803340475,4.748280494442219,1.2186399484152572,0.007936114280045632,4.503248846783394,[0.708 0.276 0.016 0.   ],0.2666099233965854,0.001973755329032658,205572916.66800377,[21.022 20.821  0.513  0.   ],4.662698412728741
8,[12827. 12826.    18.     0.],20161.0,403.19999999737746,[204.012 198.675   0.513   0.   ],40666.52554326183,3720.0,64338.0,83733000000.0,142948535.8879485,26561.0,12435.0,100.8544356511576,6.173781062448251,63.8426665343981,50.53541682961904,3.849799777522878,1.0878428649372551,0.008382520708298199,4.567531372451763,[0.506 0.493 0.001 0.   ],0.4681676141711532,0.001707194724755455,207671130.95373172,[31.813 31.811  0.045  0.   ],9.226190476250487
9,[1.582e+04 1.583e+04 6.000e+00 0.000e+00],20161.0,403.19999999737746,[1.864e+02 2.167e+02 1.480e-01 0.000e+00],40928.45281462089,3768.0,65944.0,56125500000.0,60027268.027527235,27235.0,13176.0,101.50402463821358,5.936530926046242,63.892664054362385,52.662271853181,4.7261732688957565,1.217399930559,0.007192103566291355,3.138832399186548,[4.622e-01 5.374e-01 3.671e-04 0.000e+00],0.4837892417844685,0.0010695186328411727,139200148.81042922,[3.925e+01 3.925e+01 1.488e-02 0.000e+00],9.34523809529888
