id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,ant_switches,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[14089.  8255.  9075.     0.],20161.0,403.19999999737746,[160.051  55.948 187.201   0.   ],34723.59558169775,494331.0,474991.0,42474000000.0,50263130.801195875,53632.0,80714.0,86.11575710950397,7.514825653489337,57.663409553097566,63.93982394475095,5.185599341168435,1.5349933039035761,0.001438420713258271,4.568374584594018,[0.397 0.139 0.464 0.   ],0.9608764168138353,0.0011833858549040795,105342261.90544708,[34.943 20.474 22.507  0.   ],133.0158730167382
1,[12184.  9171.  4226.     0.],20161.0,403.19999999737746,[177.192 145.483  80.525   0.   ],39772.75523870247,1240886.0,1178384.0,93973500000.0,306441226.86970896,13788.0,595736.0,98.63785337706727,7.358881007886662,62.077079509944944,89.52166005437164,12.446192881664745,3.0644313278111204,0.0006448092852537077,11.369773324735876,[0.439 0.361 0.2   0.   ],0.9496311506455871,0.003260932357203988,233069196.4300874,[30.218 22.746 10.481  0.   ],34.196428571651
2,[13616. 10968.  4270.     0.],20161.0,403.19999999737746,[191.369 128.406  83.425   0.   ],40768.79843033848,824428.0,786704.0,69081000000.0,243401436.3325103,10296.0,348493.0,101.10807606353127,7.791081791577647,63.497842368930115,70.7670567123395,7.754531630263143,2.0527255592480533,0.001686424284509697,7.763950200882893,[0.475 0.318 0.207 0.   ],0.954242213995643,0.003523420858593684,171331845.23920962,[33.77  27.202 10.59   0.   ],25.535714285880378
3,[12093.  9297.  4258.     0.],20161.0,403.19999999737746,[174.999 137.793  90.408   0.   ],39001.19484789676,1099000.0,1041026.0,87477000000.0,351646889.60093486,17888.0,545895.0,96.72435605350589,6.873984425376341,57.31263330191955,86.09614996389173,13.055972913198325,3.085958037795744,0.0005952085710034225,10.987103814294926,[0.434 0.342 0.224 0.   ],0.9472484076433121,0.004019878249150461,216956845.2395064,[29.993 23.058 10.561  0.   ],44.36507936536793
4,[14687.  8585.  8815.     0.],20161.0,403.19999999737746,[172.088  57.079 174.033   0.   ],36263.79015641699,483470.0,462858.0,42591000000.0,87911798.89858012,46748.0,91342.0,89.9354946590299,7.98968305143557,58.48023411537126,66.69613603513177,6.152798513801381,1.7267992659094291,0.001438420713258271,4.798125093001339,[0.427 0.142 0.432 0.   ],0.9573665377376053,0.0020640933271954195,105632440.47687754,[36.426 21.292 21.863  0.   ],115.94246031821444
5,[7662. 7071. 3763.    0.],20161.0,403.19999999737746,[101.21  124.152 177.838   0.   ],28761.258935453086,439099.0,421075.0,28833000000.0,81236308.95468028,21664.0,406718.0,71.32894929678149,1.8680025792371189,23.93353504290462,31.33352584942511,3.16293444547561,0.8290759386935171,0.001488021427508556,3.756311690888349,[0.251 0.308 0.441 0.   ],0.9589523091603488,0.002817476813189064,71510416.6671318,[19.003 17.537  9.333  0.   ],53.73015873050821
6,[10345.  9355.  3278.     0.],20161.0,403.19999999737746,[146.302 119.68  137.218   0.   ],32008.1014907335,442416.0,419830.0,31489500000.0,215213581.40550646,16964.0,417640.0,79.38123478679434,2.1400128961855747,21.09895342492932,42.178206520598,7.257140351864905,1.638609195972422,0.002628837855265116,4.811318882991915,[0.363 0.297 0.34  0.   ],0.948948500958374,0.006834455339256148,78098958.33384131,[25.657 23.202  8.13   0.   ],42.073412698686354
7,[11802. 10404.  3347.     0.],20161.0,403.19999999737746,[174.227 128.932 100.041   0.   ],35397.72384297145,775162.0,735806.0,57510000000.0,426965199.7379739,31200.0,460009.0,87.7876192722796,4.321134864342132,37.200734090570904,63.31820028956291,13.790671356599512,2.6818610187986707,0.00248003571251426,7.897227320073409,[0.432 0.32  0.248 0.   ],0.9492286773603453,0.007424190570995895,142633928.5723563,[29.271 25.804  8.301  0.   ],77.38095238145569
8,[11655. 10078.  3884.     0.],20161.0,403.19999999737746,[165.074 104.715 133.411   0.   ],33087.909392824135,413211.0,385504.0,34846500000.0,265189737.07402122,21928.0,380720.0,82.05919694663261,2.738276871186799,23.593869351718666,51.33387436716215,10.976683529458532,2.2093150141362035,0.002678438569515401,5.187292297009077,[0.409 0.26  0.331 0.   ],0.9329470899855038,0.007610225907164887,86424851.19103833,[28.906 24.995  9.633  0.   ],54.38492063527437
9,[8323. 6947. 4839.    0.],20161.0,403.19999999737746,[102.245  83.221 217.734   0.   ],28785.393872979563,320811.0,306998.0,21295500000.0,65898163.10397475,15248.0,222140.0,71.38880480376783,1.47012548980716,18.658003075244284,30.285787525933433,3.537837130292641,0.892862457219384,0.0010912157135062744,3.1552006348891424,[0.254 0.206 0.54  0.   ],0.9569434963264976,0.003094464234414536,52816220.23843877,[20.642 17.23  12.001  0.   ],37.81746031770629
10,[11516.  9618.  2975.     0.],20161.0,403.19999999737746,[175.311 165.541  62.348   0.   ],39433.37036814279,1065016.0,1012861.0,68245500000.0,316031374.01538074,9912.0,619297.0,97.79616677779245,6.841882843113522,62.27091910123506,74.53732461865489,8.918335913100433,2.2682406626655425,0.001190417142006845,8.5739794653043,[0.435 0.411 0.155 0.   ],0.9510289047300697,0.00463080165015101,169259672.62014854,[28.562 23.854  7.378  0.   ],24.583333333493233
11,[12610. 10176.  3838.     0.],20161.0,403.19999999737746,[188.215 121.26   93.725   0.   ],40790.00339840257,1135842.0,1068225.0,89478000000.0,627048467.3352647,22336.0,551679.0,101.16066514161201,6.654947671247012,52.87178215366301,93.31889653897699,21.78717358628779,4.233420961261842,0.0006944099995039928,12.468875551807946,[0.467 0.301 0.232 0.   ],0.9404697132171552,0.007007850726829664,221919642.85858628,[31.275 25.238  9.519  0.   ],55.396825397185715
12,[12135. 10535.  3166.     0.],20161.0,403.19999999737746,[181.619 122.12   99.461   0.   ],37262.53767202526,633338.0,590538.0,59091000000.0,519442022.69555753,18736.0,488934.0,92.41242416552612,4.346649471752359,35.253211646247706,68.49578418535383,17.30446747510996,3.2001388819999006,0.0020832299985119786,8.433659044690243,[0.45  0.303 0.247 0.   ],0.9324215505780483,0.008790543783242077,146555059.52476275,[30.097 26.128  7.852  0.   ],46.46825396855621
13,[10725.  9676.  2496.     0.],20161.0,403.19999999737746,[168.161 149.953  85.086   0.   ],38042.736430803896,1081326.0,1022224.0,76705500000.0,428382574.7422282,14192.0,584208.0,94.34734495015458,5.03522642726086,45.226724864838054,74.61432476883687,13.435381313900441,3.0362085214027084,0.0008432121422548485,10.683646644511681,[0.417 0.372 0.211 0.   ],0.945343032535979,0.005584769993575796,190241815.47742787,[26.6   23.998  6.19   0.   ],35.19841269864164
14,[12040.  9640.  3459.     0.],20161.0,403.19999999737746,[180.036 155.152  68.012   0.   ],39641.24892454145,1053951.0,1000608.0,65788500000.0,210863779.0974582,10656.0,585813.0,98.31171302152654,7.000724170428656,60.60572392242448,77.6767387105072,9.641992641104675,2.4593522146718914,0.000496007142502852,8.463369872526165,[0.447 0.385 0.169 0.   ],0.9493875901251576,0.0032051768788991727,163165922.6201089,[29.861 23.909  8.579  0.   ],26.42857142874333
15,[7691. 7019. 3564.    0.],20161.0,403.19999999737746,[101.449 124.78  176.971   0.   ],28176.24408763636,374519.0,357962.0,23565000000.0,91878108.59892815,20336.0,378094.0,69.87809158184442,1.5230593720550207,20.103169485640592,29.851065928602253,3.2446658863941926,0.8533802886761569,0.0011408164277565598,3.378949456872179,[0.252 0.309 0.439 0.   ],0.9557912949676786,0.003898922495180486,58444940.47657062,[19.075 17.408  8.839  0.   ],50.436507936835994
16,[10287.  9445.  3813.     0.],20161.0,403.19999999737746,[141.701  92.748 168.751   0.   ],30071.66148821739,237644.0,220849.0,22495500000.0,101723839.97897784,15224.0,302416.0,74.57879442540968,1.6629730668123046,17.27830960765835,37.844646085227346,5.808558430735509,1.458608203958137,0.002827240712266257,3.421606071127424,[0.351 0.23  0.419 0.   ],0.929327060645335,0.00452196394741072,55792410.714648604,[25.513 23.425  9.457  0.   ],37.7579365081821
17,[14406. 12457.  3179.     0.],20161.0,403.19999999737746,[215.439 123.303  64.458   0.   ],38660.945502215865,534614.0,494656.0,52842000000.0,371861577.8339279,23144.0,382149.0,95.88052552505958,5.345528495610412,39.01175536927732,75.25913009397348,16.969172438308107,3.450324884678339,0.002182431427012549,7.546798273895144,[0.534 0.306 0.16  0.   ],0.9252582236903635,0.007037235112863403,131056547.61990005,[35.729 30.895  7.884  0.   ],57.40079365116701
18,[10397.  9310.  4331.     0.],20161.0,403.19999999737746,[141.816 100.897 160.487   0.   ],30558.98886312339,390091.0,366788.0,30490500000.0,124278483.3758416,23224.0,390672.0,75.78738371886323,2.2187391498436573,22.041962204255743,43.37914732390945,6.453346062706029,1.600714250285204,0.0017856257130102673,4.371757353305887,[0.352 0.25  0.398 0.   ],0.9402626566621635,0.00407597393863143,75621279.76239663,[25.786 23.09  10.742  0.   ],57.599206349580996
19,[8379. 7362. 4341.    0.],20161.0,403.19999999737746,[108.418 108.559 186.223   0.   ],28674.726521187185,396047.0,378306.0,23670000000.0,59280299.02122868,20904.0,333716.0,71.1143458191125,1.7124547393482763,20.64024601954268,32.699751905278895,3.6593680479499304,0.9641386835970438,0.001686424284509697,3.3810822875849413,[0.269 0.269 0.462 0.   ],0.9552048115501443,0.0025044486278508102,58705357.143238984,[20.781 18.259 10.766  0.   ],51.84523809557531
20,[11816. 10792.  1875.     0.],20161.0,403.19999999737746,[186.152 179.36   37.688   0.   ],41361.72557669509,983525.0,929897.0,64203000000.0,116245495.92399713,680.0,563419.0,102.5785565614172,6.8323595059776245,63.97738207430187,74.82614618538753,7.773886567703777,2.1224641634839543,0.001190417142006845,7.297257080501959,[0.462 0.445 0.093 0.   ],0.9454736788592054,0.0018105928994594821,159233630.95341665,[29.306 26.766  4.65   0.   ],1.6865079365189062
21,[12334. 10223.  3292.     0.],20161.0,403.19999999737746,[181.571 154.637  66.992   0.   ],40438.42416243146,1001091.0,954800.0,69984000000.0,134354684.33693764,2256.0,534410.0,100.28873608062823,7.21837210455869,63.9134963543475,71.4413560435246,7.329934232547151,2.0086801249937998,0.001488021427508556,7.8075492287088935,[0.45  0.384 0.166 0.   ],0.9537594484417501,0.0019197914428574765,173571428.57255754,[30.59  25.355  8.165  0.   ],5.595238095274488
22,[9087. 8294. 2376.    0.],20161.0,403.19999999737746,[141.275 147.205 114.72    0.   ],35537.517917615085,1052038.0,996595.0,78712500000.0,295889242.61254543,14212.0,618726.0,88.13431356979069,4.746550270324332,46.47924210108626,69.87803344035298,11.243988553725663,2.555478398888944,0.000744010713754278,9.995436734288974,[0.35  0.365 0.285 0.   ],0.9472994321497893,0.0037591137698910013,195219494.0488888,[22.537 20.57   5.893  0.   ],35.24801587324514
23,[12235. 11185.  2103.     0.],20161.0,403.19999999737746,[187.835 170.176  45.189   0.   ],41241.46702665271,999665.0,952876.0,69597000000.0,147348785.45167583,2056.0,519870.0,102.28031106257613,6.9348941024757105,63.91726600863053,68.3244231948201,7.12109520838346,1.9349238629036258,0.0018352264272605526,7.716779921630872,[0.466 0.422 0.112 0.   ],0.9531953204323448,0.002117171508135061,172611607.14397988,[30.345 27.741  5.216  0.   ],5.099206349239516
24,[11829. 10867.  2188.     0.],20161.0,403.19999999737746,[183.876 171.597  47.727   0.   ],41134.476538175986,998736.0,946727.0,63913500000.0,109263785.7597787,2496.0,538801.0,102.01497083025576,6.813074748277108,63.89702891721641,73.57961991643324,8.152706109363626,2.114627250632409,0.0013888199990079856,7.290957789792173,[0.456 0.426 0.118 0.   ],0.9479251774242643,0.0017095572259347195,158515625.00103104,[29.338 26.952  5.427  0.   ],6.190476190516455
