id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,num_rejects,ant_switches,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[14306.  8278.  9096.     0.],20161.0,403.19999999737746,[162.754  56.25  184.196   0.   ],34967.12407903442,493697.0,474227.0,53496.0,84117.0,42517500000.0,41723293.89062592,86.71971647991464,7.596051783145604,57.329695947621644,64.88345914773474,5.204046798489995,1.5689697931650215,0.0010912157135062744,4.614949655275036,[0.404 0.14  0.457 0.   ],0.9605628553546001,0.0009813204889898492,105450148.81020969,[35.481 20.531 22.56   0.   ],132.6785714294344
1,[12180.  9231.  4189.     0.],20161.0,403.19999999737746,[177.607 145.301  80.292   0.   ],39862.02249021546,1250357.0,1186737.0,13104.0,592733.0,94704000000.0,293505397.3070229,98.859239348777,7.362690342741053,62.07569068994594,90.37733493818946,12.45376388950503,3.094142155647041,0.0002976042855017112,11.528346808194039,[0.44  0.36  0.199 0.   ],0.949118531747333,0.0030991869119258207,234880952.3824801,[30.208 22.894 10.389  0.   ],32.500000000211394
2,[13705. 10857.  4374.     0.],20161.0,403.19999999737746,[191.003 132.574  79.623   0.   ],40688.921997891164,843880.0,806121.0,10632.0,361094.0,69594000000.0,211331315.32664958,100.9099796584735,7.7979465304299165,63.46431228609692,70.73867117783544,7.4843032701114725,2.019294677843361,0.001984028570011408,7.789792173007291,[0.474 0.329 0.197 0.   ],0.9552554865620705,0.0030366312516402214,172604166.66778934,[33.991 26.927 10.848  0.   ],26.36904761921913
3,[12093.  9227.  4301.     0.],20161.0,403.19999999737746,[174.422 139.822  88.956   0.   ],38953.58801154725,1140894.0,1082631.0,17384.0,551949.0,87795000000.0,279610301.72293776,96.60628939919965,6.925410445910692,57.99890878428649,86.24875461053186,12.14624451688569,3.015326620703338,0.0008432121422548485,11.014929814989335,[0.433 0.347 0.221 0.   ],0.9489321532061699,0.0031848089495180565,217745535.715702,[29.993 22.884 10.667  0.   ],43.1150793653598
4,[14632.  8484.  8929.     0.],20161.0,403.19999999737746,[170.051  56.632 176.517   0.   ],36047.58177683717,503380.0,482451.0,48764.0,96585.0,42768000000.0,61887454.81994406,89.39929015632642,7.951946828034245,58.44729924110907,67.27727798950487,6.023096354549458,1.7263528594811766,0.001488021427508556,4.861862010812955,[0.422 0.14  0.438 0.   ],0.9584230601136319,0.001447050477458475,106071428.57211849,[36.29  21.042 22.145  0.   ],120.94246031824696
5,[7634. 7018. 3779.    0.],20161.0,403.19999999737746,[100.515 123.718 178.967   0.   ],28663.765664385974,423122.0,405500.0,21424.0,396715.0,27811500000.0,68206620.54819928,71.08716250280477,1.792688854719517,23.077625117801695,31.17377265940892,3.1241562838358345,0.8366648479738108,0.001686424284509697,3.664649570953822,[0.249 0.307 0.444 0.   ],0.9583524373584924,0.0024524610520180244,68976934.52425817,[18.934 17.406  9.373  0.   ],53.13492063526624
6,[10095.  9151.  3308.     0.],20161.0,403.19999999737746,[140.545 125.873 136.782   0.   ],31651.819462050065,396366.0,376078.0,16272.0,428204.0,27205500000.0,188355134.99591282,78.49764263193275,1.8682803432369142,19.411140320420614,38.57006365131099,5.654276258729596,1.3863399632954714,0.0021328307127622638,4.216804721987996,[0.349 0.312 0.339 0.   ],0.9488149841308285,0.006923421183066395,67473958.33377221,[25.037 22.696  8.204  0.   ],40.35714285740535
7,[11715. 10279.  3415.     0.],20161.0,403.19999999737746,[173.445 130.033  99.722   0.   ],35941.925189458,837610.0,795357.0,30564.0,474832.0,61543500000.0,458010215.15604603,89.13725804636462,4.550250483606981,38.913942760775754,65.62501065602858,15.029815941864575,2.88874559793661,0.001984028570011408,8.506919299637914,[0.43  0.323 0.247 0.   ],0.9495552822912812,0.007442056677895245,152637648.81051663,[29.055 25.494  8.47   0.   ],75.80357142906448
8,[11576. 10043.  3917.     0.],20161.0,403.19999999737746,[161.455 107.554 134.191   0.   ],32529.109281436005,366419.0,341019.0,22072.0,387662.0,31828500000.0,207691923.48019433,80.67335271423381,2.5211051039134404,22.21397748127573,48.1671584199604,9.056825969609704,1.995982342145727,0.0023312335697634047,4.747234760180547,[0.4   0.267 0.333 0.   ],0.9306804505224893,0.0065253443762726595,78939732.1433706,[28.71  24.908  9.715  0.   ],54.742063492419554
9,[8383. 6771. 5194.    0.],20161.0,403.19999999737746,[100.716  81.523 220.961   0.   ],28576.948261823713,312374.0,299498.0,15392.0,209400.0,19875000000.0,50353065.26717504,70.87185224398561,1.360805515599553,17.6350379445464,29.582497932490767,3.314950003214184,0.8579931551014335,0.0007936114280045633,3.031198849263429,[0.25  0.202 0.548 0.   ],0.958780180168644,0.0025334875606125807,49293154.76222538,[20.791 16.793 12.882  0.   ],38.17460317485148
