id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,num_rejects,ant_switches,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[3.376e+03 3.211e+03 1.491e+03 1.000e+00],10081.0,201.60000000059856,[3.853e+01 3.020e+01 1.328e+02 1.100e-01],12170.010233179337,16841.0,13118.0,28748.0,131684.0,8917500000.0,2075917.4818498986,60.36112604493131,1.4421585160202544,33.09592302350957,22.260113076815465,1.7843667381102069,0.4309096319809543,0.033627616307905964,1.334788215454816,[1.911e-01 1.498e-01 6.586e-01 5.456e-04],0.778932367436613,0.0002327914193271543,44233630.952249624,[1.675e+01 1.593e+01 7.396e+00 4.960e-03],142.59920634878296
1,[6584. 5846. 1724.    0.],10081.0,201.60000000059856,[90.188 32.856 78.556  0.   ],15447.3648900117,11017.0,4284.0,16456.0,23124.0,14989500000.0,3052557.7476595915,76.61623296305656,2.3149290744966704,20.118242237873226,47.27989831245563,5.391712130018991,1.4115663128657872,0.028072611844063088,2.647852395595675,[0.447 0.163 0.39  0.   ],0.38885358990650815,0.00020364640232560069,74352678.57120782,[32.659 28.998  8.552  0.   ],81.62698412674177
2,[6022. 5226. 1824.    0.],10081.0,201.60000000059856,[79.624 32.742 89.234  0.   ],15075.568285430236,9289.0,3645.0,26400.0,23682.0,13458000000.0,3644053.83450456,74.77218671476157,2.921456204741614,32.10832258704494,40.73137748616614,4.103432508573558,1.068048804682075,0.04771352048407896,2.0992957047911913,[0.395 0.162 0.443 0.   ],0.39239961244482724,0.0002707723164292287,66755952.38075418,[29.871 25.923  9.048  0.   ],130.95238095199215
3,[6299. 6047. 1437.    0.],10081.0,201.60000000059856,[87.571 42.16  71.869  0.   ],15436.720083755998,10171.0,3815.0,13672.0,24067.0,14929500000.0,8639623.750556976,76.56343658246033,2.0920146810833082,18.882253744668187,44.29899484427006,5.563547917427776,1.3887511159607182,0.025890288661839102,2.7261184406308896,[0.434 0.209 0.356 0.   ],0.3750860289057123,0.0005786947821800446,74055059.52358966,[31.245 29.995  7.128  0.   ],67.81746031725896
4,[6157. 5284. 1880.    0.],10081.0,201.60000000059856,[81.876 31.368 88.356  0.   ],15329.94824681953,9879.0,3922.0,27564.0,24699.0,14127000000.0,3001113.837402657,76.03386691211011,3.134768376153169,33.67999206427934,42.8663903130787,4.333697766988868,1.1185398273980756,0.051780577323678204,2.1958139073504612,[0.406 0.156 0.438 0.   ],0.3970037453183521,0.00021243815653731557,70074404.76169671,[30.541 26.21   9.325  0.   ],136.72619047578453
5,[6363. 6013. 1496.    0.],10081.0,201.60000000059856,[89.665 39.126 72.809  0.   ],15580.392126354616,10108.0,3576.0,11016.0,23757.0,14230500000.0,6242417.469335429,77.27602483064157,2.057018152961125,18.208114274377543,45.2476970596836,5.5884375071147945,1.4567007241345105,0.02420394802102966,2.6699732169427635,[0.445 0.194 0.361 0.   ],0.3537791848041156,0.00043866466177122583,70587797.61883804,[31.562 29.826  7.421  0.   ],54.64285714269491
6,[3461. 3105. 1516.    0.],10081.0,201.60000000059856,[ 40.122  28.998 132.48    0.   ],12234.990119611295,18078.0,14248.0,30636.0,134089.0,9412500000.0,6944394.599754248,60.683414937065166,1.5896042059319706,36.31703204047218,22.988875921345425,1.9073298196790713,0.4548159904771352,0.03491717091558377,1.4098799722249777,[0.199 0.144 0.657 0.   ],0.7881402810045359,0.0007377842868264805,46688988.09509947,[17.168 15.402  7.52   0.   ],151.96428571383453
7,[5462. 5739. 1451.    0.],10081.0,201.60000000059856,[73.024 48.54  80.036  0.   ],14843.018164727182,6455.0,1775.0,12224.0,20340.0,9976500000.0,1901400.397493721,73.61877871603075,1.6741196309890558,18.3656383295308,32.86030454492928,3.2475445347366962,0.8568594385477631,0.02916377343517508,1.5653209007042952,[0.362 0.241 0.397 0.   ],0.2749806351665376,0.00019058792136457885,49486607.14271022,[27.093 28.467  7.197  0.   ],60.63492063474061
8,[6.066e+03 6.187e+03 1.243e+03 5.000e+00],10081.0,201.60000000059856,[85.709 46.688 68.615  0.588],15636.414962778459,7794.0,2268.0,4520.0,19765.0,12616500000.0,4733321.331744816,77.55388831850448,1.6997520087294242,16.512647554806072,39.08688879162067,5.073379060756472,1.2836028171808351,0.025691895645273286,2.4778295803987698,[0.425 0.232 0.34  0.003],0.2909930715935335,0.0003751691302456954,62581845.23790943,[3.009e+01 3.069e+01 6.166e+00 2.480e-02],22.420634920568354
9,[6155. 5949. 1311.   15.],10081.0,201.60000000059856,[88.192 44.042 67.511  1.855],15544.83009931916,8372.0,2771.0,6320.0,22274.0,12847500000.0,7076190.963666077,77.09964338517149,1.8195813907351877,16.760638825513343,40.036556265086354,5.398244235821999,1.3544291240948318,0.026882253744668187,2.6239460370994943,[0.437 0.218 0.335 0.009],0.3309842331581462,0.0005507834959070696,63727678.57123936,[30.531 29.509  6.503  0.074],31.349206349113274
