id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,disconnects,num_rejects,cell_traffic,cell_dropped_traffic,ant_switches,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[421. 622. 323. 529.],10081.0,201.60000000059856,[  9.811   5.71   14.59  171.489],6249.275599518185,22605.0,9247.0,21362.0,1434000000.0,6316441.19279345,25668.0,30.995315938491707,0.21489931554409294,20.183315147306814,3.2345067660365934,0.3108706809645761,0.05594683067156036,0.07896042059319512,0.34470786628310685,[0.049 0.028 0.072 0.851],0.9450121654501217,0.0044047707062715834,7113095.238074119,[2.088 3.085 1.602 2.624],127.32142857105055
1,[ 562. 1305.  731.  341.],10081.0,201.60000000059856,[ 16.044  32.727 113.546  39.283],6712.313347206762,38001.0,6006.0,36916.0,2761500000.0,5001725.6299392525,5856.0,33.29190232718765,0.2844955857553799,16.89157821644678,5.0224626400284285,0.5065059060429694,0.11824223787322687,0.027576629302648547,0.594782263664319,[0.08  0.162 0.563 0.195],0.9714481197863214,0.0018112350642546632,13697916.666625997,[2.788 6.473 3.626 1.691],29.047619047532805
2,[ 618. 1163.  650.  489.],10081.0,201.60000000059856,[ 16.839  17.305 111.499  55.957],6774.890902982185,26013.0,6277.0,24837.0,1984500000.0,569772.5799279375,7880.0,33.60227607867794,0.307271104057135,17.16297986310882,4.800908675538798,0.39734695732764064,0.09503025493502629,0.039976192838012105,0.3971828191647654,[0.084 0.086 0.553 0.278],0.9547918348518049,0.0002871114033398526,9843749.999970773,[3.065 5.769 3.224 2.426],39.087301587185536
3,[ 528. 1283.  737.  358.],10081.0,201.60000000059856,[ 15.488  30.864 114.07   41.178],6634.690565374769,41178.0,5664.0,40122.0,2763000000.0,4632949.825536335,6088.0,32.906906881140166,0.27775022319214276,16.91340144826902,4.808658492329283,0.4774373459142454,0.10941374863604801,0.029064576926892172,0.5916079753992659,[0.077 0.153 0.566 0.204],0.9743552382340085,0.001676782419665702,13705357.14281645,[2.619 6.364 3.656 1.776],30.19841269832304
4,[ 526. 1093.  683.  399.],10081.0,201.60000000059856,[ 16.157  18.038 121.871  45.534],6676.465391811635,23424.0,5072.0,22392.0,1969500000.0,1737701.6998473646,6936.0,33.114102726973734,0.2992560261878764,17.08044836821744,4.6508759159320245,0.4005363164693778,0.09641900605098701,0.02946136296002381,0.38260093244717785,[0.08  0.089 0.605 0.226],0.9559426229508197,0.0008823060166780222,9769345.238066232,[2.609 5.422 3.388 1.979],34.40476190465976
5,[ 555. 1368.  782.  349.],10081.0,201.60000000059856,[ 16.325  37.102 107.871  40.302],6712.622147137389,40479.0,6792.0,39310.0,2844000000.0,5330254.823095607,6032.0,33.29343392093172,0.28346394206923775,16.84991568296796,5.1108023021878966,0.5252782655141931,0.12062295407201666,0.03452038488245214,0.6281122904473763,[0.081 0.184 0.535 0.2  ],0.9711208280836977,0.0018742105566440248,14107142.857100973,[2.753 6.786 3.879 1.731],29.920634920546085
6,[438. 671. 306. 538.],10081.0,201.60000000059856,[  9.93    6.001  14.341 171.328],6256.71412596279,24958.0,10645.0,23602.0,1462500000.0,6396132.9123271685,25808.0,31.03220973099541,0.2058525939886919,20.183711933339946,3.097348760476837,0.3118713694025329,0.055847634163277454,0.08739212379724234,0.3617696657077671,[0.049 0.03  0.071 0.85 ],0.9456687234554051,0.004373424213557038,7254464.285692747,[2.173 3.328 1.518 2.669],128.01587301549293
7,[ 435. 1075.  645.  338.],10081.0,201.60000000059856,[ 11.091  27.974 123.657  38.878],6274.151761387511,32621.0,6104.0,31879.0,1944000000.0,5181566.428453231,4816.0,31.118697358337506,0.17998214462850995,16.674139470290644,3.0423331481468785,0.2799378938998018,0.06140263862712032,0.01854974704890388,0.43487749231227063,[0.055 0.139 0.613 0.193],0.9772539161889581,0.002665414829451251,9642857.142828513,[2.158 5.332 3.199 1.677],23.888888888817963
8,[ 416. 1267.  921.  354.],10081.0,201.60000000059856,[ 10.737  39.743 108.501  42.619],6257.088445692658,50759.0,3699.0,50008.0,2733000000.0,2787123.581541147,3784.0,31.034066291504647,0.1782362860827307,16.47773038389049,3.1793882800006315,0.3183932937010624,0.07747247296895149,0.025096716595575837,0.6375359587342525,[0.053 0.197 0.538 0.211],0.9852045942591462,0.0010198037254083962,13556547.61900737,[2.063 6.285 4.568 1.756],18.76984126978554
9,[ 428. 1230.  912.  355.],10081.0,201.60000000059856,[ 11.313  36.541 112.08   41.666],6295.862057234456,46095.0,3430.0,45328.0,2728500000.0,2781730.5511411,3848.0,31.226376635428576,0.20339252058327614,16.51939291736931,3.5579857647876194,0.36168488720103703,0.08917766094633468,0.02023608768971332,0.6183910326356512,[0.056 0.181 0.556 0.207],0.9833604512420002,0.001019509089661389,13534226.190436007,[2.123 6.101 4.524 1.761],19.087301587244916
10,[ 477. 1330.  937.  400.],10081.0,201.60000000059856,[ 12.816  40.385 101.612  46.787],6429.358261598239,55735.0,3889.0,54844.0,2809500000.0,599969.0837425905,4456.0,31.888494502524466,0.22918361273683144,16.695962702112887,3.8440621179046226,0.3945774253348851,0.09780775716694773,0.026882253744668187,0.6815792084118639,[0.064 0.2   0.504 0.232],0.9840136359558626,0.0002135501276891228,13936011.904720528,[2.366 6.597 4.648 1.984],22.10317460310898
11,[ 447. 1271.  886.  362.],10081.0,201.60000000059856,[ 12.117  36.038 110.688  42.757],6363.823699826402,47356.0,3428.0,46517.0,2836500000.0,5178044.633438855,4240.0,31.56345451754294,0.20902688225374547,16.567800813411367,3.688770884983456,0.4099937553766757,0.08640015871441326,0.026882253744668187,0.6350560460271798,[0.06  0.179 0.549 0.212],0.9822831320212856,0.0018255048945668448,14069940.476148702,[2.217 6.305 4.395 1.796],21.03174603168359
12,[ 407. 1239.  942.  369.],10081.0,201.60000000059856,[ 10.639  38.92  108.474  43.567],6219.690496853791,49197.0,3679.0,48456.0,2670000000.0,1134611.9340319843,3768.0,30.848578994416698,0.1789505009423677,16.459478226366432,3.2963434541689827,0.3283856891143103,0.07628211486955659,0.023906358496180936,0.6217637139172701,[0.053 0.193 0.538 0.216],0.9849381059820721,0.0004249482898996196,13244047.619008297,[2.019 6.146 4.673 1.83 ],18.690476190420696
