id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,num_rejects,ant_switches,cell_traffic,cell_dropped_traffic,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[11779.  6654.  8252.     0.],20161.0,403.19999999737746,[130.181  50.501 222.518   0.   ],31828.540419444245,385674.0,371189.0,52128.0,31372500000.0,57320780.61178704,61606.0,78.93591691741416,6.29837805664424,57.42373890184019,50.111766691830816,4.057225256477325,1.208372600565448,0.001488021427508556,3.590595704578146,[0.323 0.125 0.552 0.   ],0.9624423736108735,0.0018271027368487384,77808779.76241085,[29.214 16.503 20.466  0.   ],129.2857142865552
1,[11438.  7625.  5668.     0.],20161.0,403.19999999737746,[151.21  106.402 145.588   0.   ],36169.70155596307,920707.0,877757.0,26240.0,68841000000.0,257666520.19904053,385219.0,89.70215156976181,6.7253013243396,59.23912504340063,71.48640512914685,10.441745619677487,2.4754228460889838,0.0006448092852537077,8.697237240216259,[0.375 0.264 0.361 0.   ],0.9533510660829124,0.0037429223892598965,170736607.14396766,[28.368 18.911 14.058  0.   ],65.07936507978837
2,[11931.  9000.  5315.     0.],20161.0,403.19999999737746,[156.452 113.56  133.188   0.   ],37544.21387423014,638374.0,611574.0,13048.0,51517500000.0,175060136.227016,243743.0,93.11099120635778,6.795377213432538,63.3393184861862,54.98337361541361,5.875739666011446,1.5657953474530033,0.0016368235702594117,5.959476216457517,[0.388 0.282 0.33  0.   ],0.9580183403459414,0.0033980712617463194,127771577.38178344,[29.591 22.321 13.182  0.   ],32.3611111113216
3,[10950.  7500.  5655.     0.],20161.0,403.19999999737746,[143.784 102.619 156.797   0.   ],35069.35293906561,855781.0,815693.0,30240.0,65046000000.0,233580743.24854052,361187.0,86.9732477036397,6.20699370070967,55.90556024006746,67.51924358009562,9.651587612512445,2.361986012598581,0.00039680571400228164,8.378999057586428,[0.357 0.255 0.389 0.   ],0.9531562397389052,0.0035910085669916755,161324404.76295406,[27.158 18.601 14.025  0.   ],75.00000000048783
4,[11984.  6742.  8200.     0.],20161.0,403.19999999737746,[134.484  49.087 219.629   0.   ],32462.793467799143,393934.0,378660.0,49304.0,31780500000.0,45952302.63458664,66061.0,80.5088871281057,6.532691830762685,58.105451118496106,51.16971599066825,4.500437573877169,1.2897177719359159,0.0006448092852537077,3.7261544566241755,[0.334 0.122 0.545 0.   ],0.961227007569796,0.0014459276170792354,78820684.5243222,[29.722 16.721 20.337  0.   ],122.28174603254139
5,[5618. 4924. 3556.    0.],20161.0,403.19999999737746,[ 69.683  79.385 254.132   0.   ],25845.026275259643,304883.0,293764.0,25920.0,20034000000.0,60015120.86873438,251964.0,64.09658815349583,1.3319974207629082,22.246317146966916,21.953870549941936,2.245764525250987,0.5992262288576955,0.0009424135707554189,2.7795248251574822,[0.173 0.197 0.63  0.   ],0.9635302722683784,0.002995663415630148,49687500.000323184,[13.934 12.212  8.819  0.   ],64.28571428613242
6,[7658. 6462. 3828.    0.],20161.0,403.19999999737746,[100.17   81.948 221.082   0.   ],29177.316564759465,325365.0,311246.0,18016.0,21862500000.0,186289918.1645428,260309.0,72.36078707592597,1.5354000297605288,19.307177223352017,29.34313795130602,5.073760903020943,1.1193393184861862,0.001488021427508556,3.5516591438916723,[0.248 0.203 0.548 0.   ],0.9566056582607225,0.00852097967590819,54222470.23844792,[18.993 16.027  9.494  0.   ],44.68253968283031
7,[10157.  7819.  4663.     0.],20161.0,403.19999999737746,[137.705  98.466 167.029   0.   ],32103.712565371843,654181.0,624956.0,42000.0,46387500000.0,308302997.02195096,305744.0,79.61835366640447,4.0838053667973755,38.30107633549923,51.23144068971723,9.688157937772635,2.0248003571251427,0.0010416149992559893,6.443678388968801,[0.342 0.244 0.414 0.   ],0.9553258196126149,0.006646251619982775,115048363.09598641,[25.191 19.392 11.565  0.   ],104.1666666673442
8,[9342. 7106. 4636.    0.],20161.0,403.19999999737746,[120.856  67.783 214.561   0.   ],29857.02525086768,339114.0,319666.0,27984.0,26353500000.0,209942074.11122766,237514.0,74.04648889158041,2.2887356777937935,23.07445067208968,38.94900336835912,7.6812195591043375,1.5766579038738158,0.000992014285005704,4.007192103566291,[0.3   0.168 0.532 0.   ],0.9426505540909547,0.007966382989402837,65360863.09566322,[23.17  17.624 11.498  0.   ],69.40476190521333
9,[6077. 4729. 4134.    0.],20161.0,403.19999999737746,[ 71.271  58.53  273.399   0.   ],26041.111408694473,255997.0,246597.0,21736.0,15945000000.0,42753218.68810342,158317.0,64.58288628710973,1.1383165517584262,19.31451812906106,21.766492089624442,2.361596174372392,0.6181737017013045,0.0004464064282525668,2.445563216110312,[0.177 0.145 0.678 0.   ],0.9632808196971058,0.0026812931130826855,39546130.95263817,[15.072 11.729 10.253  0.   ],53.9087301590808
