id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,ant_switches,disconnects,cell_traffic,cell_dropped_traffic,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[3506. 3507.    0.    0.],10081.0,201.60000000059856,[ 54.07 147.53   0.     0.  ],16456.134898504537,44433.0,30824.0,4007.0,7816500000.0,1802447.0032979306,41205.0,81.61955608818894,2.7832159507985286,55.96389247098502,19.479991924379824,1.587790141568826,0.45858545779188575,0.0032734847733359787,1.037000297589525,[0.268 0.732 0.    0.   ],0.9273512929579367,0.00023059515170446244,38772321.428456314,[17.391 17.396  0.     0.   ],152.89682539637144
1,[590. 591.   0.   0.],10081.0,201.60000000059856,[  8.487 193.113   0.      0.   ],12782.921427016125,29955.0,488.0,572.0,5392500000.0,1074571.0523670116,29531.0,63.40105856072042,0.13181232020632963,16.066660053566114,2.5755557859288296,0.20763289980840863,0.06358496180934431,0.0002975895248487253,0.7668882055351651,[0.042 0.958 0.    0.   ],0.985845434818895,0.0001992714051677351,26748511.904682487,[2.927 2.932 0.    0.   ],2.4206349206277338
2,[1938. 1938.    0.    0.],10081.0,201.60000000059856,[ 38.669 162.931   0.      0.   ],14180.778018086794,14149.0,22552.0,1085.0,4309500000.0,864758.2777239231,12315.0,70.33418320644412,0.7408788810633871,18.773931157623252,11.623090342582804,0.8263080996727055,0.24977680785636347,0.00317428826505307,0.5723638527923817,[0.192 0.808 0.    0.   ],0.8703795321224115,0.00020066325042903424,21376488.09517463,[9.613 9.613 0.    0.   ],111.86507936474723
3,[1675. 1676.    0.    0.],10081.0,201.60000000059856,[ 27.498 174.102   0.      0.   ],13610.766030849714,30932.0,2352.0,1700.0,5463000000.0,740928.0623650672,29524.0,67.50702326577716,0.4374962801309308,16.20870945342724,8.567302282925544,0.7242970341162924,0.21714115663128658,0.001587144132526535,0.8042852891578216,[0.136 0.864 0.    0.   ],0.9544807965860598,0.0001356265902187566,27098214.285633832,[8.309 8.313 0.    0.   ],11.666666666632029
4,[2013. 2014.    0.    0.],10081.0,201.60000000059856,[ 41.308 160.292   0.      0.   ],14318.717620501027,15471.0,23016.0,1188.0,4476000000.0,102893.24114183243,13467.0,71.0183395521157,0.81515722646563,18.97510167642099,12.450703133644767,0.9325472790710919,0.27536950699335383,0.004662235889296697,0.587243329034818,[0.205 0.795 0.    0.   ],0.8704673259647082,2.2987766117478202e-05,22202380.952315032,[9.985 9.99  0.    0.   ],114.1666666663277
5,[472. 473.   0.   0.],10081.0,201.60000000059856,[  7.233 194.367   0.      0.   ],12733.454419872698,30099.0,512.0,458.0,5469000000.0,91641.37582265929,29703.0,63.15571084152922,0.10895744469794727,16.06546969546672,2.231414213851447,0.19469913295716004,0.05674040273782363,0.0002975895248487253,0.7776014284297192,[0.036 0.964 0.    0.   ],0.9868434167248081,1.6756514138354232e-05,27127976.190395646,[2.341 2.346 0.    0.   ],2.5396825396749994
6,[3446. 3447.    0.    0.],10081.0,201.60000000059856,[ 52.654 148.946   0.      0.   ],16281.800808613132,39868.0,31352.0,4095.0,7648500000.0,0.0,36785.0,80.7548894385926,2.6841781569288714,54.711635750421586,19.227113149069346,1.4924588352251043,0.4617597460569388,0.00317428826505307,1.0115067949608174,[0.261 0.739 0.    0.   ],0.922669810374235,0.0,37938988.09512545,[17.093 17.098  0.     0.   ],155.51587301541127
7,[442. 443.   0.   0.],10081.0,201.60000000059856,[  6.205 195.395   0.      0.   ],12683.993297887553,24522.0,296.0,354.0,3741000000.0,599964.6157751716,24147.0,62.910392311694906,0.08245213768475378,16.04801111000893,1.9088163516045256,0.12218507419072955,0.038686638230334296,0.00039678603313163377,0.5093740700327348,[0.031 0.969 0.    0.   ],0.984707609493516,0.0001603754653234888,18556547.618992522,[2.192 2.197 0.    0.   ],1.468253968249609
8,[1451. 1452.    0.    0.],10081.0,201.60000000059856,[ 21.181 180.419   0.      0.   ],13331.10357883518,54115.0,1352.0,1592.0,5413500000.0,1464158.4678893855,52956.0,66.11994632889349,0.3311576232516571,16.122606884237676,6.72057425484745,0.5495401594822171,0.17002281519690507,0.0006943755579803591,0.9768872135700823,[0.105 0.895 0.    0.   ],0.9785826480643075,0.0002704642962758632,26852678.571348846,[7.197 7.202 0.    0.   ],6.706349206329295
9,[1333. 1334.    0.    0.],10081.0,201.60000000059856,[ 19.734 181.866   0.      0.   ],13270.81289658253,49682.0,1384.0,1464.0,5383500000.0,1678921.2272314182,48617.0,65.82091507082073,0.3018748140065438,16.124590814403334,6.035397120066955,0.5429706680070586,0.15891280626921933,0.0007935720662632675,0.9565519293720861,[0.098 0.902 0.    0.   ],0.9785636649088201,0.0003118642569390579,26703869.047539763,[6.612 6.617 0.    0.   ],6.865079365058983
