id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[1934. 1935.    0.    0.],10081.0,201.60000000059856,[ 26.39 175.21   0.     0.  ],13937.60744676075,40144.0,4751.0,3226.0,5310000000.0,0.0,1111.0,69.12809962680846,0.9841087193730788,36.977283999603216,10.65264765938494,0.5823549807108097,0.17180835234599742,0.0036702708064676125,0.4666203749628013,[0.131 0.869 0.    0.   ],0.679014944222269,0.0,26339285.71420751,[9.593 9.598 0.    0.   ],199.12698412639293
1,[1961. 1962.    0.    0.],10081.0,201.60000000059856,[ 29.217 172.383   0.      0.   ],13706.76174068415,17084.0,5485.0,4059.0,6142500000.0,234550.55807661975,1239.0,67.9831452270644,0.5925602618787774,18.3969844261482,10.588054988960653,0.7571028010580448,0.20593195119531793,0.003967860331316337,0.6211685348675726,[0.145 0.855 0.    0.   ],0.7400182315405652,3.8184869039742735e-05,30468749.99990954,[9.727 9.732 0.    0.   ],84.74206349181189
2,[1387. 1388.    0.    0.],10081.0,201.60000000059856,[ 29.095 172.505   0.      0.   ],13742.003539396701,21288.0,7749.0,6250.0,5032500000.0,234550.55807661975,375.0,68.15793839595885,0.6116059914691024,21.763713917270113,9.844340138375102,0.5884138260914125,0.17795853585953775,0.0041662533478821545,0.5102668386072811,[0.144 0.856 0.    0.   ],0.8065556846044651,4.6607165042547394e-05,24962797.618973505,[6.88  6.885 0.    0.   ],105.59523809492458
3,[2142. 2143.    0.    0.],10081.0,201.60000000059856,[ 38.885 162.715   0.      0.   ],14144.527224849484,24824.0,7418.0,5521.0,6252000000.0,0.0,1348.0,70.154385600863,0.7812716992361831,19.218728300763814,13.607656463423837,1.0259666877613836,0.29550639817478425,0.005555004463842873,0.6751314353734749,[0.193 0.807 0.    0.   ],0.7442706929091399,0.0,31011904.761812687,[10.625 10.63   0.     0.   ],123.13492063455504
4,[1392. 1393.    0.    0.],10081.0,201.60000000059856,[ 28.893 172.707   0.      0.   ],13733.212178867676,21408.0,7222.0,5788.0,5031000000.0,0.0,502.0,68.11433478258141,0.6070826306914021,21.8061700228152,9.360528764967464,0.6004122321675457,0.17587540918559666,0.004067056839599246,0.5272294415236584,[0.143 0.857 0.    0.   ],0.8014400443090557,0.0,24955357.14278305,[6.905 6.91  0.    0.   ],106.19047619016091
5,[1473. 1474.    0.    0.],10081.0,201.60000000059856,[ 25.903 175.697   0.      0.   ],13530.068910332706,13348.0,5128.0,3870.0,5829000000.0,15090.152674624595,679.0,67.10677963658922,0.4793968852296339,17.56174982640611,9.119760211449192,0.6350253927026928,0.18014085904176172,0.004563039381013789,0.5979565519293721,[0.128 0.872 0.    0.   ],0.7546801872074883,2.5888064289971853e-06,28913690.476104632,[7.307 7.312 0.    0.   ],66.21031746012088
6,[2285. 2286.    0.    0.],10081.0,201.60000000059856,[ 30.652 170.948   0.      0.   ],14225.549179673757,40208.0,4814.0,3103.0,5367000000.0,15090.152674624595,1481.0,70.5562403515029,1.2012300367027062,37.68554706874318,12.149308817880902,0.7008405888225682,0.20503918262077175,0.005852593988691598,0.47763118738220417,[0.152 0.848 0.    0.   ],0.6445783132530121,2.8116550539639637e-06,26622023.809444766,[11.334 11.339  0.     0.   ],199.4444444438523
7,[1567. 1568.    0.    0.],10081.0,201.60000000059856,[ 22.268 179.332   0.      0.   ],13419.587347820805,17824.0,3667.0,2545.0,4704000000.0,0.0,1050.0,66.55881037504864,0.47550838210494906,19.866679892867772,8.144373947588688,0.49869798990755165,0.14790199384981648,0.005257414938994147,0.43686142247792875,[0.11 0.89 0.   0.  ],0.6940278156531224,0.0,23333333.333264057,[7.773 7.778 0.    0.   ],88.41269841243592
8,[1640. 1641.    0.    0.],10081.0,201.60000000059856,[ 23.466 178.134   0.      0.   ],13441.648741046241,16560.0,10005.0,8858.0,6163500000.0,199018.81083910493,1083.0,66.66823103383923,0.44098799722249393,17.786330721158617,7.8575209525137675,0.535348973493375,0.153853784346791,0.00317428826505307,0.6993353833945045,[0.116 0.884 0.    0.   ],0.8853573213393303,3.228990197762715e-05,30572916.666575894,[8.135 8.14  0.    0.   ],82.14285714261325
9,[1685. 1686.    0.    0.],10081.0,201.60000000059856,[ 24.469 177.131   0.      0.   ],13478.752959511097,15344.0,11469.0,10267.0,5995500000.0,108284.27767954183,1162.0,66.85226147955304,0.44527328638031455,17.70181529610158,8.026136869032925,0.5366772017286311,0.16129352246800913,0.004364646364447972,0.6895149290744966,[0.121 0.879 0.    0.   ],0.8951957450518789,1.80609253072374e-05,29739583.333245035,[8.358 8.363 0.    0.   ],76.11111111088513
