id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,disconnects,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[1962. 1963.    0.    0.],10081.0,201.60000000059856,[ 27.529 174.071   0.      0.   ],14017.116352248218,40132.0,5251500000.0,458090.5813639535,4452.0,1168.0,2927.0,69.52244991689605,1.0350560460271798,37.20146810832259,10.43850771141983,0.6387574146546292,0.18281916476540025,0.004761432397579605,0.4731673445094733,[0.137 0.863 0.    0.   ],0.6574573225516622,8.723042585241426e-05,26049107.1427798,[9.732 9.737 0.    0.   ],199.06746031686927
1,[2000. 2001.    0.    0.],10081.0,201.60000000059856,[ 30.4 171.2   0.    0. ],13757.708496569177,17160.0,6205500000.0,458090.5813639535,5410.0,1338.0,3892.0,68.23583224167122,0.6114472770558421,18.371986906060908,11.159113315832021,0.764572791272895,0.22001785537149093,0.004959825414145422,0.6310881856958636,[0.151 0.849 0.    0.   ],0.7194085027726432,7.3820092073798e-05,30781249.99990861,[9.921 9.926 0.    0.   ],85.1190476187949
2,[1377. 1377.    0.    0.],10081.0,201.60000000059856,[ 27.847 173.753   0.      0.   ],13687.45310144006,21228.0,5107500000.0,76709.71271749909,6895.0,447.0,5508.0,67.88737774742864,0.5874814006546994,21.54468802698145,9.198911702646505,0.5471150633168989,0.16407102469993057,0.005555004463842873,0.525443904374566,[0.138 0.862 0.    0.   ],0.7988397389412618,1.5019033326969964e-05,25334821.428496208,[6.83 6.83 0.   0.  ],105.29761904730641
3,[2304. 2305.    0.    0.],10081.0,201.60000000059856,[ 41.89 159.71   0.     0.  ],14264.632885719551,24652.0,6325500000.0,382068.4822563457,7923.0,1428.0,5930.0,70.75008871002947,0.8391231028667742,19.085011407598454,14.458484774026706,1.0479182799111317,0.3102866779089376,0.006050987005257415,0.6924908243229838,[0.208 0.792 0.    0.   ],0.7484538684841601,6.040130934413812e-05,31376488.09514494,[11.429 11.434  0.     0.   ],122.28174603138298
4,[1372. 1373.    0.    0.],10081.0,201.60000000059856,[ 29.161 172.439   0.      0.   ],13742.741718509875,21356.0,4993500000.0,241980.9489574768,7265.0,510.0,5802.0,68.16159963548418,0.618113282412461,21.72641603015574,9.614042841516786,0.6245920845528654,0.18133121714115663,0.004761432397579605,0.5240551532586053,[0.145 0.855 0.    0.   ],0.7986235375086029,4.845918673424988e-05,24769345.238021698,[6.806 6.811 0.    0.   ],105.93253968222517
5,[1496. 1497.    0.    0.],10081.0,201.60000000059856,[ 25.983 175.617   0.      0.   ],13534.552014790619,13620.0,5937000000.0,577151.1499637217,5673.0,712.0,4385.0,67.12901505201452,0.4832060311476979,17.575240551532588,9.175062449245832,0.636158959693425,0.17885130443408392,0.005555004463842873,0.6080745957742287,[0.129 0.871 0.    0.   ],0.7729596333509607,9.721259052782917e-05,29449404.761817325,[7.421 7.426 0.    0.   ],67.55952380932322
6,[2248. 2249.    0.    0.],10081.0,201.60000000059856,[ 31.947 169.653   0.      0.   ],14273.430053622442,40180.0,5436000000.0,0.0,4536.0,1474.0,2803.0,70.79372112696507,1.2016268227358384,37.31058426743379,12.158122400164403,0.729964059767157,0.21595079853189167,0.0054558079555599645,0.49270905664120623,[0.158 0.842 0.    0.   ],0.6179453262786596,0.0,26964285.714205656,[11.151 11.156  0.     0.   ],199.3055555549638
7,[1389. 1390.    0.    0.],10081.0,201.60000000059856,[ 19.467 182.133   0.      0.   ],13300.122885749179,17424.0,4518000000.0,458090.5813639535,3502.0,1005.0,2499.0,65.96628749997795,0.4247197698640998,20.06507290943359,7.278590766810813,0.4476562287406325,0.1306418014085904,0.004067056839599246,0.430116059914691,[0.097 0.903 0.    0.   ],0.7135922330097088,0.00010139233761929028,22410714.285647746,[6.89  6.895 0.    0.   ],86.42857142831483
8,[1609. 1610.    0.    0.],10081.0,201.60000000059856,[ 23.085 178.515   0.      0.   ],13424.79165838258,16076.0,6081000000.0,94509.90943119576,9570.0,1086.0,8426.0,66.58462284683544,0.43352841979961887,17.738319611149688,8.049584186870842,0.526653916928141,0.1563336970538637,0.004563039381013789,0.6930860033726813,[0.115 0.885 0.    0.   ],0.8804597701149425,1.5541836775398086e-05,30163690.476100918,[7.981 7.986 0.    0.   ],79.74206349182674
9,[1645. 1646.    0.    0.],10081.0,201.60000000059856,[ 23.548 178.052   0.      0.   ],13445.71602192753,15444.0,6123000000.0,140087.5332988689,10424.0,1126.0,9266.0,66.68840403692113,0.44495585755380873,17.679992064279336,8.213140919947351,0.5627917330209706,0.16506298978275966,0.003372681281618887,0.7033032437258209,[0.117 0.883 0.    0.   ],0.8889102072141213,2.287890467072822e-05,30372023.809433635,[8.16  8.165 0.    0.   ],76.6071428569154
