id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[5644. 5645.    0.    0.],15121.0,302.39999999976106,[ 75.309 227.091   0.      0.   ],23595.738994122716,52664.0,18989.0,13682.0,11012.0,11968500000.0,5707669.82731678,78.0230771579795,2.3099530454334856,40.470868328814234,24.701871560366722,2.6656834270764516,0.678857218437934,0.005555188148931949,1.0857086171549502,[0.249 0.751 0.    0.   ],0.7205224077097266,0.0004768909911281096,39578373.015904285,[18.664 18.667  0.     0.   ],174.15343915357676
1,[2951. 2952.    0.    0.],15121.0,302.39999999976106,[ 38.214 264.186   0.      0.   ],20341.879196267397,1720.0,25639.0,23501.0,4299.0,11527500000.0,26775193.623625483,67.26367037979584,0.4732491237351904,16.22617551749223,10.13923458976942,1.0609888642360141,0.2760399444481185,0.0034389259969578733,1.279677270021824,[0.126 0.874 0.    0.   ],0.9166114123015718,0.0023227233679137265,38120039.6825698,[9.759 9.762 0.    0.   ],5.687830687835182
2,[3045. 3046.    0.    0.],15121.0,302.39999999976106,[ 40.372 262.028   0.      0.   ],20433.55960451291,3176.0,38732.0,36310.0,4632.0,8365500000.0,39070199.96817761,67.56682628299592,0.4717148336750118,16.483036836188084,9.925076975532901,0.9498008121682426,0.25679518550360425,0.0022485285364724555,1.064810528404206,[0.134 0.866 0.    0.   ],0.9374677269441288,0.004670396266592267,27663690.476212334,[10.069 10.073  0.     0.   ],10.5026455026538
3,[5026. 5027.    0.    0.],15121.0,302.39999999976106,[ 70.045 232.355   0.      0.   ],21764.948722899284,2888.0,39702.0,35577.0,11567.0,11953500000.0,55452158.93851496,71.9692769092394,0.8806824945440449,16.477746180808147,19.38716984124252,2.544211858322875,0.6321010515177568,0.002843727266715164,1.5627273328483566,[0.232 0.768 0.    0.   ],0.8961009520930936,0.004638989328524279,39528769.841301076,[16.62  16.624  0.     0.   ],9.550264550272097
4,[3057. 3058.    0.    0.],15121.0,302.39999999976106,[ 40.385 262.015   0.      0.   ],20443.190760310365,3200.0,40034.0,37601.0,4545.0,8416500000.0,27371946.31630433,67.59867323689207,0.4803386019443057,16.524303948151577,9.935977908880304,0.9306732105339328,0.24581707559023874,0.002579194497718405,1.0558164142583162,[0.134 0.866 0.    0.   ],0.9392266573412599,0.003252176833161567,27832341.269863263,[10.109 10.112  0.     0.   ],10.582010582018944
5,[2457. 2458.    0.    0.],15121.0,302.39999999976106,[ 31.881 270.519   0.      0.   ],20043.430297694642,936.0,28686.0,26840.0,7126.0,11803500000.0,25545712.82708402,66.27680146050207,0.3967991534951291,16.225646451954237,8.707447045662493,0.9577551842658898,0.24647840751273065,0.002446928113220025,1.3337742212816612,[0.105 0.895 0.    0.   ],0.9356480513142299,0.0021642489792929234,39032738.095268935,[8.125 8.128 0.    0.   ],3.095238095240541
6,[6025. 6026.    0.    0.],15121.0,302.39999999976106,[ 82.211 220.189   0.      0.   ],24149.07999710099,52320.0,17422.0,11818.0,12011.0,12204000000.0,14491037.54778038,79.85278750444961,2.6208848621122804,41.37398320216917,26.716025978121056,3.0295946682044277,0.7508762647973017,0.0066794524171681765,1.173136697308379,[0.272 0.728 0.    0.   ],0.6783377338996671,0.0011874006512438856,40357142.85717475,[19.924 19.927  0.     0.   ],173.01587301600972
7,[1815. 1816.    0.    0.],15121.0,302.39999999976106,[ 22.62 279.78   0.     0.  ],19617.021992600614,880.0,23072.0,21833.0,4064.0,8227500000.0,11126096.889462415,64.86681433962887,0.26437404933535646,16.14787381786919,5.547046020849305,0.4898573272240829,0.12909199127041862,0.0022485285364724555,0.8528536472455526,[0.075 0.925 0.    0.   ],0.9462985436893204,0.0013523059118155474,27207341.269862767,[6.002 6.005 0.    0.   ],2.9100529100552093
8,[3147. 3148.    0.    0.],15121.0,302.39999999976106,[ 42.689 259.711   0.      0.   ],20592.122443474753,1168.0,49161.0,46530.0,13481.0,11962500000.0,55117495.76055744,68.09113961862694,0.5316050525758695,16.338337411546856,11.447090655184414,1.4356559736497496,0.3533496461874215,0.0023146617287216455,1.6573639309569472,[0.141 0.859 0.    0.   ],0.9464819674131933,0.004607523156577424,39558531.746063,[10.407 10.41   0.     0.   ],3.862433862436914
9,[3077. 3078.    0.    0.],15121.0,302.39999999976106,[ 41.892 260.508   0.      0.   ],20546.64868178678,1296.0,48691.0,46281.0,12131.0,11673000000.0,72003834.4646139,67.94077336742653,0.5006018120494534,16.220091263805305,10.666769469099087,1.400023336496558,0.33589048343363537,0.0017855961907281264,1.6629191191058792,[0.139 0.861 0.    0.   ],0.9505041999548172,0.0061684086751147005,38601190.47622097,[10.175 10.179  0.     0.   ],4.285714285717672
10,[3269. 3270.    0.    0.],15121.0,302.39999999976106,[ 50.485 251.915   0.      0.   ],21788.308050495634,1248.0,46355.0,42630.0,18704.0,14832000000.0,169605950.01585317,72.04651825437432,1.0098273923682497,18.287414853514978,16.65896416430644,6.218999462913952,0.9113153891938364,0.0022485285364724555,2.430460948349977,[0.167 0.833 0.    0.   ],0.9196418940783087,0.011435136867304015,49047619.0476578,[10.81  10.813  0.     0.   ],4.126984126987388
