id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,disconnects,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[5510. 5511.    0.    0.],15121.0,302.39999999976106,[ 72.71 229.69   0.     0.  ],23376.1846435938,51840.0,11757000000.0,13009777.697754005,17635.0,10501.0,12544.0,77.29708565434638,2.188215065141166,39.624363468024605,23.917938963558253,2.7011370099977707,0.6684743072548112,0.006216520071423847,1.0876926129224258,[0.24 0.76 0.   0.  ],0.7113127303657499,0.0011065558984225572,38878968.25399897,[18.221 18.224  0.     0.   ],171.42857142870687
1,[3286. 3287.    0.    0.],15121.0,302.39999999976106,[ 43.125 259.275   0.      0.   ],20615.30842411013,1928.0,12070500000.0,36221846.45568847,26382.0,5320.0,23859.0,68.16780776437028,0.5678989484822349,16.39018583427022,12.097272437900166,1.3585196973509737,0.34567819588651544,0.002975993651213544,1.3718669400171946,[0.143 0.857 0.    0.   ],0.9043666136001819,0.0030008571687741574,39915674.60320614,[10.866 10.87   0.     0.   ],6.3756613756664136
2,[3126. 3127.    0.    0.],15121.0,302.39999999976106,[ 41.717 260.683   0.      0.   ],20494.950926107307,3008.0,8350500000.0,29657671.55414889,38727.0,4553.0,36150.0,67.76982648666745,0.48848621122940306,16.45631902651941,10.39627625471797,0.9849739235137531,0.2668474307254811,0.002909860458964354,1.0430527081542227,[0.138 0.862 0.    0.   ],0.933457277868154,0.003551604281677611,27614087.30160912,[10.337 10.341  0.     0.   ],9.947089947097806
3,[4605. 4605.    0.    0.],15121.0,302.39999999976106,[ 63.809 238.591   0.      0.   ],21518.727721602907,2880.0,11760000000.0,55154352.57785705,40176.0,10652.0,36415.0,71.15510786851233,0.8045499636267697,16.499437867865883,17.277239041311223,2.1753003855092437,0.5387871172541498,0.0026453276899675946,1.5577012102374181,[0.211 0.789 0.    0.   ],0.9063868976503385,0.004689995967504851,38888888.888919614,[15.228 15.228  0.     0.   ],9.523809523817048
4,[3039. 3040.    0.    0.],15121.0,302.39999999976106,[ 40.047 262.353   0.      0.   ],20536.101913062746,3120.0,8440500000.0,27723077.446257994,36084.0,4575.0,33655.0,67.90589879324561,0.46817009457045256,16.467693935586272,10.096186890889715,0.952068722217606,0.24826400370345877,0.0019178625752265062,1.0660670590569408,[0.132 0.868 0.    0.   ],0.9326848464693493,0.0032845302347323017,27911706.349228404,[10.05  10.053  0.     0.   ],10.31746031746847
5,[2583. 2584.    0.    0.],15121.0,302.39999999976106,[ 34.4 268.    0.    0. ],20192.351358877833,1344.0,11860500000.0,32250444.957114518,24609.0,6189.0,22649.0,66.76923271896007,0.4462138747437249,16.320613716024074,9.31506183493377,1.203633121925317,0.2833807287877786,0.0018517293829773164,1.3638648237550426,[0.114 0.886 0.    0.   ],0.9203543419074323,0.0027191471655591687,39221230.15876115,[8.542 8.545 0.    0.   ],4.4444444444479565
6,[6004. 6005.    0.    0.],15121.0,302.39999999976106,[ 81.361 221.039   0.      0.   ],24151.0401214178,51848.0,12253500000.0,14391142.170649989,17034.0,12018.0,11419.0,79.8592689683627,2.6622048806295844,41.21314727861914,27.139984510374244,3.2082979043178255,0.779181271079955,0.00476158984194167,1.1990609086700614,[0.269 0.731 0.    0.   ],0.6703651520488435,0.001174451558383318,40520833.33336535,[19.854 19.858  0.     0.   ],171.4550264551619
7,[1966. 1967.    0.    0.],15121.0,302.39999999976106,[ 24.175 278.225   0.      0.   ],19699.506083525597,776.0,8358000000.0,11328748.687218454,24681.0,4303.0,23356.0,65.13956115176144,0.27601349117121343,16.130150122346407,5.901122832757962,0.5115803999656445,0.13464717941935056,0.002579194497718405,0.8859202433701475,[0.08 0.92 0.   0.  ],0.9463149791337466,0.0013554377467358762,27638888.888910726,[6.501 6.505 0.    0.   ],2.5661375661395938
8,[3172. 3173.    0.    0.],15121.0,302.39999999976106,[ 43.442 258.958   0.      0.   ],20565.0033161675,1208.0,12055500000.0,58568526.435135126,52982.0,14295.0,50338.0,68.00146589563555,0.5096488327491404,16.207922756431454,11.398283249406967,1.5081174689919217,0.3597645658355929,0.002050128959724886,1.6535943389987435,[0.144 0.856 0.    0.   ],0.9500962591068665,0.004858241170846097,39866071.42860293,[10.489 10.493  0.     0.   ],3.994708994712151
9,[3114. 3115.    0.    0.],15121.0,302.39999999976106,[ 42.832 259.568   0.      0.   ],20526.48598195468,1264.0,11746500000.0,74223264.98472634,48301.0,13532.0,45855.0,67.87410218221503,0.4999140268500613,16.175120693075854,10.717552380759042,1.5338065569930193,0.33919714304609483,0.002116262151974076,1.6651676476423516,[0.142 0.858 0.    0.   ],0.9493592265170493,0.0063187557982996075,38844246.031776726,[10.298 10.301  0.     0.   ],4.179894179897483
