id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,disconnects,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[1463. 1464.    0.    0.],10081.0,201.60000000059856,[ 19.472 182.128   0.      0.   ],13556.915647836811,40144.0,3993000000.0,395372.5651103478,3168.0,842.0,2053.0,67.23993476754708,0.7338954468802693,38.482690209304636,7.67802679944544,0.4384870229484776,0.1280626921932348,0.0027775022319214363,0.3417319710346196,[0.097 0.903 0.    0.   ],0.6480429292929293,9.901642001260902e-05,19806547.618988812,[7.257 7.262 0.    0.   ],199.12698412639293
1,[1515. 1516.    0.    0.],10081.0,201.60000000059856,[ 23.186 178.414   0.      0.   ],13440.878658520282,13920.0,4537500000.0,1124783.8990328952,3913.0,984.0,2784.0,66.66441155895507,0.46884237674833573,18.665608570578314,8.222987530749625,0.6107263229911059,0.16764209899811527,0.0038686638230334292,0.456105545084813,[0.115 0.885 0.    0.   ],0.7114745719396882,0.000247886258740032,22507440.47612365,[7.515 7.52  0.    0.   ],69.04761904741405
2,[1050. 1051.    0.    0.],10081.0,201.60000000059856,[ 20.456 181.144   0.      0.   ],13351.200172288049,17376.0,3777000000.0,287373.31376077834,5154.0,404.0,4114.0,66.21962192383837,0.43241741890685653,22.877095526237476,6.664675261583124,0.3837670461349772,0.11586152167443706,0.004563039381013789,0.3777403035413153,[0.101 0.899 0.    0.   ],0.7982149786573535,7.608507115720899e-05,18735119.047563422,[5.208 5.213 0.    0.   ],86.1904761902203
3,[1713. 1714.    0.    0.],10081.0,201.60000000059856,[ 28.76 172.84   0.     0.  ],13690.826273678598,22288.0,4653000000.0,829675.3332099067,5082.0,1150.0,3691.0,67.90410809282184,0.580180537645072,19.755183017557783,10.004922135934919,0.6980752826797242,0.2127765102668386,0.004860628905862514,0.48834441027675823,[0.143 0.857 0.    0.   ],0.726288862652499,0.00017830976428323807,23080357.142788615,[8.497 8.502 0.    0.   ],110.55555555522731
4,[1070. 1071.    0.    0.],10081.0,201.60000000059856,[ 21.382 180.218   0.      0.   ],13399.241515878095,17824.0,3768000000.0,281500.11330432026,5060.0,354.0,3995.0,66.45789860070632,0.4659855173097924,22.973911318321594,7.145162599006621,0.4220321586841555,0.1304434083920246,0.003967860331316337,0.3819065568891975,[0.106 0.894 0.    0.   ],0.7895256916996047,7.47080980107007e-05,18690476.1904207,[5.308 5.312 0.    0.   ],88.41269841243592
5,[1168. 1169.    0.    0.],10081.0,201.60000000059856,[ 19.694 181.906   0.      0.   ],13256.841797428337,10584.0,4405500000.0,281500.11330432026,3441.0,518.0,2486.0,65.75162085817152,0.365995436960616,17.624045233607777,6.980234089831714,0.46486242198992217,0.13738716397182818,0.003967860331316337,0.43844856661045534,[0.098 0.902 0.    0.   ],0.7224643998837548,6.3897426694886e-05,21852678.57136369,[5.794 5.799 0.    0.   ],52.49999999984413
6,[1760. 1761.    0.    0.],10081.0,201.60000000059856,[ 23.002 178.598   0.      0.   ],13768.590075232878,40164.0,4054500000.0,281500.11330432026,3650.0,1118.0,2349.0,68.28980297207085,0.8905465727606376,38.94454915186986,9.079575372038047,0.5225493929025442,0.15067949608173792,0.00446384287273088,0.3511556393214959,[0.114 0.886 0.    0.   ],0.6435616438356164,6.942905741874961e-05,20111607.142797433,[8.73  8.735 0.    0.   ],199.22619047559897
7,[1103. 1104.    0.    0.],10081.0,201.60000000059856,[ 16.212 185.388   0.      0.   ],13142.440185852845,14148.0,3528000000.0,540515.893423115,2703.0,664.0,1866.0,65.18420883766062,0.3485368515028274,20.375359587342526,6.164333987332422,0.41173905060345806,0.11010812419402836,0.0025791092153556196,0.32238865191945243,[0.08 0.92 0.   0.  ],0.6903440621531631,0.00015320745278432965,17499999.999948043,[5.471 5.476 0.    0.   ],70.17857142836307
8,[1245. 1246.    0.    0.],10081.0,201.60000000059856,[ 17.307 184.293   0.      0.   ],13168.847925715554,15252.0,4645500000.0,982553.9135848841,7338.0,774.0,6461.0,65.31518661696218,0.3294117647058807,18.226366431901596,6.240033289623179,0.39842624813782573,0.11883741692292431,0.0027775022319214363,0.5252455113580002,[0.086 0.914 0.    0.   ],0.8804851458162987,0.000211506600707111,23043154.761836346,[6.176 6.181 0.    0.   ],75.65476190453728
9,[1289. 1290.    0.    0.],10081.0,201.60000000059856,[ 17.936 183.664   0.      0.   ],13199.721826852225,14224.0,4594500000.0,1058458.0705008483,7449.0,792.0,6566.0,65.46831577645352,0.3388552722944134,18.198194623549252,6.205006202828677,0.42029892465403473,0.1211189366134312,0.0026783057236385278,0.5198888999107232,[0.089 0.911 0.    0.   ],0.8814605987380857,0.00023037502894783946,22790178.57136091,[6.394 6.399 0.    0.   ],70.55555555534607
