id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,disconnects,cell_traffic,cell_dropped_traffic,ant_switches,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[2606. 2607.    0.    0.],10081.0,201.60000000059856,[ 38.287 163.313   0.      0.   ],15254.539377295714,38686.0,2709.0,5589000000.0,147655.8028356949,25920.0,36501.0,75.65985208457059,1.8964785239559456,57.325265350659656,13.032127337816704,0.9370138846587203,0.29689514929074495,0.0022815196905068944,0.7564725721654598,[0.19 0.81 0.   0.  ],0.9435196195005945,2.6419002117676666e-05,27723214.285631973,[12.927 12.932  0.     0.   ],128.57142857104685
1,[422. 423.   0.   0.],10081.0,201.60000000059856,[  6.063 195.537   0.      0.   ],12680.11049254726,26773.0,401.0,4048500000.0,0.0,336.0,26453.0,62.891134275089804,0.09578414839797686,16.069040769764904,1.8550865947298256,0.12964373950212763,0.04245610554508481,0.0004959825414145422,0.5859537744271401,[0.03 0.97 0.   0.  ],0.9880476599559257,0.0,20081845.238035616,[2.093 2.098 0.    0.   ],1.6666666666617183
2,[1635. 1636.    0.    0.],10081.0,201.60000000059856,[ 32.813 168.787   0.      0.   ],13935.437299766558,10903.0,815.0,3253500000.0,0.0,27572.0,9396.0,69.11733607659436,0.6684257514135532,19.59646860430513,9.608439588038012,0.6920106337194627,0.20662632675329828,0.002876698740204345,0.41047515127467515,[0.163 0.837 0.    0.   ],0.8617811611483078,0.0,16138392.857094942,[8.11  8.115 0.    0.   ],136.76587301546695
3,[1113. 1114.    0.    0.],10081.0,201.60000000059856,[ 17.89 183.71   0.     0.  ],13183.243189456338,24155.0,1037.0,3930000000.0,55920.096922637546,1632.0,23223.0,65.38658461190607,0.26886221604999383,16.150381906556888,5.4779942047896855,0.4254944040500914,0.1362960023807162,0.0004959825414145422,0.5759349270905664,[0.089 0.911 0.    0.   ],0.9614158559304492,1.4229032295836526e-05,19494047.61898974,[5.521 5.526 0.    0.   ],8.09523809521406
4,[1628. 1629.    0.    0.],10081.0,201.60000000059856,[ 31.735 169.865   0.      0.   ],13879.108461608868,10396.0,868.0,3130500000.0,913728.5479873294,27868.0,8938.0,68.83795487355017,0.6294613629600244,19.530205336772145,9.276191790466745,0.6629282466910241,0.19293720861025693,0.00446384287273088,0.39073504612637633,[0.157 0.843 0.    0.   ],0.8597537514428626,0.00029187942756343376,15528273.809477706,[8.075 8.08  0.    0.   ],138.23412698371655
5,[425. 426.   0.   0.],10081.0,201.60000000059856,[  6.471 195.129   0.      0.   ],12699.199544887828,26718.0,411.0,4071000000.0,180674.39777634427,448.0,26364.0,62.98581264202019,0.09999008034917221,16.06348576530106,2.0913154717966056,0.16248632060279436,0.05039182620771749,0.0004959825414145422,0.5885328836424958,[0.032 0.968 0.    0.   ],0.9867505052773411,4.4380839542211804e-05,20193452.380892426,[2.108 2.113 0.    0.   ],2.2222222222156245
6,[2469. 2470.    0.    0.],10081.0,201.60000000059856,[ 36.558 165.042   0.      0.   ],15094.367217634966,35840.0,2568.0,5542500000.0,802240.5639950044,25208.0,33747.0,74.86542613644684,1.7716496379327376,56.95387362364845,12.363837281572614,0.9750135402974961,0.28747148100386866,0.0025791092153556196,0.7365340740005952,[0.181 0.819 0.    0.   ],0.9416015625,0.0001447434486233657,27492559.523727898,[12.247 12.252  0.     0.   ],125.0396825393113
7,[327. 328.   0.   0.],10081.0,201.60000000059856,[  4.569 197.031   0.      0.   ],12622.431536135304,22437.0,222.0,2703000000.0,147655.8028356949,280.0,22171.0,62.605056721216606,0.0592798333498661,16.04801111000893,1.235508652223834,0.07371221808837258,0.023608768971332208,9.919650828290844e-05,0.3921237972423371,[0.023 0.977 0.    0.   ],0.9881445826090832,5.462663811901402e-05,13407738.095198287,[1.622 1.627 0.    0.   ],1.3888888888847652
8,[1134. 1135.    0.    0.],10081.0,201.60000000059856,[ 16.154 185.446   0.      0.   ],13115.898575026333,43444.0,1216.0,4081500000.0,327727.06037059263,944.0,42566.0,65.05256708175058,0.24037297887114362,16.094038289852197,4.923227410751912,0.37473316031709397,0.12359884932050391,0.00019839301656581688,0.7363356809840294,[0.08 0.92 0.   0.  ],0.9797900745787681,8.029573940232577e-05,20245535.714225605,[5.625 5.63  0.    0.   ],4.68253968252578
9,[1150. 1151.    0.    0.],10081.0,201.60000000059856,[ 16.85 184.75   0.     0.  ],13144.50555313532,38760.0,1254.0,4104000000.0,0.0,1320.0,37878.0,65.1944526987969,0.2676718579505986,16.122210098204544,5.200927763319933,0.4540498151823688,0.13480805475647256,9.919650828290844e-05,0.7133220910623946,[0.084 0.916 0.    0.   ],0.9772445820433436,0.0,20357142.857082415,[5.704 5.709 0.    0.   ],6.547619047599608
10,[1272. 1273.    0.    0.],10081.0,201.60000000059856,[ 18.847 182.753   0.      0.   ],13227.748990513423,45077.0,1378.0,3955500000.0,286631.20628518384,1280.0,44090.0,65.60732561506616,0.28663823033429,16.122210098204544,5.617914193274929,0.4892006220452122,0.15117547862315248,0.00019839301656581688,0.740005951790497,[0.093 0.907 0.    0.   ],0.9781041329281008,7.246396316146729e-05,19620535.71422746,[6.31  6.314 0.    0.   ],6.349206349187498
11,[1142. 1143.    0.    0.],10081.0,201.60000000059856,[ 16.83 184.77   0.     0.  ],13144.936867617664,38137.0,1289.0,3997500000.0,180674.39777634427,1256.0,37241.0,65.19659194332812,0.2611645670072403,16.137287967463546,5.2563844767498855,0.44160231401909633,0.13937109413748636,0.0004959825414145422,0.6918956452732864,[0.083 0.917 0.    0.   ],0.9765057555654614,4.5196847473757165e-05,19828869.047560174,[5.665 5.67  0.    0.   ],6.230158730140233
12,[1037. 1038.    0.    0.],10081.0,201.60000000059856,[ 15.073 186.527   0.      0.   ],13066.419507687464,38822.0,1065.0,3990000000.0,219443.1580143965,1184.0,38014.0,64.80715954609452,0.22426346592600013,16.101577224481698,4.553911027706385,0.3549983222109141,0.11139767880170617,0.0006943755579803591,0.7115365539133023,[0.075 0.925 0.    0.   ],0.9791870588841378,5.499828521664073e-05,19791666.666607905,[5.144 5.149 0.    0.   ],5.873015872998436
13,[646. 647.   0.   0.],10081.0,201.60000000059856,[  9.391 192.209   0.      0.   ],12821.21641884121,19684.0,458.0,2869500000.0,125106.51070665687,832.0,19202.0,63.59099503440888,0.12887610356115542,16.08729292728896,2.3681110775044254,0.16715267331001865,0.05148298779882948,0.000892768574546176,0.39539728201567304,[0.047 0.953 0.    0.   ],0.9755131070920544,4.359871430794803e-05,14233630.952338692,[3.204 3.209 0.    0.   ],4.126984126971874
14,[1374. 1375.    0.    0.],10081.0,201.60000000059856,[ 21.077 180.523   0.      0.   ],13331.217383375915,19752.0,937.0,2827500000.0,147655.8028356949,3800.0,18697.0,66.12051077954622,0.3003670270806451,16.338855272294417,5.2614842413794385,0.3391918450257591,0.11447277055847634,0.001091161591111993,0.4043249677611348,[0.105 0.895 0.    0.   ],0.9465876873228027,5.2221327262845235e-05,14025297.619005978,[6.815 6.82  0.    0.   ],18.849206349150386
15,[1058. 1059.    0.    0.],10081.0,201.60000000059856,[ 15.645 185.955   0.      0.   ],13085.385199349796,42963.0,1197.0,4011000000.0,514437.4472742877,920.0,42101.0,64.90122606559859,0.22886618391032698,16.09245114571967,4.734919179532258,0.4076279326049362,0.12389643884535265,0.0007935720662632675,0.7155044142446186,[0.078 0.922 0.    0.   ],0.9799362241929102,0.00012825665601453196,19895833.333274264,[5.248 5.253 0.    0.   ],4.563492063478514
16,[1462. 1463.    0.    0.],10081.0,201.60000000059856,[ 21.602 179.998   0.      0.   ],13344.491494163902,52250.0,1671.0,4071000000.0,180071.25753489774,1448.0,51133.0,66.18634805158243,0.3263961908540777,16.12657474456899,6.524592547155029,0.5762241797427234,0.17597460569387957,0.0004959825414145422,0.8024005555004464,[0.107 0.893 0.    0.   ],0.978622009569378,4.423268423849122e-05,20193452.380892426,[7.252 7.257 0.    0.   ],7.182539682518358
17,[1386. 1387.    0.    0.],10081.0,201.60000000059856,[ 20.564 181.036   0.      0.   ],13304.739683028232,45545.0,1658.0,4020000000.0,392202.5567053744,1552.0,44484.0,65.98918600845349,0.3309989088384047,16.151175478623152,6.469696704137738,0.5883967724834147,0.17785933935125484,0.0004959825414145422,0.7657970439440531,[0.102 0.898 0.    0.   ],0.9767043583269294,9.756282505108816e-05,19940476.190416988,[6.875 6.88  0.    0.   ],7.698412698389841
18,[1477. 1478.    0.    0.],10081.0,201.60000000059856,[ 22.212 179.388   0.      0.   ],13381.129626522912,49380.0,1772.0,4044000000.0,384512.43922643614,1800.0,48195.0,66.36806679158369,0.35179049697450104,16.182918361273682,6.9274901445668355,0.6334710167987674,0.1941275667096518,0.00039678603313163377,0.7851403630592203,[0.11 0.89 0.   0.  ],0.9760024301336574,9.508220554560736e-05,20059523.809464253,[7.326 7.331 0.    0.   ],8.92857142854492
19,[1220. 1220.    0.    0.],10081.0,201.60000000059856,[ 17.906 183.694   0.      0.   ],13190.220430807076,38045.0,1306.0,3973500000.0,538410.7701536812,1300.0,37091.0,65.42119051087815,0.27243329034817837,16.132129749032835,5.405453353713591,0.4616491804022506,0.14175181033627615,0.0002975895248487253,0.6849518896934828,[0.089 0.911 0.    0.   ],0.9749244315941648,0.00013550038257296619,19709821.42851291,[6.052 6.052 0.    0.   ],6.448412698393553
