id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,num_rejects,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[1337. 1105. 1052.    0.],10081.0,201.60000000059856,[ 37.415   9.247 154.938   0.   ],11487.417005471612,35832.0,3679500000.0,500908.84946721944,8166.0,6421.0,2844.0,56.97558280662353,1.1029858148993195,25.71689316536058,11.901237875846851,0.9090138392497169,0.24660251959131038,0.0364051185398274,0.49290744965777206,[0.186 0.046 0.769 0.   ],0.7863090864560373,0.00013613503178888965,18251488.095183905,[6.632 5.481 5.218 0.   ],177.73809523756753
1,[1293. 2160. 1467.    0.],10081.0,201.60000000059856,[ 31.956  44.637 125.007   0.   ],11069.150390819872,9032.0,5799000000.0,1334030.3194856616,19459.0,17806.0,2986.0,54.90105342138415,0.6264457891082121,16.826505307013193,10.699381318175238,0.9848353885481612,0.25562940184505506,0.027576629302648547,0.876500347187779,[0.159 0.221 0.62  0.   ],0.9150521609538003,0.00023004489040966746,28764880.95229555,[ 6.414 10.714  7.277  0.   ],44.80158730145428
2,[1101. 1184. 1178.    0.],10081.0,201.60000000059856,[ 37.541  16.261 147.798   0.   ],11285.708224640777,11888.0,4291500000.0,201903.69285789912,18649.0,16936.0,2464.0,55.97514246920144,0.7772244816982339,18.157325662136692,10.841431770920403,0.837934699773281,0.23459974208907847,0.02618787818668783,0.6485467711536554,[0.186 0.081 0.733 0.   ],0.9081452088583838,4.704734774738416e-05,21287202.380889177,[5.461 5.873 5.843 0.   ],58.96825396807889
3,[1538. 2241. 1515.    0.],10081.0,201.60000000059856,[ 39.195  44.855 117.55    0.   ],11534.854294277724,11048.0,5775000000.0,1759130.8734277072,24547.0,22648.0,2602.0,57.2108634772223,0.7781767681777448,17.04394405316933,12.45694326702297,1.1694422808749774,0.29877988294812025,0.03144529312568198,0.9011010812419403,[0.194 0.222 0.583 0.   ],0.9226382042612132,0.00030461140665414844,28645833.333248284,[ 7.629 11.116  7.515  0.   ],54.8015873014246
4,[1161. 1208. 1214.    0.],10081.0,201.60000000059856,[ 39.098  15.736 146.766   0.   ],11392.722788507543,12752.0,4308000000.0,815964.4961543204,17223.0,15500.0,2184.0,56.50591602275169,0.8368217438746087,18.37516119432596,10.957174939291868,0.9322252731953506,0.23876599543696062,0.026584664219819462,0.629401845055054,[0.194 0.078 0.728 0.   ],0.8999593566742147,0.00018940680040722388,21369047.618984174,[5.759 5.992 6.022 0.   ],63.25396825378045
5,[1115. 1949. 1518.    0.],10081.0,201.60000000059856,[ 29.047  45.724 126.829   0.   ],10787.185672481668,7328.0,5746500000.0,1491838.8767660907,19320.0,17966.0,1523.0,53.50255764547757,0.5705783156432784,16.62890586251364,8.974606981045678,0.7592940311110268,0.20593195119531793,0.022716000396786035,0.8500148794762424,[0.144 0.227 0.629 0.   ],0.9299171842650104,0.0002596082618578423,28504464.285629656,[5.531 9.668 7.53  0.   ],36.34920634909843
6,[1430. 1193. 1085.    0.],10081.0,201.60000000059856,[ 39.13    9.641 152.829   0.   ],11622.371882282563,36100.0,3880500000.0,1200540.4393122036,8389.0,6529.0,3100.0,57.64493543439366,1.1475052078166856,25.92520583275469,12.494689365549958,0.9439889433923843,0.25562940184505506,0.040868961412558275,0.4977680785636346,[0.194 0.048 0.758 0.   ],0.7782810823697699,0.0003093777707285668,19248511.904704757,[7.093 5.918 5.382 0.   ],179.06746031692867
7,[ 845. 1500. 1239.    0.],10081.0,201.60000000059856,[ 20.07   28.293 153.237   0.   ],10302.477541013885,6640.0,3871500000.0,327206.4808707611,12228.0,11154.0,3461.0,51.09848993657974,0.4074992560261822,16.98125185993453,6.476328087444202,0.5021457726602166,0.1337168931653606,0.024104751512746752,0.5566908044836821,[0.1  0.14 0.76 0.  ],0.9121687929342492,8.451671984263492e-05,19203869.04756203,[4.191 7.44  6.146 0.   ],32.936507936410145
8,[1029. 2039. 1443.    0.],10081.0,201.60000000059856,[ 24.222  57.596 119.782   0.   ],10625.808491273965,6712.0,5661000000.0,850512.9525669387,37703.0,36400.0,2588.0,52.702155000859705,0.4482888602321127,16.51780577323678,7.618493973494396,0.7745248777340955,0.19194524352742784,0.01983930165658169,0.9755976589624045,[0.12  0.286 0.594 0.   ],0.9654404158820253,0.0001502407618030275,28080357.14277377,[ 5.104 10.114  7.158  0.   ],33.29365079355195
9,[ 944. 1955. 1401.    0.],10081.0,201.60000000059856,[ 24.523  58.96  118.117   0.   ],10615.908270169104,5788.0,5751000000.0,1882208.086604824,35002.0,33737.0,1710.0,52.653051632618826,0.44559071520681776,16.465826802896537,7.6471713030611355,0.7579163171920877,0.20057533974804087,0.015970637833548258,0.9861124888403928,[0.122 0.292 0.586 0.   ],0.9638592080452546,0.0003272836179107675,28526785.71420102,[4.683 9.697 6.949 0.   ],28.71031746023222
10,[1237. 2110. 1416.    0.],10081.0,201.60000000059856,[ 31.793  55.29  114.517   0.   ],11124.30571976781,7912.0,5724000000.0,2188031.8364094677,39606.0,37996.0,2209.0,55.174614223624545,0.6000991965082724,16.6848526931852,10.149018926423434,1.0158029022880612,0.27536950699335383,0.018152961015772243,1.0079357206626327,[0.158 0.274 0.568 0.   ],0.959349593495935,0.0003822557366194039,28392857.142772842,[ 6.136 10.466  7.024  0.   ],39.246031745915225
11,[1066. 2096. 1499.    0.],10081.0,201.60000000059856,[ 24.366  58.126 119.108   0.   ],10660.030044071573,5852.0,5580000000.0,219852.97731101746,35337.0,34113.0,1360.0,52.871887928137006,0.45305029262969165,16.461065370498957,7.8102250714230905,0.7094980187235861,0.18966372383692093,0.013292332109909731,0.9310584267433787,[0.121 0.288 0.591 0.   ],0.965362085066644,3.940017514534363e-05,27678571.42848925,[ 5.288 10.397  7.436  0.   ],29.027777777691593
12,[1175. 2048. 1416.    0.],10081.0,201.60000000059856,[ 28.915  49.182 123.503   0.   ],10888.890666130847,7896.0,5590500000.0,1830143.0850470848,32760.0,31280.0,2122.0,54.00699665772402,0.5470092252752596,16.619382997718482,9.494147476697052,0.8945179369374102,0.2373772443209999,0.018847336573752604,0.9410772740799523,[0.143 0.244 0.613 0.   ],0.9548229548229549,0.00032736661927324656,27730654.76182243,[ 5.828 10.159  7.024  0.   ],39.16666666655038
13,[ 878. 1471. 1309.    0.],10081.0,201.60000000059856,[ 22.235  29.988 149.377   0.   ],10383.838840381704,6528.0,4068000000.0,1402440.3240614017,13904.0,12764.0,3214.0,51.50202777691247,0.4523360777700551,16.987600436464636,6.836408563817757,0.5461096663834382,0.1435373474853685,0.023608768971332208,0.5895248487253248,[0.11  0.149 0.741 0.   ],0.9180092059838896,0.00034474934219798467,20178571.42851152,[4.355 7.297 6.493 0.   ],32.38095238085624
14,[1195. 1657. 1299.    0.],10081.0,201.60000000059856,[ 31.719  27.827 142.054   0.   ],11037.41058668708,11460.0,4065000000.0,591625.3270297472,18291.0,16625.0,4413.0,54.7436295342065,0.6351750818371091,17.57127269120127,9.658565261627626,0.7504571258948698,0.20593195119531793,0.03610752901497867,0.6005356611447277,[0.157 0.138 0.705 0.   ],0.9089169536930731,0.00014554128586217644,20163690.47613061,[5.928 8.219 6.443 0.   ],56.84523809506932
15,[1172. 2070. 1437.    0.],10081.0,201.60000000059856,[ 28.403  56.51  116.687   0.   ],10890.723246178477,7016.0,5673000000.0,44527.60809153601,37336.0,35852.0,2218.0,54.016085934817795,0.5249479218331409,16.528518996131336,9.21222110740685,0.861422734660856,0.23192143636543994,0.017160995932943162,0.9606189862116854,[0.141 0.28  0.579 0.   ],0.9602528390829227,7.849040735331572e-06,28139880.952297404,[ 5.813 10.268  7.128  0.   ],34.80158730148398
16,[1241. 2109. 1416.    0.],10081.0,201.60000000059856,[ 31.726  57.61  112.264   0.   ],11081.568763823474,7928.0,5649000000.0,1048162.217272638,44955.0,43292.0,2344.0,54.96264638340971,0.5874020434480589,16.634064080944352,10.178785360141866,1.0114608101415172,0.26783057236385277,0.018847336573752604,1.0155738518004167,[0.157 0.286 0.557 0.   ],0.9630074518963407,0.00018554827708844716,28020833.33325014,[ 6.156 10.461  7.024  0.   ],39.325396825280066
17,[1210. 2136. 1396.    0.],10081.0,201.60000000059856,[ 29.891  56.66  115.049   0.   ],11011.028937685996,7216.0,5602500000.0,1492830.0448685605,41619.0,40092.0,1889.0,54.61278116102306,0.5470885824818856,16.56105545084813,9.672201503497842,0.9197159881606133,0.2538438646959627,0.016962602916377342,0.9873028469397878,[0.148 0.281 0.571 0.   ],0.963310026670511,0.00026645783933396886,27790178.571346063,[ 6.002 10.595  6.925  0.   ],35.79365079354452
