id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,ant_switches,disconnects,cell_traffic,cell_dropped_traffic,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[1537. 1637.  895.    0.],10081.0,201.60000000059856,[ 25.595   9.145 166.86    0.   ],11143.549154176793,18112.0,38804.0,2136.0,2662500000.0,0.0,16782.0,55.270058298663926,1.225830770756873,41.33796250371987,9.923577537827924,0.7252273222471434,0.1937307806765202,0.010514829877988295,0.41186390239063586,[0.127 0.045 0.828 0.   ],0.9265680212014135,0.0,13206845.238056026,[7.624 8.12  4.439 0.   ],192.48015872958726
1,[ 387. 1089.  786.    0.],10081.0,201.60000000059856,[  6.884  16.638 178.078   0.   ],9529.994095596736,20970.0,1968.0,386.0,2589000000.0,0.0,20629.0,47.26710691199138,0.13712925305029325,16.261085209800616,2.4239698908319838,0.21531150104745556,0.05197897034024403,0.0013887511159607182,0.434480706279139,[0.034 0.083 0.883 0.   ],0.9837386742966142,0.0,12842261.904723777,[1.92  5.402 3.899 0.   ],9.761904761875778
2,[760. 997. 668.   0.],10081.0,201.60000000059856,[ 18.701   7.672 175.227   0.   ],10235.228508544924,11338.0,7896.0,377.0,2064000000.0,0.0,10517.0,50.764946476263646,0.41845055054061825,17.19750024799127,5.96974747952822,0.42589218367247084,0.11268723340938398,0.004265449856165063,0.31088185695863507,[0.093 0.038 0.869 0.   ],0.9275886399717763,0.0,10238095.23806484,[3.77  4.945 3.313 0.   ],39.16666666655038
3,[ 811. 1507.  869.    0.],10081.0,201.60000000059856,[ 16.76   19.568 165.272   0.   ],10207.61706455898,26253.0,4992.0,769.0,2857500000.0,282260.8924910202,25422.0,50.62799853466088,0.3480607082630669,16.78722348973316,5.576632438103263,0.5495048939723962,0.12855867473464935,0.003967860331316337,0.49052673345898223,[0.083 0.097 0.82  0.   ],0.968346474688607,9.877896500123191e-05,14174107.142815059,[4.023 7.475 4.311 0.   ],24.761904761831243
4,[743. 968. 668.   0.],10081.0,201.60000000059856,[ 19.612   7.393 174.595   0.   ],10293.650993170317,11888.0,8088.0,498.0,2029500000.0,50320.54610404335,11014.0,51.05471180026608,0.4418609264953839,17.310981053466918,6.210975164881138,0.45802584719920586,0.12121813312171412,0.004067056839599246,0.30740997916873325,[0.097 0.037 0.866 0.   ],0.9264804845222072,2.4794553389526166e-05,10066964.285684397,[3.686 4.802 3.313 0.   ],40.119047618928505
5,[ 402. 1316.  989.    0.],10081.0,201.60000000059856,[  7.867  23.111 170.622   0.   ],9599.02259990897,21161.0,2208.0,447.0,2685000000.0,1009421.2580094511,20764.0,47.609476241979294,0.1535561948219428,16.28409879972225,2.6889590184001335,0.245345009823336,0.05931951195317925,0.0019839301656581687,0.44241642694177163,[0.039 0.115 0.846 0.   ],0.9812390718775105,0.00037594832700538216,13318452.380912839,[1.994 6.528 4.906 0.   ],10.952380952348435
6,[1531. 1555.  949.    0.],10081.0,201.60000000059856,[ 24.958   9.171 167.471   0.   ],11178.71693257641,17923.0,38312.0,2068.0,2614500000.0,28257.740439314657,16658.0,55.44448433972889,1.2016268227358389,40.88403928181728,9.324380169217648,0.6576808945934046,0.18172800317428828,0.012201170518797738,0.39976192838012103,[0.124 0.045 0.831 0.   ],0.9294202979411929,1.0808085844067568e-05,12968749.999961495,[7.594 7.713 4.707 0.   ],190.0396825391183
7,[277. 770. 558.   0.],10081.0,201.60000000059856,[  4.91   11.025 185.665   0.   ],9374.637397106775,18440.0,1776.0,399.0,1833000000.0,0.0,18184.0,46.496564810562774,0.10197401051483003,16.24322983830969,1.7995014855155345,0.14647122996278597,0.034321991865886324,0.0018847336573752603,0.32040472175379425,[0.024 0.055 0.921 0.   ],0.986117136659436,0.0,9092261.90473491,[1.374 3.819 2.768 0.   ],8.809523809497653
8,[ 628. 1373.  864.    0.],10081.0,201.60000000059856,[ 10.948  28.558 162.094   0.   ],9782.611457535259,40912.0,3248.0,691.0,2652000000.0,511.9811447108732,40352.0,48.52004492378861,0.2014085904176182,16.36226564824918,3.627266082739835,0.30428798630937187,0.08362265648249181,0.002479912707072711,0.560162682273584,[0.054 0.142 0.804 0.   ],0.986312084473993,1.930547302831347e-07,13154761.904722847,[3.115 6.811 4.286 0.   ],16.111111111063277
9,[ 706. 1398.  844.    0.],10081.0,201.60000000059856,[ 12.419  25.827 163.354   0.   ],9914.952245695162,37301.0,3592.0,781.0,2776500000.0,145769.0761096197,36640.0,49.17643212823281,0.24799127070727064,16.492014681083226,4.3083392475032385,0.39317972914699933,0.1033627616307906,0.0029758952484872534,0.5484574942962007,[0.062 0.128 0.81  0.   ],0.9822792954612477,5.2501017867682226e-05,13772321.428530538,[3.502 6.935 4.187 0.   ],17.817460317407416
