id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[1380. 2121.  917.    0.],10081.0,201.60000000059856,[90.276 37.063 74.261  0.   ],15887.549357651333,12496.0,30898.0,23171.0,28857000000.0,66323265.30740251,63621.0,78.79947107256234,1.98750123995637,19.056839599246107,54.49513928145204,8.357015116149766,1.8950500942366828,0.0025791092153556196,5.142545382402539,[0.448 0.184 0.368 0.   ],0.7499190886141498,0.002298342353931542,143139880.95195597,[ 6.845 10.521  4.549  0.   ],61.98412698394295
1,[4311. 3738. 1193.    0.],10081.0,201.60000000059856,[147.034  24.612  29.954   0.   ],23496.73974775106,10536.0,110396.0,88028.0,102138000000.0,282751447.1192043,48090.0,116.53972695045344,8.023251661542107,51.20563436167047,134.835075906034,26.396188908239477,5.601230036702708,0.0036702708064676125,19.6064874516417,[0.729 0.122 0.149 0.   ],0.7973839631870719,0.0027683276265366885,506636904.76040053,[21.384 18.542  5.918  0.   ],52.2619047617496
2,[2117. 2611.  756.    0.],10081.0,201.60000000059856,[117.044  49.917  34.639   0.   ],20359.787731894456,14820.0,97121.0,82342.0,85960500000.0,193810365.63884273,65966.0,100.98099261924477,5.325582779486253,50.95169130046622,98.77396196279545,18.30589630956131,3.969943457990279,0.00446384287273088,16.59507985318917,[0.581 0.248 0.172 0.   ],0.8478289968184017,0.002254644466223937,426391369.0463531,[10.501 12.951  3.75   0.   ],73.51190476168651
3,[3841. 3629.  705.    0.],10081.0,201.60000000059856,[149.355  33.949  18.296   0.   ],23577.796896603657,15304.0,123076.0,99837.0,108597000000.0,288939755.09183824,66069.0,116.94175625733007,7.702410475151705,50.564824918162884,131.4658847793748,27.369387841933726,5.912707072711041,0.0032734847733359787,22.076182918361273,[0.741 0.168 0.091 0.   ],0.8111817088628165,0.00266066056237132,538675595.2364959,[19.053 18.001  3.497  0.   ],75.91269841247302
4,[2014. 2525.  837.    0.],10081.0,201.60000000059856,[116.554  45.564  39.482   0.   ],20253.005654810957,17912.0,117194.0,101907.0,84474000000.0,220973507.96848503,69139.0,100.45137215955243,5.254796151175562,50.71758754091856,100.71562025236877,20.327496537420686,4.293919254042257,0.0037694673147505207,17.06239460370995,[0.578 0.226 0.196 0.   ],0.8695581685069201,0.0026158759851372614,419017857.14161307,[ 9.99  12.525  4.152  0.   ],88.84920634894256
5,[3359. 3436.  816.    0.],10081.0,201.60000000059856,[136.714  36.223  28.663   0.   ],21835.817053938765,20200.0,147273.0,125440.0,92307000000.0,338579518.00074935,94695.0,108.3018403627497,6.455073901398954,48.441226068842376,123.22101988412062,25.41548119485998,5.387858347386172,0.0023807161987898025,19.343021525642296,[0.678 0.18  0.142 0.   ],0.8517515091021436,0.0036679722881336123,457872023.80816436,[16.662 17.044  4.048  0.   ],100.1984126981152
6,[1360. 2080.  908.    0.],10081.0,201.60000000059856,[94.332 36.293 70.975  0.   ],16069.337453707161,14824.0,40713.0,32170.0,27906000000.0,84467739.60173883,58058.0,79.70110829137035,2.0336871342128893,18.93820057533975,59.022527858103885,10.839628431580415,2.275171113976788,0.003372681281618887,5.618093443110802,[0.468 0.18  0.352 0.   ],0.7901653034657234,0.0030268666093936367,138422619.04720807,[ 6.746 10.317  4.504  0.   ],73.53174603152772
7,[3376. 3538.  880.    0.],10081.0,201.60000000059856,[116.869  53.582  31.149   0.   ],20948.310795494748,8904.0,98747.0,82959.0,90991500000.0,227138517.1845632,103262.0,103.8999642669022,6.288026981450574,53.95853585953775,99.23487986827307,14.887840070448574,3.4228747148100385,0.005951790496974507,16.07161987898026,[0.58  0.266 0.155 0.   ],0.8401166617720032,0.002496260828589079,451346726.18913615,[16.746 17.55   4.365  0.   ],44.166666666535534
8,[1936. 1875. 1175.    0.],10081.0,201.60000000059856,[106.107  18.645  76.848   0.   ],18381.75719015635,19908.0,151071.0,138346.0,102213000000.0,396061032.7563553,69681.0,91.17030646838398,4.1545878385080925,45.97520087292927,82.7756498827107,20.837793747889286,4.139966273187184,0.002876698740204345,21.3703005654201,[0.526 0.092 0.381 0.   ],0.9157680825572082,0.003874859682783553,507008928.5699232,[9.603 9.301 5.828 0.   ],98.7499999997068
9,[1723. 1773. 1105.    0.],10081.0,201.60000000059856,[102.643  20.227  78.73    0.   ],17804.588354901756,22804.0,147405.0,134944.0,105099000000.0,368499912.2694246,77545.0,88.30764981103565,3.9296895149290685,45.90576331713124,84.46147525779897,21.14115647669884,4.361670469199484,0.0023807161987898025,22.254042257712527,[0.509 0.1   0.391 0.   ],0.9154641972796038,0.0035062171121459256,521324404.76035696,[8.547 8.795 5.481 0.   ],113.11507936474352
