id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[1074.  900.  825.    0.],10081.0,201.60000000059856,[ 27.081   7.655 166.864   0.   ],10825.67724139844,36692.0,5968.0,4651.0,2001.0,2865000000.0,73549.7411979526,53.69346910722211,0.8187283007638199,26.7231425453824,8.795706080414933,0.5903328411782048,0.16536057930760836,0.03144529312568198,0.3633568098402936,[0.134 0.038 0.828 0.   ],0.7793230563002681,2.5671811936458146e-05,14211309.52376733,[5.327 4.464 4.092 0.   ],182.00396825342787
1,[1097. 1788. 1230.    0.],10081.0,201.60000000059856,[ 25.618  31.252 144.73    0.   ],10635.614950942527,7456.0,12662.0,11393.0,1892.0,4138500000.0,0.0,52.750793328747584,0.5050292629699349,16.653903382600934,8.402496419246425,0.7026410676978889,0.19888899910723143,0.024303144529312568,0.6097609364150381,[0.127 0.155 0.718 0.   ],0.8997788658979624,0.0,20528273.80946286,[5.441 8.869 6.101 0.   ],36.98412698401718
2,[874. 921. 910.   0.],10081.0,201.60000000059856,[ 26.528  12.372 162.7     0.   ],10607.235680910535,9552.0,13053.0,11871.0,1482.0,3148500000.0,137590.9197781493,52.610037104008036,0.5547068743180175,18.371193333994643,7.4306013113713965,0.5341882979971008,0.15077869259002083,0.021128856264259498,0.46037099494097805,[0.132 0.061 0.807 0.   ],0.909446104343829,4.3700466818532416e-05,15617559.523763156,[4.335 4.568 4.514 0.   ],47.380952380811706
3,[1253. 1866. 1270.    0.],10081.0,201.60000000059856,[ 30.97   31.793 138.837   0.   ],10958.250298554562,9568.0,16187.0,14718.0,1725.0,4225500000.0,137590.9197781493,54.35100832533646,0.6066064874516313,16.82769566511259,9.624105424346054,0.8244181505146593,0.23003670270806467,0.025592699136990377,0.6318817577621267,[0.154 0.158 0.689 0.   ],0.9092481621053932,3.256204467593168e-05,20959821.428509198,[6.215 9.256 6.3   0.   ],47.46031746017655
4,[911. 911. 969.   0.],10081.0,201.60000000059856,[ 30.616  11.472 159.512   0.   ],10860.685071434924,10484.0,12692.0,11353.0,1215.0,3307500000.0,751722.9456358848,53.867101832331755,0.658823529411757,18.6302946136296,8.623920897387482,0.648323644146805,0.17924809046721554,0.023608768971332208,0.47187778990179546,[0.152 0.057 0.791 0.   ],0.894500472738733,0.00022727829044168852,16406249.99995129,[4.519 4.519 4.807 0.   ],52.00396825381385
5,[ 895. 1509. 1236.    0.],10081.0,201.60000000059856,[ 23.081  34.739 143.78    0.   ],10372.925008050113,6000.0,13808.0,12783.0,1005.0,4254000000.0,751722.9456358848,51.447897073948475,0.46527130245014525,16.569784743577028,6.813691863883007,0.5932076927289818,0.1562345005455808,0.01726019244122607,0.6234500545580796,[0.114 0.172 0.713 0.   ],0.9257676709154113,0.000176709672222822,21101190.476127826,[4.439 7.485 6.131 0.   ],29.7619047618164
6,[1135.  954.  882.    0.],10081.0,201.60000000059856,[ 29.76    7.956 163.884   0.   ],11008.821086288242,36736.0,5946.0,4548.0,2271.0,2958000000.0,0.0,54.601830603551335,0.9033230830274813,26.84217835532189,9.380952803310855,0.6792330347800196,0.18400952286479516,0.03323083027477433,0.38041860926495386,[0.148 0.039 0.813 0.   ],0.7648839556004037,0.0,14672619.047575485,[5.63  4.732 4.375 0.   ],182.2222222216812
7,[ 682. 1147.  985.    0.],10081.0,201.60000000059856,[ 15.679  21.495 164.426   0.   ],9994.008384756933,5508.0,9107.0,8249.0,2662.0,2929500000.0,73549.7411979526,49.56853677589583,0.3248090467215522,17.074893363753596,5.069349232403005,0.38435008655904623,0.09889891875805971,0.021228052772542406,0.40720166650133915,[0.078 0.107 0.816 0.   ],0.9057867574393323,2.5106585150350774e-05,14531249.999956856,[3.383 5.689 4.886 0.   ],27.321428571347454
8,[ 818. 1651. 1189.    0.],10081.0,201.60000000059856,[ 16.826  42.747 142.027   0.   ],10139.52411303151,5304.0,26209.0,25246.0,1770.0,4066500000.0,0.0,50.29026938315045,0.30846146215652925,16.387659954369607,5.460857512212797,0.4616497053899053,0.12647554806070826,0.017954567999206427,0.6747346493403432,[0.083 0.212 0.704 0.   ],0.9632568964859399,0.0,20171130.952321064,[4.058 8.189 5.898 0.   ],26.309523809445697
9,[ 774. 1576. 1178.    0.],10081.0,201.60000000059856,[ 17.994  44.179 139.427   0.   ],10168.917724753488,4784.0,27729.0,26819.0,1150.0,4102500000.0,123620.00446997689,50.43605656558251,0.3375855569883898,16.38170816387263,5.42788126454124,0.48022512942614903,0.1317329629997024,0.014482690209304632,0.6916972522567205,[0.089 0.219 0.692 0.   ],0.9671823722456634,3.0132846915289918e-05,20349702.380891964,[3.839 7.817 5.843 0.   ],23.730158730088274
10,[ 960. 1752. 1263.    0.],10081.0,201.60000000059856,[ 22.723  42.407 136.47    0.   ],10522.638980749161,6576.0,28826.0,27686.0,1615.0,4038000000.0,509842.21669393434,52.19045224059482,0.4224184108719305,16.49003075091757,6.9539192732480295,0.65505684084919,0.17696657077670866,0.01577224481698244,0.6921932347981351,[0.113 0.21  0.677 0.   ],0.9604523693887462,0.00012626107397076136,20029761.904702436,[4.762 8.69  6.265 0.   ],32.61904761895077
11,[ 795. 1699. 1272.    0.],10081.0,201.60000000059856,[ 16.531  46.74  138.329   0.   ],10134.202932399567,4536.0,27796.0,26927.0,1401.0,4294500000.0,751722.9456358848,50.26387725621938,0.30623946037099237,16.38170816387263,5.05679024970006,0.4117959978531146,0.11645670072413451,0.014879476242436266,0.7083622656482492,[0.082 0.232 0.686 0.   ],0.9687365088501942,0.00017504318212501683,21302083.333270088,[3.943 8.428 6.31  0.   ],22.4999999999332
12,[1004. 1692. 1194.    0.],10081.0,201.60000000059856,[ 23.328  38.109 140.163   0.   ],10518.960655535424,6920.0,25158.0,23923.0,1745.0,4252500000.0,118217.18023887472,52.17220838971839,0.4428132129748956,16.540819363158416,7.556169534406606,0.6493482222943541,0.1811328241245908,0.020136891181430413,0.6899117151076282,[0.116 0.189 0.695 0.   ],0.9509102472374592,2.7799454494738322e-05,21093749.99993737,[4.98  8.393 5.923 0.   ],34.32539682529491
