id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[ 781. 1390.  427.  833.],10081.0,201.60000000059856,[ 17.284  12.512  14.649 157.155],6860.4692988975885,14364.0,2658000000.0,9275307.674694587,4471.0,53837.0,34.02672998164132,0.23219918658863267,17.220910623946036,4.797429315185384,0.3576349003274381,0.07975399265945839,0.2995734550143835,0.6221604999504018,[0.086 0.062 0.073 0.78 ],0.0,0.0,0.003489581517943787,13184523.809484664,[3.874 6.895 2.118 4.132],71.24999999978846
1,[1542. 2356.  713.  827.],10081.0,201.60000000059856,[29.342 31.955 42.167 98.136],8369.216534434368,10912.0,5793000000.0,35467084.8349629,5337.0,46591.0,41.50985286398005,0.4842376748338368,17.19075488542803,9.855529597671744,0.8682087075934283,0.18014085904176172,0.3206031147703601,1.264259498065668,[0.146 0.159 0.209 0.487],0.0,0.0,0.006122403734673381,28735119.047533732,[ 7.649 11.687  3.537  4.102],54.12698412682342
2,[1238. 1987.  775.  840.],10081.0,201.60000000059856,[25.647 24.432 52.212 99.309],8030.665974612193,9608.0,4251000000.0,19731636.969573565,4641.0,53114.0,39.83070119340051,0.4297986310881791,17.812915385378435,7.880498699852802,0.6155932198803018,0.1399662731871838,0.2717984326951691,0.8998115266342624,[0.127 0.121 0.259 0.493],0.0,0.0,0.004641645958497663,21086309.52374692,[6.141 9.856 3.844 4.167],47.65873015858866
3,[1550. 2406.  737.  839.],10081.0,201.60000000059856,[29.233 31.123 41.758 99.486],8359.656433067215,9424.0,5713500000.0,30755255.054407075,5235.0,46469.0,41.462436430257654,0.4666203749627916,16.868961412558278,9.886082069585285,0.8241779957403602,0.18014085904176172,0.3144529312568198,1.191746850510862,[0.145 0.154 0.207 0.493],0.0,0.0,0.0053829097846166225,28340773.809439667,[ 7.688 11.935  3.656  4.162],46.74603174589296
4,[1240. 2013.  766.  834.],10081.0,201.60000000059856,[26.309 24.    52.383 98.908],8001.757137585214,9508.0,4306500000.0,22871630.667809833,4998.0,53763.0,39.68731840882175,0.44233706973513753,17.689911715107627,8.575901702116452,0.6392999533496226,0.15107628211486956,0.28608272988790795,0.9027874218827497,[0.131 0.119 0.26  0.491],0.0,0.0,0.005310955687405046,21361607.14279372,[6.151 9.985 3.8   4.137],47.162698412558385
5,[1497. 2337.  698.  817.],10081.0,201.60000000059856,[28.686 33.377 42.442 97.095],8328.991919313652,10240.0,5812500000.0,25702312.655237727,5495.0,46181.0,41.310345795630795,0.46527130245014453,16.989584366630293,9.76320321747131,0.8185637417765332,0.17696657077670866,0.33310187481400655,1.2695169130046622,[0.142 0.166 0.211 0.482],0.0,0.0,0.004421903252514017,28831845.238009635,[ 7.426 11.592  3.462  4.053],50.793650793499985
6,[ 829. 1405.  410.  823.],10081.0,201.60000000059856,[ 17.651  12.351  14.742 156.856],6935.513710402764,14768.0,2763000000.0,10319313.190806512,4472.0,52088.0,34.39893716101471,0.25299077472472936,17.324471778593395,5.006448597241343,0.41313438215526915,0.08431703204047218,0.3031445293125682,0.654300168634064,[0.088 0.061 0.073 0.778],0.0,0.0,0.003734822001739599,13705357.14281645,[4.112 6.969 2.034 4.082],73.25396825375076
7,[1110. 1951.  782.  754.],10081.0,201.60000000059856,[21.284 30.771 60.825 88.72 ],7460.841635741559,7944.0,3951000000.0,18014304.34244818,3925.0,49615.0,37.004471955871516,0.33933141553416857,16.868564626525146,7.191023400680971,0.49016914733536415,0.11447277055847634,0.21991865886320802,0.8227358396984427,[0.106 0.153 0.302 0.44 ],0.0,0.0,0.004559429091988909,19598214.2856561,[5.506 9.678 3.879 3.74 ],39.404761904644914
8,[1459. 2433.  817.  805.],10081.0,201.60000000059856,[25.641 36.239 42.68  97.04 ],8143.94272668704,8328.0,5664000000.0,33900773.823531374,4805.0,54940.0,40.39253410717359,0.3978970340243948,16.77452633667295,8.937428730627204,0.7309853630408876,0.15573851800416624,0.279535760341236,1.1876797936712629,[0.127 0.18  0.212 0.481],0.0,0.0,0.0059853061129116125,28095238.09515468,[ 7.237 12.068  4.053  3.993],41.30952380940116
9,[1537. 2411.  745.  807.],10081.0,201.60000000059856,[26.831 34.287 43.168 97.314],8360.397742774903,8564.0,5715000000.0,37840178.9937142,4846.0,52139.0,41.46611319698511,0.42781470092251844,16.826505307013193,9.091584149299289,0.7153072218449418,0.16119432595972621,0.29272889594286283,1.204840789604206,[0.133 0.17  0.214 0.483],0.0,0.0,0.006621203673440805,28348214.285630118,[ 7.624 11.959  3.695  4.003],42.480158730032606
