id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,disconnects,num_requests,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[ 789. 1361.  459.  829.],10081.0,201.60000000059856,[ 16.937  11.412  15.962 157.289],6859.032796055653,14224.0,2778000000.0,12000885.645895235,51600.0,4461.0,34.019605178338146,0.2425949806566807,17.374466818767978,4.835894174066485,0.4071358108517989,0.08332506695764309,0.29193532387659954,0.6345600634857653,[0.084 0.057 0.079 0.78 ],0.0,0.0,0.004319973234663511,13779761.904720992,[3.914 6.751 2.277 4.112],70.55555555534607
1,[1571. 2390.  725.  848.],10081.0,201.60000000059856,[ 28.912  30.936  41.343 100.409],8313.565685680833,10336.0,5754000000.0,20619269.68725656,46210.0,5146.0,41.23383437001378,0.46757266144230764,16.97847435770261,9.808043132678483,0.8071146347275185,0.17706576728499157,0.30383890487054854,1.213371689316536,[0.143 0.153 0.205 0.498],0.0,0.0,0.0035834670989323184,28541666.666581925,[ 7.793 11.855  3.596  4.206],51.269841269689046
2,[1265. 1988.  774.  838.],10081.0,201.60000000059856,[26.243 23.954 51.67  99.733],8012.316264700618,9424.0,4222500000.0,10951413.056808397,53388.0,4783.0,39.73968983583982,0.4344013490725047,17.647058823529413,8.477080887964643,0.6286554325351446,0.14383493701021724,0.27427834540224183,0.8680686439837317,[0.13  0.119 0.256 0.495],0.0,0.0,0.0025935850933826872,20944940.47612829,[6.275 9.861 3.839 4.157],46.74603174589296
3,[1542. 2408.  703.  841.],10081.0,201.60000000059856,[ 29.256  29.947  42.329 100.068],8378.940840266077,9912.0,5668500000.0,11940907.18716885,47579.0,5420.0,41.558083723178996,0.4654300168633972,16.97609364150382,9.7395177303008,0.8198636146688886,0.18162880666600537,0.32734847733359784,1.195119531792481,[0.145 0.149 0.21  0.496],0.0,0.0,0.0021065373885805505,28117559.523726042,[ 7.649 11.944  3.487  4.172],49.16666666652069
4,[1196. 1973.  794.  819.],10081.0,201.60000000059856,[24.98  23.972 55.398 97.25 ],7901.4360797554855,9104.0,4195500000.0,11073502.208397469,51973.0,4629.0,39.18974347662292,0.4115464735641236,17.560956254339846,7.873296885426574,0.608948177996595,0.13768475349667691,0.2694177164963793,0.8891975002479913,[0.124 0.119 0.275 0.482],0.0,0.0,0.0026393760477648595,20811011.904700115,[5.933 9.787 3.938 4.062],45.15873015859608
5,[1523. 2386.  690.  829.],10081.0,201.60000000059856,[29.299 32.123 41.81  98.368],8381.07706430021,10200.0,5713500000.0,24459412.09087455,47906.0,5420.0,41.56867902143383,0.46074794167244404,16.97371292530503,10.045060037640921,0.8644654346778008,0.18152961015772245,0.3280428528915782,1.249280825314949,[0.145 0.159 0.207 0.488],0.0,0.0,0.00428098575144387,28340773.809439667,[ 7.555 11.835  3.423  4.112],50.59523809508788
6,[ 814. 1399.  429.  841.],10081.0,201.60000000059856,[ 17.625  11.726  15.806 156.443],6921.540180490301,14472.0,2779500000.0,9786976.631516514,53426.0,4631.0,34.32963089222931,0.2485467711536555,17.372879674635453,4.94482774708541,0.49091261019724347,0.0822339053665311,0.3116754290248983,0.6497371292530503,[0.087 0.058 0.078 0.776],0.0,0.0,0.0035211284876835816,13787202.380911447,[4.038 6.939 2.128 4.172],71.78571428550116
7,[1177. 1976.  740.  778.],10081.0,201.60000000059856,[21.984 29.385 58.321 91.91 ],7588.611838715016,8104.0,4030500000.0,14552687.670007195,49113.0,3977.0,37.63818985574997,0.3471877789901748,16.861422477928777,7.160080426369236,0.4887963810165672,0.11348080547564726,0.22835036206725523,0.8312667394107728,[0.109 0.146 0.289 0.456],0.0,0.0,0.003610640781542537,19992559.523750164,[5.838 9.802 3.671 3.859],40.198412698293346
8,[1524. 2470.  792.  793.],10081.0,201.60000000059856,[26.221 36.728 43.354 95.297],8205.747407900204,8416.0,5841000000.0,20585267.530450597,54857.0,5045.0,40.699074535767906,0.41448269020929657,16.79158813609761,9.383760155416772,0.7478790821589002,0.16059914691002877,0.29580398769963295,1.2051383791290546,[0.13  0.182 0.215 0.473],0.0,0.0,0.0035242711060521482,28973214.285628263,[ 7.56  12.252  3.929  3.934],41.7460317459078
9,[1502. 2423.  809.  786.],10081.0,201.60000000059856,[27.138 36.037 43.454 94.971],8284.338008654397,7968.0,5743500000.0,14361787.081441594,51460.0,4836.0,41.08887019470101,0.4247197698640923,16.652713024501537,9.077714932851674,0.655118810626123,0.15911119928578513,0.2812221009820454,1.1619878980259895,[0.135 0.179 0.216 0.471],0.0,0.0,0.002500528785834699,28489583.333248746,[ 7.45  12.019  4.013  3.899],39.52380952369218
10,[1484. 2466.  816.  819.],10081.0,201.60000000059856,[26.09  36.179 40.769 98.562],8193.090629560034,8112.0,5739000000.0,22547625.50666435,51769.0,4817.0,40.636299124895764,0.399484178156921,16.68247197698641,8.634900884760306,0.692342589890976,0.15127467513143536,0.29520880864993554,1.1985914095823826,[0.129 0.179 0.202 0.489],0.0,0.0,0.003928842221060176,28467261.904677384,[ 7.361 12.232  4.048  4.062],40.23809523797577
