id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[402. 751. 286. 528.],10081.0,201.60000000059856,[  8.572   6.297   9.87  176.861],6032.489510624924,22848.0,2328.0,18641.0,1294500000.0,7890441.295711674,29.92009478536474,0.11292530502926347,17.458982243825016,2.151838860368901,0.1638679766342653,0.03481797440730086,0.15554012498760045,0.30949310584267437,[0.043 0.031 0.049 0.877],0.0,0.0,0.006095358281739416,6421130.952361888,[1.994 3.725 1.419 2.619],113.33333333299684
1,[ 841. 1424.  627.  615.],10081.0,201.60000000059856,[15.77  21.1   93.145 71.585],6809.074290095418,6240.0,2547.0,17343.0,2701500000.0,21085146.47807922,33.77181971082328,0.2534669179644871,16.620970141851007,4.674064108665991,0.34989669208430535,0.07915881360976093,0.14968753099890883,0.5621466124392421,[0.078 0.105 0.462 0.355],0.0,0.0,0.007804977411837578,13400297.619007833,[4.172 7.063 3.11  3.051],30.952380952289055
2,[ 660. 1145.  655.  663.],10081.0,201.60000000059856,[13.797 13.924 96.425 77.454],6643.022799046273,6060.0,2346.0,19438.0,1990500000.0,17930556.67398064,32.948233305460704,0.22973911318321627,17.307806765201864,4.147842296026527,0.28369704490617265,0.06546969546671957,0.1280626921932348,0.38458486261283603,[0.068 0.069 0.478 0.384],0.0,0.0,0.009008066653594896,9873511.90473259,[3.274 5.68  3.249 3.289],30.059523809434562
3,[ 809. 1412.  674.  601.],10081.0,201.60000000059856,[15.064 20.639 95.523 70.374],6768.776100796615,5832.0,2473.0,16668.0,2730000000.0,21795718.909292154,33.57194772739461,0.24592798333498622,16.560261878781866,4.826405394120911,0.376115371160158,0.08094435075885328,0.1410574347782958,0.5409185596666998,[0.075 0.102 0.474 0.349],0.0,0.0,0.007983779820253537,13541666.66662646,[4.013 7.004 3.343 2.981],28.92857142848554
4,[ 587. 1021.  651.  619.],10081.0,201.60000000059856,[ 12.45   13.09  104.024  72.036],6488.88388401641,5200.0,2006.0,16435.0,1957500000.0,21274594.684287127,32.183731197386344,0.2125979565519303,17.151869854181133,3.504993905551421,0.24618180596439773,0.056145223688126175,0.11427437754191053,0.3783354825910128,[0.062 0.065 0.516 0.357],0.0,0.0,0.01086824760372267,9709821.4285426,[2.912 5.064 3.229 3.07 ],25.793650793574212
5,[ 796. 1395.  617.  568.],10081.0,201.60000000059856,[16.019 22.522 96.672 66.387],6809.789540334935,6056.0,2549.0,15986.0,2749500000.0,19845490.75878365,33.77536722713899,0.25608570578315604,16.562245808947527,4.948275801708539,0.40923786959808667,0.08649935522269617,0.14264457891082233,0.553615712726912,[0.079 0.112 0.48  0.329],0.0,0.0,0.0072178544312724675,13638392.857102364,[3.948 6.92  3.061 2.817],30.03968253959335
6,[431. 784. 259. 539.],10081.0,201.60000000059856,[  9.327   6.068   7.961 178.244],6083.935698224113,23040.0,2687.0,21006.0,1369500000.0,10681973.377431754,30.17525889408045,0.12474952881658637,17.465727606388256,2.3833547437266356,0.1913754495343385,0.0375954766392223,0.1877789901795457,0.3289356214661244,[0.046 0.03  0.039 0.884],0.0,0.0,0.0077999075410235515,6793154.7618845925,[2.138 3.889 1.285 2.674],114.28571428537497
7,[ 588. 1110.  620.  543.],10081.0,201.60000000059856,[ 11.818  18.688 107.962  63.132],6384.315439234553,4664.0,1979.0,18880.0,1917000000.0,13890732.790960276,31.665089967439595,0.19498065668088646,16.491221109016962,3.619182928897578,0.21378492748930364,0.053863703997619285,0.10871937307806766,0.38567602420394803,[0.059 0.093 0.536 0.313],0.0,0.0,0.007246078659864516,9508928.571400339,[2.917 5.506 3.075 2.693],23.134920634851948
8,[ 769. 1459.  765.  596.],10081.0,201.60000000059856,[13.485 23.458 94.577 70.08 ],6614.484939706795,4944.0,2304.0,19487.0,2722500000.0,19586635.495654974,32.80669050544336,0.21474060113084148,16.433687134212875,4.257393690250454,0.28379251261345523,0.06596567800813412,0.13074099791687332,0.5420097212578118,[0.067 0.116 0.469 0.348],0.0,0.0,0.007194356472233232,13504464.28567419,[3.814 7.237 3.795 2.956],24.523809523736713
9,[ 747. 1397.  760.  594.],10081.0,201.60000000059856,[14.182 22.434 95.356 69.628],6674.6122829493615,4864.0,2318.0,18019.0,2692500000.0,14038138.882513477,33.10491163054338,0.2358496180934433,16.406705683959924,4.6647003562643015,0.3450042270433836,0.07538934629501041,0.13093939093343915,0.5191945243527428,[0.07  0.111 0.473 0.345],0.0,0.0,0.005213793456829517,13355654.76186511,[3.705 6.93  3.77  2.946],24.126984126912493
