id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,disconnects,cell_traffic,cell_dropped_traffic,num_requests,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[3626. 4654. 1448.  820.],20161.0,403.19999999737746,[ 55.65  138.219  56.266 153.065],25965.016600578438,2016.0,1086557.0,25204500000.0,35168967.54358359,28667.0,22139.0,64.39416844544161,0.5501711224641705,16.331332771191907,14.161028247354704,2.198938036105802,0.5066216953524131,0.002430434998263975,2.120182530628441,[0.138 0.343 0.14  0.38 ],0.7722817176544459,0.0013953447814312359,62511160.71469231,[ 8.993 11.543  3.591  2.034],5.0000000000325215
1,[14934. 12972.  3437.     0.],20161.0,403.19999999737746,[258.005  70.666  74.529   0.   ],45766.650625915594,37984.0,334284.0,129282000000.0,350074668.10081494,81627.0,39590.0,113.50292799443253,8.683140717225877,56.48926144536481,109.15342805942814,16.654568892637222,3.6161896731312932,0.03824215068696989,12.268538266951044,[0.64  0.175 0.185 0.   ],0.48501108701777595,0.002707837657994268,320639880.9544665,[37.039 32.173  8.524  0.   ],94.20634920696196
2,[5261. 6800. 1762.  351.],20161.0,403.19999999737746,[124.352 137.328  92.016  49.504],27144.485141413348,12432.0,416663.0,43864500000.0,130915976.23191431,26016.0,11881.0,67.31929254851637,1.472307921234136,18.32012300977134,32.37461667908835,6.8516075043451705,1.490104657507068,0.0032736471405188233,4.570656217449531,[0.308 0.341 0.228 0.123],0.45668050430504303,0.002984554166396843,108790922.61975522,[13.048 16.865  4.37   0.871],30.833333333533883
3,[14981. 13643.  2977.     0.],20161.0,403.19999999737746,[247.991  83.197  72.012   0.   ],43283.55534704205,48184.0,348972.0,127087500000.0,525723790.9674179,72359.0,33214.0,107.34476302524995,7.3642775655970665,51.165715986310204,90.5274339549685,16.277990104891476,3.362630821883835,0.034274093546947076,13.397202519716284,[0.615 0.206 0.179 0.   ],0.45901684655675173,0.004136707315569335,315197172.62109774,[37.155 33.837  7.383  0.   ],119.50396825474554
4,[6024. 7550. 1703.  309.],20161.0,403.19999999737746,[129.86  136.412  95.246  41.682],28128.876466956084,11696.0,412429.0,43012500000.0,138073461.33510914,30662.0,15135.0,69.7606181909422,1.4816328555132052,18.09572937850305,33.923145747087695,7.293301045772184,1.5783939288725757,0.0035216507117702494,4.606021526709984,[0.322 0.338 0.236 0.103],0.4936077229143565,0.0032100775666401428,106677827.38164625,[14.94  18.725  4.224  0.766],29.007936508125184
5,[15775. 13832.  3261.     0.],20161.0,403.19999999737746,[257.932  74.946  70.322   0.   ],44290.53209103368,44360.0,340499.0,113550000000.0,368454475.18610615,93254.0,51394.0,109.8421013120205,7.846912355537808,51.238926640543625,104.04646874102407,16.753794623746273,3.6513565795347454,0.032637269976687665,11.61063439313526,[0.64  0.186 0.174 0.   ],0.5511184506830806,0.0032448654794020797,281622023.8113556,[39.125 34.306  8.088  0.   ],110.01984127055687
6,[4977. 5924. 1441.  807.],20161.0,403.19999999737746,[ 75.224 120.452  59.209 148.315],27619.894622701282,2656.0,907784.0,24316500000.0,26808529.79700907,41387.0,32856.0,68.49832504016526,0.6965527503596491,16.198799662715142,19.27512956734276,2.7418823694754106,0.6708496602351074,0.0020832299985119786,2.213084668419225,[0.187 0.299 0.147 0.368],0.7938724720322806,0.0011024830792675372,60308779.76229703,[12.344 14.692  3.574  2.001],6.587301587344434
7,[5940. 7375. 1669.    0.],20161.0,403.19999999737746,[162.283 153.981  86.936   0.   ],32043.164697277047,16248.0,239049.0,45567000000.0,118925558.42475359,24922.0,8902.0,79.46819279121607,1.8123307375626494,18.969892366450075,38.90739230169575,6.187398996417036,1.4464064282525668,0.015277019989087842,4.299290709786221,[0.402 0.382 0.216 0.   ],0.3571944466736217,0.0026099053794358547,113013392.85787793,[14.732 18.291  4.139  0.   ],40.297619047881156
8,[8864. 9952. 1961.   16.],20161.0,403.19999999737746,[147.532 109.674 144.065   1.929],32041.825218602266,6512.0,450457.0,56575500000.0,350291075.34864867,39310.0,18431.0,79.46487083626647,1.5466296314668577,17.159466296314665,37.23557629723086,8.365205328458332,1.7387034373294976,0.012449779276821586,7.198402857001141,[0.366 0.272 0.357 0.005],0.46886288476214705,0.0061915683528850594,140316220.2390079,[21.984 24.683  4.864  0.04 ],16.150793650898702
9,[9.468e+03 1.080e+04 1.868e+03 1.000e+00],20161.0,403.19999999737746,[1.642e+02 1.242e+02 1.147e+02 1.300e-01],32437.32449162108,8768.0,353244.0,57883500000.0,361461917.6768548,34578.0,13913.0,80.44572315762863,1.6987252616439124,17.531273250334806,39.327682572501104,8.983768528338654,1.8874559793661028,0.01686424284509697,7.361291602599078,[4.073e-01 3.080e-01 2.844e-01 3.224e-04],0.40236566603042395,0.006244645152363883,143560267.85807663,[2.348e+01 2.678e+01 4.633e+00 2.480e-03],21.746031746173188
