id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,disconnects,num_rejects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
0,[9945. 9946.    0.    0.],20161.0,403.19999999737746,[144.528 258.672   0.      0.   ],49590.103660583445,893771.0,2473192.0,766247.0,77878500000.0,22870456159.62252,122.98522806553503,5.239740092258085,64.0,58.8892258867627,129.41532407493204,6.263131789097763,0.009374534993303903,18.42775655969446,[0.358 0.642 0.    0.   ],0.8573191566967377,0.29366842144651634,193151041.66792297,[24.665 24.668  0.     0.   ],0.0,0.0
1,[10378. 10378.     0.     0.],20161.0,403.19999999737746,[164.261 238.939   0.      0.   ],68669.56487485542,1829111.0,2797187.0,1581928.0,160989000000.0,54526045319.259605,170.30297325247062,5.702772679927453,63.95337532860473,63.20268931079667,278.3578780410382,10.042755815683746,0.7217399930559,38.503496850354644,[0.407 0.593 0.    0.   ],0.8648616732390763,0.3386942295390344,399278273.81212085,[25.739 25.739  0.     0.   ],40.0,0.09920634920699448
2,[11139. 11140.     0.     0.],20161.0,403.19999999737746,[169.371 233.829   0.      0.   ],68090.59758819158,1314702.0,2328669.0,1129081.0,117645000000.0,44214921209.29389,168.86711370516616,6.091126432221574,64.0,58.84883402692414,298.5636340108792,10.495064728932096,0.3670948861663608,29.018649868558107,[0.42 0.58 0.   0.  ],0.8588113504048827,0.37583340736362697,291778273.81142163,[27.626 27.629  0.     0.   ],0.0,0.0
3,[10629. 10630.     0.     0.],20161.0,403.19999999737746,[168.914 234.286   0.      0.   ],70701.03179353362,1729711.0,2678763.0,1484885.0,159759000000.0,54330111930.060455,175.34108375959,5.917166807202934,64.0,63.16219131786256,311.1535736248708,10.675561728088885,0.9069986607807152,38.166211993452706,[0.419 0.581 0.    0.   ],0.8584584361202536,0.34007543819165403,396227678.5740058,[26.362 26.364  0.     0.   ],0.0,0.0
4,[9873. 9874.    0.    0.],20161.0,403.19999999737746,[144.701 258.499   0.      0.   ],50493.50919026184,807109.0,2516634.0,672737.0,77764500000.0,23585201537.543907,125.22570604202136,5.255612320818179,64.0,58.98621885542262,140.05787982931176,6.402360993998314,0.009572937850305045,18.548187093894153,[0.359 0.641 0.    0.   ],0.833514432375305,0.30329008143232333,192868303.57268304,[24.487 24.489  0.     0.   ],0.0,0.0
5,[10338. 10339.     0.     0.],20161.0,403.19999999737746,[159.058 244.142   0.      0.   ],61714.977237230436,1484092.0,2735615.0,1287165.0,122922000000.0,38069789002.89582,153.05534754534344,5.6371806954028605,64.0,60.40211612566701,214.04093554970672,8.688557115222459,0.13168989633450723,29.133128317047767,[0.394 0.606 0.    0.   ],0.8673080914121227,0.3097068791826998,304866071.4305544,[25.64  25.642  0.     0.   ],0.0,0.0
6,[12074. 12075.     0.     0.],20161.0,403.19999999737746,[186.311 216.889   0.      0.   ],34291.28245016783,97525.0,563457.0,67577.0,35983500000.0,6254241472.505725,85.04360510432697,1.8173304895590523,17.249739596250187,44.05644960932182,87.47431418062617,4.875799811517286,0.25152522196319627,7.770348693021179,[0.462 0.538 0.    0.   ],0.6929197641630351,0.173808592063188,89244791.66724715,[29.945 29.948  0.     0.   ],104.0,0.2579365079381856
7,[10471. 10472.     0.     0.],20161.0,403.19999999737746,[170.488 232.712   0.      0.   ],75140.18275458433,2759651.0,2790462.0,2465170.0,188961000000.0,75218774158.02698,186.35033667624862,6.013669956848311,64.0,58.81502701040634,373.15009518115727,11.64862854025098,1.4465056296810674,47.45925301324339,[0.423 0.577 0.    0.   ],0.8932904921673067,0.39806507246483125,468653273.81257206,[25.97  25.972  0.     0.   ],0.0,0.0
8,[12283. 12284.     0.     0.],20161.0,403.19999999737746,[190.617 212.583   0.      0.   ],33893.91921830765,58819.0,401016.0,34139.0,32845500000.0,4556901382.764075,84.05813009847358,1.732215663905724,16.197410842716135,45.14456568350108,72.87698988019481,4.592133326719905,0.19493080700362087,6.7999603194286,[0.473 0.527 0.    0.   ],0.5804076913922372,0.13873746427255104,81462053.57195842,[30.464 30.466  0.     0.   ],56.0,0.13888888888979226
9,[10327. 10328.     0.     0.],20161.0,403.19999999737746,[159.414 243.786   0.      0.   ],61708.83628806179,1403177.0,2752409.0,1204801.0,122500500000.0,38860576135.84818,153.04011777209786,5.646704032538917,64.0,61.5459581088354,215.04514654695163,8.619413719557562,0.12623381776697584,29.199196468429147,[0.395 0.605 0.    0.   ],0.8586236804052518,0.31722789813795194,303820684.5257857,[25.613 25.615  0.     0.   ],0.0,0.0
10,[9997. 9998.    0.    0.],20161.0,403.19999999737746,[159.754 243.446   0.      0.   ],65288.31515088038,1720999.0,2790766.0,1503499.0,120007500000.0,41334511663.469124,161.9173531840781,5.513377312634121,64.0,59.83567742986837,248.64190194939798,9.479142899657756,0.12558900848172214,29.984822181439412,[0.396 0.604 0.    0.   ],0.8736199149447501,0.3444327368161917,297637648.8114597,[24.794 24.797  0.     0.   ],0.0,0.0
11,[12245. 12246.     0.     0.],20161.0,403.19999999737746,[191.248 211.952   0.      0.   ],37650.5041968553,302111.0,688878.0,249325.0,44614500000.0,11280942604.445242,93.37459500236743,2.1341798521896225,20.026784385695155,46.41014264803677,110.46593972546826,5.587470859580378,0.3273151133376321,10.633351520261892,[0.474 0.526 0.    0.   ],0.8252761402266054,0.25285372702698095,110651041.66738638,[30.37  30.372  0.     0.   ],312.0,0.7738095238145569
12,[10243. 10244.     0.     0.],20161.0,403.19999999737746,[169.399 233.801   0.      0.   ],78565.4794109777,3720332.0,2830525.0,3396357.0,175969500000.0,78675052378.19937,194.84519471006791,5.607658350280841,59.42483011755369,57.385519502649956,396.352123129991,12.473389216804723,1.5916869202916522,47.749913198750065,[0.42 0.58 0.   0.  ],0.9129177180961269,0.4470948225584512,436432291.66950536,[25.404 25.407  0.     0.   ],448.0,1.111111111118338
13,[1.223e+04 1.223e+04 1.000e+00 0.000e+00],20161.0,403.19999999737746,[1.926e+02 2.106e+02 2.900e-02 0.000e+00],36452.190456227276,267428.0,630336.0,221515.0,41440500000.0,9209149376.293606,90.40273413081331,1.9776003174445247,18.67308169237637,46.92427054449538,97.89991602961314,5.187540300580328,0.2729031298050692,9.52001388819999,[4.776e-01 5.224e-01 7.192e-05 0.000e+00],0.8283164066589885,0.22222582681902017,102779017.85781136,[3.033e+01 3.033e+01 2.480e-03 0.000e+00],112.0,0.2777777777795845
14,[10289. 10290.     0.     0.],20161.0,403.19999999737746,[162.169 241.031   0.      0.   ],65910.2959102037,1790921.0,2792929.0,1569864.0,120114000000.0,41278031298.106125,163.45988767969777,5.738128069045064,64.0,60.41530276131499,250.76794266409826,9.608104756708496,0.11170080849164228,29.83101036654928,[0.402 0.598 0.    0.   ],0.8765679781520235,0.3436571198869917,297901785.71622336,[25.518 25.521  0.     0.   ],0.0,0.0
