id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,disconnects,cell_traffic,cell_dropped_traffic,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[5158. 4392. 2247.    0.],10081.0,201.60000000059856,[67.567 66.93  67.103  0.   ],17192.161976455784,10424.0,104724.0,231900.0,23455500000.0,2169207.4121984304,82559.0,85.27012189492073,5.935125483583369,62.53070131931356,63.84375712565291,5.13583907490471,1.4538240253943062,0.021327249280825314,3.760738022021625,[0.335 0.332 0.333 0.   ],0.7883484206103663,9.248182354664921e-05,116346726.19013076,[25.585 21.786 11.146  0.   ],51.70634920619569
1,[5142. 3549. 2912.    0.],10081.0,201.60000000059856,[65.314 55.048 81.238  0.   ],16785.70976963744,11280.0,89304.0,242022.0,44646000000.0,5303793.1331582125,54176.0,83.25418990990914,5.47786925900235,53.68157920841186,85.41215508656896,9.880498054636119,2.6397182819164766,0.010018847336573752,6.993155440928479,[0.324 0.273 0.403 0.   ],0.6066469587028577,0.00011879660290189966,221458333.3326758,[25.506 17.604 14.444  0.   ],55.95238095221483
2,[5398. 5062.  935.    0.],10081.0,201.60000000059856,[81.145 94.168 26.287  0.   ],19193.944771911465,504.0,93249.0,237406.0,35520000000.0,4517146.363055163,67285.0,95.19861507741447,6.192798333499195,63.94564031346096,67.41437163818352,5.907101633005592,1.6888205535165162,0.01150679496081738,5.415633369705386,[0.403 0.467 0.13  0.   ],0.7215626977233,0.00012717191337430076,176190476.1899531,[26.776 25.109  4.638  0.   ],2.4999999999925775
3,[5537. 4360. 2253.    0.],10081.0,201.60000000059856,[77.02  73.024 51.556  0.   ],18628.984629576673,3332.0,102244.0,243625.0,48004500000.0,2900538.2460174984,68011.0,92.39651140548673,6.786072810237659,63.34133518500149,86.31320360292025,9.220579860373736,2.5455807955559964,0.008332506695764309,7.1555401249876,[0.382 0.362 0.256 0.   ],0.6651832870388482,6.0422215542657424e-05,238117559.52310255,[27.465 21.627 11.176  0.   ],16.527777777728705
4,[5176. 4722. 2226.    0.],10081.0,201.60000000059856,[65.961 68.703 66.936  0.   ],16936.88912949198,11692.0,84301.0,218332.0,23136000000.0,2401074.6134268306,65225.0,84.00401314100918,5.688007142148895,61.680785636345604,57.42903452944125,4.385840584411078,1.224283305227656,0.025195913103858745,3.3659359190556493,[0.327 0.341 0.332 0.   ],0.7737156142869005,0.00010378088750980423,114761904.76156403,[25.675 23.423 11.042  0.   ],57.996031745859554
5,[5034. 5160.  791.    0.],10081.0,201.60000000059856,[ 68.539 108.199  24.862   0.   ],15917.3137158907,3496.0,42577.0,194522.0,15534000000.0,505035.9268593836,29642.0,78.94709709298681,2.199781767681832,26.486658069635947,36.25041326010345,2.977724148055978,0.8553714909235195,0.017557781966074795,2.5323876599543698,[0.34  0.537 0.123 0.   ],0.6961974775113324,3.2511647152013877e-05,77053571.42834266,[24.97  25.595  3.924  0.   ],17.341269841218356
6,[5181. 4438. 1661.    0.],10081.0,201.60000000059856,[76.288 77.967 47.345  0.   ],18458.055575161943,5052.0,131247.0,248524.0,49645500000.0,7415126.412013568,96563.0,91.54873313738408,6.030988989187969,59.59170717190755,81.62584040590114,9.03990750003011,2.511457196706676,0.007340541612935225,8.285388354329928,[0.378 0.387 0.235 0.   ],0.7357349120360847,0.0001493615012843776,246257440.47545934,[25.699 22.014  8.239  0.   ],25.059523809449406
7,[5477. 4727. 1615.    0.],10081.0,201.60000000059856,[80.318 80.466 40.816  0.   ],18755.125702248217,5100.0,109844.0,239252.0,49600500000.0,7133059.257953747,78904.0,93.02214910348941,6.280249975201291,60.46820751909533,76.34594598964912,8.262753081390407,2.25681975994445,0.009324471778593394,7.885031246900109,[0.398 0.399 0.202 0.   ],0.7183278103492226,0.00014381022888788919,246034226.1897457,[27.168 23.447  8.011  0.   ],25.29761904754394
8,[4728. 3789. 2167.    0.],10081.0,201.60000000059856,[62.945 65.449 73.206  0.   ],16151.50916479685,6472.0,69350.0,236291.0,36913500000.0,3471792.301826371,44469.0,80.10866563235466,4.053962900505951,42.07915881360976,61.34786592257845,6.568040375652953,1.7874218827497272,0.015573851800416625,5.8351354032338065,[0.312 0.325 0.363 0.   ],0.6412256669069936,9.405210293866393e-05,183102678.57088494,[23.452 18.795 10.749  0.   ],32.10317460307929
9,[5456. 5501.  933.    0.],10081.0,201.60000000059856,[76.997 96.942 27.661  0.   ],17656.506765799084,5560.0,51296.0,185681.0,26064000000.0,831949.7422558076,33949.0,87.57319098202724,3.995079853189183,41.16853486757266,50.17429856566909,4.320172890051896,1.238369209403829,0.016863406408094434,3.64289257018153,[0.382 0.481 0.137 0.   ],0.6618254834684966,3.191949594290238e-05,129285714.28533043,[27.063 27.287  4.628  0.   ],27.579365079283196
