id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,disconnects,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[5148. 4489. 2180.    0.],10081.0,201.60000000059856,[67.292 68.441 65.867  0.   ],17172.024876036994,10424.0,23067000000.0,1797801.8895215935,97085.0,226414.0,75866.0,85.17024539249647,5.849102271600432,62.43904374566015,61.2563278344069,4.856924790592138,1.3842872730879874,0.018847336573752604,3.6248388056740404,[0.334 0.339 0.327 0.   ],0.7814389452541587,7.793826199859511e-05,114419642.85680315,[25.536 22.267 10.813  0.   ],51.70634920619569
1,[5192. 3493. 3070.    0.],10081.0,201.60000000059856,[64.772 53.28  83.548  0.   ],16804.045494840688,11120.0,45190500000.0,2873342.364766961,91657.0,241287.0,56478.0,83.34513190575962,5.793155440928763,56.4828886023212,86.59129747790882,9.782941847573245,2.620771748834441,0.010217240353139569,7.033230830274774,[0.321 0.264 0.414 0.   ],0.6161886162540777,6.358288500386056e-05,224159226.18981066,[25.754 17.326 15.228  0.   ],55.15873015856639
2,[5403. 5226.  810.    0.],10081.0,201.60000000059856,[81.224 97.385 22.991  0.   ],19209.548218949556,496.0,34998000000.0,2032458.6421935922,90915.0,232676.0,65748.0,95.2760054505816,6.087094534272904,63.92262672353933,65.54275414920802,5.606543062132325,1.6332705088780874,0.013093939093343915,5.294911219125087,[0.403 0.483 0.114 0.   ],0.7231809932354397,5.8073565409268875e-05,173601190.47567505,[26.801 25.923  4.018  0.   ],2.4603174603101556
3,[5517. 4354. 2208.    0.],10081.0,201.60000000059856,[77.225 73.277 51.098  0.   ],18634.02203825653,2808.0,48015000000.0,2179074.0861951737,106901.0,239257.0,72951.0,92.42149607307874,6.785914095824446,63.48536851502827,85.58406222570058,9.019979143673075,2.509274873524452,0.008729292728895943,7.152167443705982,[0.383 0.363 0.253 0.   ],0.6824164413803425,4.538319454743671e-05,238169642.85643572,[27.366 21.597 10.952  0.   ],13.928571428530073
4,[5157. 4722. 2202.    0.],10081.0,201.60000000059856,[66.274 69.329 65.997  0.   ],16975.066066935793,11488.0,23154000000.0,2010991.339284278,83389.0,216778.0,64273.0,84.19336408557662,5.645551036603824,61.67364348774923,57.22161125540504,4.368225629157452,1.226366431901597,0.025592699136990377,3.3394504513441126,[0.329 0.344 0.327 0.   ],0.7707611315641152,8.685286945168342e-05,114851190.47584948,[25.58  23.423 10.923  0.   ],56.98412698395779
5,[5115. 5147.  962.    0.],10081.0,201.60000000059856,[ 69.387 102.224  29.989   0.   ],16248.870374451695,3420.0,17694000000.0,819279.545943385,42751.0,190690.0,28946.0,80.59156023434744,2.6063287372284822,29.872830076381312,38.560282223117866,3.255224206716788,0.9203452038488246,0.018252157524055155,2.7422874714810037,[0.344 0.507 0.149 0.   ],0.6770835769923511,4.630267581911298e-05,87767857.14259656,[25.372 25.531  4.772  0.   ],16.96428571423535
6,[5091. 4496. 1658.    0.],10081.0,201.60000000059856,[74.399 80.068 47.133  0.   ],18057.822830626028,4520.0,47220000000.0,5642982.1791094085,106786.0,243151.0,74750.0,89.56364859946228,5.5400059517907545,55.27784941970042,76.15256749482211,8.3210064560963,2.2986806864398375,0.008828489237178851,7.641305426049003,[0.369 0.397 0.234 0.   ],0.6999981270953122,0.00011950406986678121,234226190.47549504,[25.253 22.302  8.224  0.   ],22.420634920568354
7,[5473. 4758. 1639.    0.],10081.0,201.60000000059856,[80.257 79.215 42.128  0.   ],18768.508676598925,4456.0,49669500000.0,4761333.286161124,103502.0,235073.0,72046.0,93.0885263197913,6.372701120920959,61.17885130443408,77.79531494424242,8.270795000386327,2.299275865489535,0.009324471778593394,7.8641999801606985,[0.398 0.393 0.209 0.   ],0.6960831674750246,9.586030232156804e-05,246376488.0945066,[27.148 23.601  8.13   0.   ],22.10317460310898
8,[4815. 3897. 2167.    0.],10081.0,201.60000000059856,[64.441 65.937 71.222  0.   ],16238.385573929625,6296.0,37390500000.0,4406066.11563956,68333.0,231973.0,43500.0,80.53955745426043,4.068564626525124,41.88076579704394,60.805534109872234,6.615319793951624,1.7999206427933736,0.017954567999206427,5.85299077472473,[0.32  0.327 0.353 0.   ],0.636588471163274,0.00011783918684263543,185468749.99944934,[23.884 19.33  10.749  0.   ],31.230158730066005
9,[5500. 5529.  900.    0.],10081.0,201.60000000059856,[77.545 97.089 26.966  0.   ],17626.976820908298,5312.0,25827000000.0,2405883.2740977705,52745.0,179429.0,35676.0,87.42672761087937,3.920722150580299,40.384088880071424,49.04031350642183,4.3095961165589785,1.2130740997916873,0.01517706576728499,3.555004463842873,[0.385 0.482 0.134 0.   ],0.6763863873352924,9.315380315552602e-05,128110119.0472387,[27.282 27.426  4.464  0.   ],26.349206349128117
