id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
0,[375.   0. 376.   0.],10081.0,201.60000000059856,[176.31   0.    25.29   0.  ],21568.75807776924,129641.0,31583.0,21457.0,22617000000.0,11816005.896455014,106.9772744656706,11.432516615416866,64.0,45.106305928020056,4.977274288600787,1.2478920741989883,0.0,3.4187084614621566,[0.875 0.    0.125 0.   ],0.6793844789918627,0.0005224391341227844,112187499.99966691,[1.86  0.    1.865 0.   ],0.0,0.0
1,[4142. 4067.   94.    0.],10081.0,201.60000000059856,[135.994  62.492   3.114   0.   ],22164.15937711238,111744.0,36963.0,18625.0,45654000000.0,29922487.22826805,109.9303609617612,8.742862811230157,63.985318916774126,68.52321177742729,11.677645197745976,2.709453427239361,0.00317428826505307,7.917666898125186,[0.675 0.31  0.015 0.   ],0.5038822606390174,0.0006554187415838273,226458333.33266097,[20.546 20.174  0.466  0.   ],120.0,0.595238095236328
2,[3842. 3843.    0.    0.],10081.0,201.60000000059856,[136.502  65.098   0.      0.   ],21623.97327083427,97048.0,32446.0,16566.0,33117000000.0,22275709.910621624,107.25113218347025,8.509631980955335,64.0,65.29951883503591,9.318986663566083,2.286281122904474,0.002876698740204345,5.966471580200377,[0.677 0.323 0.    0.   ],0.5105714109597485,0.0006726367095637172,164270833.3328456,[19.058 19.062  0.     0.   ],0.0,0.0
3,[4363. 4299.   83.    0.],10081.0,201.60000000059856,[135.643  62.113   3.844   0.   ],21787.07469955594,149511.0,44725.0,24424.0,46314000000.0,24727639.700334158,108.06008679473214,8.90848130145934,63.97262176371392,66.55805145583899,10.835942283305833,2.577323678206527,0.0041662533478821545,8.118738220414642,[0.673 0.308 0.019 0.   ],0.5460927892677473,0.0005339128492536632,229732142.85646078,[21.642 21.324  0.412  0.   ],240.0,1.190476190472656
4,[341.   0. 341.   0.],10081.0,201.60000000059856,[179.45   0.    22.15   0.  ],21601.762919253368,143088.0,35264.0,24129.0,22606500000.0,8188423.671297659,107.14097271725356,11.610276758259879,64.0,45.010455746839206,5.091103623452439,1.3094931058426744,0.0,3.5469695466719573,[0.89 0.   0.11 0.  ],0.6842388838475499,0.00036221545446210867,112135416.66633373,[1.691 0.    1.691 0.   ],0.0,0.0
5,[2378. 2245.  140.    0.],10081.0,201.60000000059856,[154.575  36.653  10.372   0.   ],22002.663441652527,107001.0,25940.0,12548.0,33655500000.0,14268500.728154814,109.12936931678995,9.870766789010402,64.0,54.39388213918687,8.03993255252808,1.84277353437159,0.0027775022319214363,5.114770360083325,[0.767 0.182 0.051 0.   ],0.48373168851195064,0.00042395747286936203,166941964.28521863,[11.796 11.136  0.694  0.   ],0.0,0.0
6,[2820. 1890. 1018.    0.],10081.0,201.60000000059856,[103.623  34.316  63.661   0.   ],18928.56207443396,151374.0,39523.0,21848.0,48081000000.0,27205591.710138377,93.88236322999799,6.7579010018852985,57.467711536553914,58.35254910894993,9.172273093190295,2.196012300367027,0.0066461660549548655,8.455510366035115,[0.514 0.17  0.316 0.   ],0.552792045138274,0.0005658283253288903,238497023.80881572,[13.988  9.375  5.05   0.   ],5828.0,28.908730158644328
7,[3017. 2099. 1045.    0.],10081.0,201.60000000059856,[100.746  38.056  62.798   0.   ],19584.762054525934,165370.0,42938.0,23556.0,48567000000.0,36958920.461655006,97.13700056801954,6.873683166353066,61.07449657772047,57.93536107541217,9.448791929403848,2.2540422577125283,0.006745362563237774,8.969249082432299,[0.5   0.189 0.311 0.   ],0.5486049652988029,0.0007609883349116686,240907738.09452283,[14.965 10.412  5.184  0.   ],4428.0,21.9642857142205
8,[2676. 1932.  830.    0.],10081.0,201.60000000059856,[99.576 34.937 67.087  0.   ],18668.203499068404,157217.0,41056.0,22465.0,48142500000.0,36784718.37074169,92.5910301511101,6.185180041662926,51.75954766392223,58.207699622349836,9.199049097677522,2.2724928082531495,0.0036702708064676125,8.540521773633568,[0.494 0.173 0.333 0.   ],0.5471794621979735,0.0007640799370772538,238802083.33262432,[13.274  9.583  4.117  0.   ],5864.0,29.087301587215226
9,[4069. 3848.  230.    0.],10081.0,201.60000000059856,[125.072  58.525  18.003   0.   ],21148.939417732185,129676.0,29331.0,14584.0,33688500000.0,13643780.94629189,104.8950472062785,8.20363059220415,64.0,55.591430694746236,7.782943733603637,1.8487253248685647,0.002182323182223986,5.211586152167444,[0.62  0.29  0.089 0.   ],0.49722136988169513,0.0004049981728569657,167105654.76140863,[20.184 19.087  1.141  0.   ],0.0,0.0
