id,sleep_switches,steps,time,sleep_time,energy_consumption,cell_traffic,cell_dropped_traffic,num_requests,disconnects,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
0,[2926. 3675. 1381.    0.],10081.0,201.60000000059856,[44.556 64.54  92.504  0.   ],16786.27745243994,8556000000.0,1316956.2253330294,7242.0,13608.0,3697.0,83.2570055174908,3.1869854181131556,64.0,18.14919685357987,1.1343520263937188,0.2985814899315544,0.02926296994345799,0.868862216049995,[0.221 0.32  0.459 0.   ],0.5104943385805026,0.00015392195246996605,42440476.19035018,[14.514 18.229  6.85   0.   ],0.0,0.0
1,[4830. 5404. 1334.    0.],10081.0,201.60000000059856,[61.851 60.897 78.852  0.   ],17494.929719934928,17631000000.0,1478558.4085425392,8471.0,20981.0,2528.0,86.77179704360702,4.4927288959430145,63.719472274575935,29.7588812831345,2.109977818910882,0.5770260886816784,0.035214760440432494,1.858049796647158,[0.307 0.302 0.391 0.   ],0.29842993743359697,8.38612902582122e-05,87455357.14259748,[23.958 26.806  6.617  0.   ],2304.0,11.428571428537497
2,[3635. 4161.  606.    0.],10081.0,201.60000000059856,[ 53.567 117.461  30.572   0.   ],16959.296783384303,12916500000.0,2100944.21284264,7627.0,16057.0,2984.0,84.11515119224647,3.6364646364447544,64.0,23.887865671864393,1.504735103601957,0.42098998115266345,0.013788314651324273,1.3481797440730086,[0.266 0.583 0.152 0.   ],0.39124164153664615,0.00016265584429548562,64069940.47600025,[18.031 20.64   3.006  0.   ],0.0,0.0
3,[4928. 5330. 1419.    0.],10081.0,201.60000000059856,[62.309 56.096 83.195  0.   ],17408.53370113783,17593500000.0,3330657.0518992823,8218.0,19974.0,2406.0,86.34328787389877,4.658982243825191,62.79535760341236,30.048803326105222,2.127951805800053,0.5801011804384486,0.03452038488245214,1.8409879972224978,[0.309 0.278 0.413 0.   ],0.292771963981504,0.00018931179423646702,87269345.23783614,[24.444 26.438  7.039  0.   ],5264.0,26.111111111033587
4,[2927. 3668. 1385.    0.],10081.0,201.60000000059856,[46.098 63.103 92.399  0.   ],16947.931891725206,8674500000.0,2162883.8989984267,6998.0,14082.0,3454.0,84.05878331376677,3.340620970141741,64.0,18.926027513594395,1.139542945972915,0.3075091756770162,0.026882253744668187,0.8806666005356611,[0.229 0.313 0.458 0.   ],0.4935695913118034,0.00024933816346745365,43028273.80939606,[14.519 18.194  6.87   0.   ],0.0,0.0
5,[3883. 4554. 1195.    0.],10081.0,201.60000000059856,[49.9   65.811 85.889  0.   ],16977.502342000647,12733500000.0,641793.8918398395,6039.0,17244.0,1731.0,84.20544758455088,3.592024600734001,63.91508778890983,21.953640773709417,1.4617461944695365,0.3995635353635552,0.027576629302648547,1.282710048606289,[0.248 0.326 0.426 0.   ],0.2866368604073522,5.0402001950747204e-05,63162202.38076485,[19.261 22.589  5.928  0.   ],144.0,0.7142857142835936
6,[4159. 4382. 1548.    0.],10081.0,201.60000000059856,[ 50.601  50.991 100.008   0.   ],14640.13139213063,15435000000.0,595182.6368508262,6640.0,19497.0,1909.0,72.61249574511571,3.3983930165657776,43.70875905168138,24.753361922346432,1.7609646639940395,0.4844757464537248,0.030850114075984526,1.706378335482591,[0.251 0.253 0.496 0.   ],0.2875,3.85605854778637e-05,76562499.99977268,[20.63  21.736  7.679  0.   ],17800.0,88.29365079338865
7,[4515. 4820. 1605.    0.],10081.0,201.60000000059856,[54.614 56.206 90.78   0.   ],15516.651057918472,17389500000.0,1529254.993843937,7421.0,21029.0,2258.0,76.95988025948606,4.02634659259995,56.37893066164071,26.386921390351976,1.863835424531718,0.513540323380617,0.0329332407499256,1.906854478722349,[0.271 0.279 0.45  0.   ],0.3042716615011454,8.794128605445453e-05,86257440.47593437,[22.396 23.909  7.961  0.   ],14668.0,72.75793650772049
8,[4274. 4470. 1442.    0.],10081.0,201.60000000059856,[53.274 50.571 97.755  0.   ],14988.885375532594,16507500000.0,4202062.776016552,6779.0,18866.0,1921.0,74.34225461527737,3.723757563733743,46.75171113976788,24.9895723819568,1.8106491504538738,0.4971728995139371,0.02995734550143835,1.7958535859537745,[0.264 0.251 0.485 0.   ],0.28337512907508483,0.00025455476456256565,81882440.47594737,[21.2   22.173  7.153  0.   ],18448.0,91.50793650766482
9,[3847. 4496. 1146.    0.],10081.0,201.60000000059856,[50.423 71.891 79.286  0.   ],17019.730796376894,12753000000.0,2565476.1333128987,5888.0,15737.0,1604.0,84.41489334576718,3.6199583374664748,63.97182819164765,22.353528727870152,1.4010324788121593,0.3959924610653705,0.025890288661839102,1.2823132625731575,[0.25  0.357 0.393 0.   ],0.27241847826086957,0.00020116648108781454,63258928.57124075,[19.082 22.302  5.685  0.   ],200.0,0.9920634920605466
10,[3794. 4462. 1124.    0.],10081.0,201.60000000059856,[48.26  74.244 79.096  0.   ],16770.819074698436,12646500000.0,323731.4562163145,6107.0,17120.0,1882.0,83.18033466270617,3.4574347782957204,63.99206427933737,22.170320552502254,1.38138925383156,0.3844856661045531,0.02678305723638528,1.2789405812915386,[0.239 0.368 0.392 0.   ],0.30817095136728345,2.5598502053241175e-05,62730654.76171851,[18.819 22.133  5.575  0.   ],48.0,0.23809523809453118
11,[4004. 3848. 1422.    0.],10081.0,201.60000000059856,[ 48.793  41.409 111.398   0.   ],14712.700524624204,14736000000.0,647282.5932014401,6300.0,18297.0,1727.0,72.97242597274078,3.1882551334192444,37.61491915484575,23.622337516478368,1.7436885272256357,0.4747544886419998,0.029659755976589625,1.6593591905564924,[0.242 0.205 0.553 0.   ],0.2741269841269841,4.392525741052118e-05,73095238.09502107,[19.861 19.087  7.054  0.   ],12064.0,59.84126984109217
12,[4239. 3985. 1556.    0.],10081.0,201.60000000059856,[50.657 52.118 98.825  0.   ],14883.496232617976,16048500000.0,2393118.9169913214,7820.0,23288.0,2928.0,73.81954286587354,3.6188473365737504,45.693086003372684,25.06853524138092,1.8870035710667687,0.4977680785636346,0.03452038488245214,1.8803690110108124,[0.251 0.259 0.49  0.   ],0.37442455242966755,0.00014911791862113726,79605654.76166841,[21.027 19.767  7.718  0.   ],16504.0,81.8650793648363
13,[4131. 4243. 1328.    0.],10081.0,201.60000000059856,[ 51.039  49.54  101.021   0.   ],15022.850973811557,15723000000.0,3047286.271031413,6838.0,20525.0,1966.0,74.51071805282696,3.4086300962205534,42.59815494494594,24.34514682784218,1.759702733730705,0.47296895149290746,0.028171808352345996,1.7186787025096717,[0.253 0.246 0.501 0.   ],0.28751096811933313,0.00019381074038233244,77991071.42833987,[20.491 21.047  6.587  0.   ],14736.0,73.09523809502107
