id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,disconnects,cell_traffic,cell_dropped_traffic,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[4579. 3515. 2629.    0.],10081.0,201.60000000059856,[54.988 47.376 99.236  0.   ],15518.487349647843,17424.0,79189.0,165621.0,17235000000.0,1994208.7618454138,63298.0,76.96898794587541,5.141156631286777,60.27854379525841,48.82847697365744,3.631858282525112,1.045630393810138,0.030453328042852893,2.7949608173792284,[0.273 0.235 0.492 0.   ],0.7993281895212719,0.00011570691974734052,85491071.4283176,[22.713 17.436 13.041  0.   ],86.42857142831483
1,[5269. 2226. 3946.    0.],10081.0,201.60000000059856,[ 58.243  33.051 110.306   0.   ],15485.692306280705,19728.0,72248.0,174831.0,32485500000.0,922187.3399744583,46390.0,76.80633025632604,5.462870746949785,51.787719472274574,70.45371913471863,7.43124286999671,2.0526733458982243,0.024501537545878384,5.343021525642297,[0.289 0.164 0.547 0.   ],0.6420938987930461,2.838766033998117e-05,161138392.85666442,[26.136 11.042 19.573  0.   ],97.85714285685232
2,[5035. 4386. 1707.    0.],10081.0,201.60000000059856,[67.586 74.743 59.271  0.   ],17647.92225015208,3544.0,65004.0,168491.0,26194500000.0,1441498.5439827926,45983.0,87.5306132831556,5.5774625533184965,63.38934629501041,52.20804925626518,4.271540344852581,1.272096022220018,0.026584664219819462,4.109512945144331,[0.335 0.371 0.294 0.   ],0.7073872377084487,5.503058061741177e-05,129933035.71389994,[24.975 21.756  8.467  0.   ],17.579365079312886
3,[5687. 3193. 3535.    0.],10081.0,201.60000000059856,[68.094 48.539 84.967  0.   ],17451.096675219098,6160.0,82178.0,175463.0,35620500000.0,3229619.462532833,55169.0,86.5543927944537,6.971133816090278,63.002479912707074,74.56197187323833,7.702203654302173,2.1411566312865786,0.019244122606884236,5.643884535264359,[0.338 0.241 0.421 0.   ],0.671335393901044,9.066743764216767e-05,176688988.0947135,[28.209 15.838 17.535  0.   ],30.555555555464835
4,[4465. 3774. 2522.    0.],10081.0,201.60000000059856,[53.205 52.365 96.03   0.   ],15246.209518022762,18696.0,60683.0,156408.0,16860000000.0,1768934.243173328,46778.0,75.61853743687256,4.794841781569389,58.5826802896538,44.18939689325682,3.217190842676571,0.9110207320702312,0.03273484773335979,2.5346691796448764,[0.264 0.26  0.476 0.   ],0.7708583952672082,0.00010491899425701827,83630952.38070408,[22.148 18.72  12.51   0.   ],92.73809523781989
5,[4321. 4205. 1622.    0.],10081.0,201.60000000059856,[55.288 78.261 68.051  0.   ],15429.282220940784,4624.0,36107.0,132405.0,14158500000.0,488910.5187229434,25165.0,76.52654608143312,2.1659755976590334,26.481896637238368,32.564311752903706,2.6828595283522927,0.787620275766293,0.02301358992163476,2.2233905366531097,[0.274 0.388 0.338 0.   ],0.6969562688675326,3.453123697587622e-05,70230654.76169625,[21.434 20.858  8.046  0.   ],22.93650793643984
6,[4504. 3449. 2295.    0.],10081.0,201.60000000059856,[57.721 58.565 85.314  0.   ],15377.36618849833,10692.0,67816.0,178483.0,27279000000.0,2556371.5387408477,48257.0,76.26905162433096,3.91159607181826,42.375954766392226,50.53061290046787,5.093536187026736,1.424759448467414,0.020831266739410773,4.726912012697153,[0.286 0.291 0.423 0.   ],0.7115872360504896,9.371206931122283e-05,135312499.99959826,[22.341 17.108 11.384  0.   ],53.03571428555682
7,[5466. 3699. 2734.    0.],10081.0,201.60000000059856,[70.328 55.993 75.279  0.   ],17236.752362566076,10396.0,85696.0,166919.0,35260500000.0,3929315.162564186,62011.0,85.49128242517806,6.095665112588227,57.681975994445,63.80375539455416,6.58763651300071,1.8576530106140263,0.021823231822239858,5.952980855073902,[0.349 0.278 0.373 0.   ],0.7236160380881255,0.00011143673976728027,174903273.80900452,[27.113 18.348 13.562  0.   ],51.567460317307216
8,[4099. 2635. 2546.    0.],10081.0,201.60000000059856,[ 48.224  45.574 107.802   0.   ],13783.882981336412,11060.0,33966.0,164581.0,16705500000.0,3579638.946175108,21633.0,68.36565311643712,2.156214661243925,25.543497668882054,34.10399428446962,3.209419911983195,0.904672155540125,0.025989485170122013,2.934827894058129,[0.239 0.226 0.535 0.   ],0.6369016074898428,0.0002142790665454556,82864583.33308731,[20.332 13.07  12.629  0.   ],54.86111111094823
9,[4592. 4547. 1545.    0.],10081.0,201.60000000059856,[60.628 76.475 64.497  0.   ],16306.959349906489,6384.0,36227.0,116662.0,17206500000.0,2143483.3905407265,24177.0,80.87967141109077,2.7925007439738434,31.037397083622658,37.70048255002628,3.2917276018952566,0.9438547763118739,0.02053367721456205,2.4912211090169625,[0.301 0.379 0.32  0.   ],0.6673751621718608,0.00012457404995441993,85349702.38069898,[22.778 22.555  7.664  0.   ],31.66666666657265
10,[5361. 3644. 2797.    0.],10081.0,201.60000000059856,[66.906 56.58  78.114  0.   ],17074.61174630256,8856.0,100207.0,167350.0,24741000000.0,2067815.0607142234,80884.0,84.68709327597024,6.041067354429385,59.8908838408888,57.66327325066,4.806310478421502,1.3940085308997123,0.02668386072810237,4.002876698740204,[0.332 0.281 0.387 0.   ],0.807169159839133,8.357847543406586e-05,122723214.28534992,[26.592 18.075 13.874  0.   ],43.928571428441
11,[5363. 2745. 3653.    0.],10081.0,201.60000000059856,[ 61.523  38.723 101.354   0.   ],15582.698460162008,18604.0,83044.0,166163.0,30988500000.0,6026034.730386937,59657.0,77.28746384367443,4.941335185001484,45.714909235194924,64.36325693475115,7.21086352036646,1.960023807161988,0.019442515623450056,5.4949905763317135,[0.305 0.192 0.503 0.   ],0.7183782091421416,0.00019446035562827943,153712797.61859125,[26.602 13.616 18.12   0.   ],92.28174603147204
12,[4431. 2908. 2563.    0.],10081.0,201.60000000059856,[ 53.482  45.857 102.261   0.   ],14546.021842865504,11592.0,54827.0,163924.0,22135500000.0,4633205.526208889,38167.0,72.14572881095607,2.792976887213594,30.537049895843666,43.347112654858115,4.525569966614333,1.2717984326951692,0.021624838805674042,4.077670865985517,[0.265 0.227 0.507 0.   ],0.6961351159100443,0.00020931108518935142,109799107.14253114,[21.979 14.425 12.713  0.   ],57.49999999982928
13,[4948. 3874. 2232.    0.],10081.0,201.60000000059856,[66.83  61.326 73.444  0.   ],16975.599878216337,11384.0,96815.0,178902.0,35226000000.0,9043726.422413364,70332.0,84.19601169633322,5.40382898521992,54.487451641702215,64.92202380017119,7.115802255144228,1.984723737724432,0.01656581688324571,5.9717289951393715,[0.331 0.304 0.364 0.   ],0.7264576770128596,0.0002567344127182582,174732142.85662407,[24.544 19.216 11.071  0.   ],56.468253968086316
14,[5595. 4209. 2328.    0.],10081.0,201.60000000059856,[72.249 65.884 63.467  0.   ],17902.722011113852,6840.0,85988.0,162900.0,25479000000.0,3345249.878466814,67600.0,88.79437561309354,6.3326257315747005,62.44856661045531,55.05073743496945,4.666787285480041,1.3236782065271302,0.025195913103858745,3.854776311873822,[0.358 0.327 0.315 0.   ],0.7861562078429548,0.00013129439453929957,126383928.57105334,[27.753 20.878 11.548  0.   ],33.9285714284707
15,[4364. 4371. 1521.    0.],10081.0,201.60000000059856,[56.497 81.634 63.469  0.   ],15427.324963126806,5112.0,35944.0,127862.0,13608000000.0,476372.1865055969,24998.0,76.51683842438503,2.172800317428901,26.665608570578314,32.16424698162565,2.7781168470956636,0.8085507390139867,0.022517607380220215,2.144826902093046,[0.28  0.405 0.315 0.   ],0.695470732250167,3.500677443456767e-05,67499999.9997996,[21.647 21.682  7.545  0.   ],25.357142857067572
16,[4247. 2946. 2340.    0.],10081.0,201.60000000059856,[52.736 49.747 99.117  0.   ],14466.62150175576,10620.0,49979.0,179690.0,22498500000.0,997526.7900479371,33911.0,71.75191698122887,2.971689316536024,33.4387461561353,42.399142135864004,4.064969494633284,1.1641702212082135,0.018053764507489335,3.830969149885924,[0.262 0.247 0.492 0.   ],0.6785049720882771,4.433747983411948e-05,111599702.38062105,[21.066 14.613 11.607  0.   ],52.678571428415026
17,[5469. 3905. 2498.    0.],10081.0,201.60000000059856,[73.528 58.391 69.681  0.   ],17864.2242506404,8192.0,118213.0,175514.0,37176000000.0,5726398.392431934,90768.0,88.60343344231102,6.490070429521356,61.459775815891284,71.03344947092015,7.550804963573381,2.138875111596072,0.015970637833548258,6.757464537248289,[0.365 0.29  0.346 0.   ],0.7678343329413855,0.00015403481795868125,184404761.9042144,[27.128 19.37  12.391  0.   ],40.63492063479999
18,[4087. 2770. 2318.    0.],10081.0,201.60000000059856,[ 47.722  49.894 103.984   0.   ],13582.715352070296,10060.0,24652.0,156566.0,11947500000.0,1950138.4697792795,14832.0,67.367896796298,1.5912707072711831,20.382898521972027,27.444810795787152,2.5105722706321956,0.713917270112092,0.029659755976589625,2.2424362662434283,[0.237 0.247 0.516 0.   ],0.6016550381307805,0.0001632256513730303,59263392.856966905,[20.273 13.74  11.498  0.   ],49.9007936506455
19,[4725. 4276. 1669.    0.],10081.0,201.60000000059856,[61.43  73.225 66.945  0.   ],16057.990626794272,7336.0,39351.0,119549.0,16855500000.0,2892660.7125268597,26566.0,79.64483001087352,2.7429024898324057,30.197401051482988,39.19206010399019,3.516058869780577,1.0137883146513242,0.0235095724630493,2.5433984723737724,[0.305 0.363 0.332 0.   ],0.6751035551828416,0.00017161524205908219,83608630.95213272,[23.437 21.21   8.279  0.   ],36.38888888878085
20,[5083. 4093. 2377.    0.],10081.0,201.60000000059856,[66.069 61.734 73.797  0.   ],17627.966730620097,480.0,132461.0,172537.0,23857500000.0,2385222.5341928634,111659.0,87.4316373902297,5.972820156730965,63.937307806765205,59.33741698555136,4.864115364616478,1.4176172998710446,0.025890288661839102,3.9150877889098306,[0.328 0.306 0.366 0.   ],0.8429575497693661,9.997789098576395e-05,118340773.80917245,[25.213 20.303 11.791  0.   ],2.380952380945312
21,[5549. 3357. 3075.    0.],10081.0,201.60000000059856,[68.178 53.894 79.528  0.   ],17523.46789899771,6128.0,104429.0,173793.0,25879500000.0,3654486.1880279747,81738.0,86.91334142940227,6.695446880270392,63.34371590120028,64.15544186937916,5.922928901644977,1.6902093046324769,0.021128856264259498,4.412459081440334,[0.338 0.267 0.394 0.   ],0.7827136140344157,0.00014121162263675785,128370535.71390457,[27.525 16.652 15.253  0.   ],30.39682539673515
22,[4652. 2525. 3040.    0.],10081.0,201.60000000059856,[ 54.832  41.216 105.552   0.   ],14988.304993807667,13892.0,87754.0,166000.0,27349500000.0,4070830.845285605,65345.0,74.339376023248,3.7644678107329907,38.81559369110207,57.02687555801811,6.286991033882747,1.7382204146414046,0.022815196905068943,4.911715107628211,[0.272 0.204 0.524 0.   ],0.7446384210406364,0.00014884479954973968,135662202.3805496,[23.075 12.525 15.079  0.   ],68.90873015852557
23,[5140. 4224. 2222.    0.],10081.0,201.60000000059856,[68.379 65.426 67.795  0.   ],17996.003654978744,352.0,114216.0,176507.0,25693500000.0,5163505.523935092,90957.0,89.25703628100659,6.084078960421105,63.97063783354826,61.432871887200996,5.738940787667535,1.6333697053863705,0.024005555004463844,4.466322785437953,[0.339 0.325 0.336 0.   ],0.7963595293128809,0.00020096543966120192,127447916.66628827,[25.496 20.952 11.022  0.   ],1.746031746026562
24,[5147. 4301. 2220.    0.],10081.0,201.60000000059856,[68.011 64.973 68.616  0.   ],17941.39988399899,296.0,124766.0,169338.0,24010500000.0,6137957.138550042,103522.0,88.98621110999267,6.002737823629101,63.96349568495189,59.77333728343284,5.192183951595883,1.480011903580994,0.023807161987898028,3.9401845055054063,[0.337 0.322 0.34  0.   ],0.8297292531619191,0.00025563637319297983,119099702.38059877,[25.531 21.334 11.012  0.   ],1.468253968249609
