id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,disconnects,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[4543. 3370. 2680.    0.],10081.0,201.60000000059856,[54.651 46.98  99.969  0.   ],15557.825998321006,16892.0,17071500000.0,2344293.6981594954,84017.0,169805.0,67415.0,77.16410077532298,5.200595179049879,60.6610455311973,49.567379675946135,3.837316857952161,1.096419006050987,0.031246900109116158,2.8759051681380816,[0.271 0.233 0.496 0.   ],0.8023971339133746,0.00013732206883750668,84680059.52355811,[22.535 16.716 13.294  0.   ],83.78968253943377
1,[5143. 2339. 3805.    0.],10081.0,201.60000000059856,[ 56.93   34.174 110.496   0.   ],15289.326787755175,19624.0,31201500000.0,3187392.1162677323,65553.0,177109.0,39581.0,75.83239156708144,5.01053466917967,48.40154746552921,68.8359140254404,7.469776447762079,2.0677512151572266,0.02172403531395695,5.164170221208214,[0.282 0.17  0.548 0.   ],0.6038015041264321,0.0001021550924240095,154769345.23763573,[25.511 11.602 18.874  0.   ],97.34126984098083
2,[5053. 4328. 1792.    0.],10081.0,201.60000000059856,[67.971 73.336 60.293  0.   ],17681.360504709424,2616.0,26077500000.0,2828556.7166550495,71147.0,173687.0,51980.0,87.69646118791321,5.679515921039978,63.51750818371193,52.991042459452956,4.307023459012706,1.2641603015573852,0.024501537545878384,4.099394901299474,[0.337 0.364 0.299 0.   ],0.7306000252997316,0.0001084673268777701,129352678.57104452,[25.064 21.468  8.889  0.   ],12.976190476151949
3,[5762. 3310. 3408.    0.],10081.0,201.60000000059856,[70.478 50.326 80.796  0.   ],17714.829913650898,6176.0,35698500000.0,3421870.1638268796,80147.0,176883.0,53822.0,87.86246361298139,7.055490526734096,62.99851205237576,73.59544347471078,7.434019730797077,2.091260787620276,0.015573851800416625,5.5705783156432895,[0.35  0.25  0.401 0.   ],0.6715410433328758,9.585473237886409e-05,177075892.85661712,[28.581 16.419 16.905  0.   ],30.63492063482968
4,[4356. 3762. 2473.    0.],10081.0,201.60000000059856,[52.705 51.686 97.209  0.   ],15199.459139390407,18684.0,16978500000.0,569700.8948482056,61656.0,161093.0,47326.0,75.38666372081113,4.717865291141833,58.73385576827695,44.749980597057544,3.277636090834769,0.9393909334391429,0.03114770360083325,2.5324868564626524,[0.261 0.256 0.482 0.   ],0.7675814194887765,3.355425360592547e-05,84218749.99974996,[21.607 18.661 12.267  0.   ],92.67857142829627
5,[4304. 4347. 1438.    0.],10081.0,201.60000000059856,[54.826 85.876 60.898  0.   ],15018.66631131693,4872.0,10176000000.0,933266.2752632562,28909.0,130043.0,20194.0,74.48996285742949,1.6561849022914708,22.628707469497073,26.337045229547524,2.1055731440581313,0.6109512945144331,0.02479912707072711,1.7332605892272592,[0.272 0.426 0.302 0.   ],0.6985367878515342,9.171248774206526e-05,50476190.47604061,[21.349 21.562  7.133  0.   ],24.166666666594914
6,[4659. 3429. 2420.    0.],10081.0,201.60000000059856,[60.796 56.883 83.921  0.   ],16196.680534251362,10960.0,34086000000.0,6776855.677245574,104090.0,187022.0,78979.0,80.3327077385692,4.862454121615034,50.652911417518105,62.37506732879455,6.564186538535626,1.845055054062097,0.01606983434183117,6.04126574744569,[0.302 0.282 0.416 0.   ],0.7587568450379479,0.00019881639609357432,169077380.95187896,[23.11  17.009 12.004  0.   ],54.36507936491795
7,[5367. 3629. 2694.    0.],10081.0,201.60000000059856,[69.155 58.295 74.15   0.   ],17106.32271839709,10708.0,35623500000.0,5906466.538961169,92415.0,178800.0,68336.0,84.84437416127132,5.936633270509079,57.55698839400853,63.89845545010388,6.3625969937858295,1.8154944945937903,0.01854974704890388,6.035313956948715,[0.343 0.289 0.368 0.   ],0.7394470594600444,0.00016580253313012953,176703869.0470944,[26.622 18.001 13.363  0.   ],53.11507936492166
8,[4194. 2588. 2751.    0.],10081.0,201.60000000059856,[ 49.902  39.907 111.791   0.   ],14281.890456567618,12176.0,24297000000.0,3727141.1044036434,52326.0,169155.0,34531.0,70.8356832485233,2.9083622656482517,32.15157226465628,44.95323188844177,4.7632238071519435,1.3344906259299674,0.02549350262870747,4.151969050689416,[0.248 0.198 0.555 0.   ],0.6599204984137904,0.0001533992305388996,120520833.3329755,[20.804 12.837 13.646  0.   ],60.39682539664608
9,[4711. 4679. 1477.    0.],10081.0,201.60000000059856,[61.069 79.997 60.534  0.   ],16000.542763639865,5544.0,14835000000.0,1343221.4945801413,31008.0,117458.0,20504.0,79.35989863920979,2.3548457494296855,27.551234996528123,33.79149212681289,2.777647207445501,0.8058724332903482,0.021823231822239858,2.1712131732963,[0.303 0.397 0.3   0.   ],0.6612487100103199,9.054408456893437e-05,73586309.52359104,[23.368 23.209  7.326  0.   ],27.49999999991835
