id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,ant_switches,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[617. 618.   0.   0.],10081.0,201.60000000059856,[  8.698 192.902   0.      0.   ],13061.22836331794,47837.0,7070.0,6615.0,1359000000.0,0.0,48.0,64.78141237632315,0.09046721555401292,19.029461362960024,1.589035717822648,0.08980158695515518,0.030155738518004165,9.919650828290844e-05,0.14938994147406012,[0.043 0.957 0.    0.   ],0.9356435643564357,0.0,6741071.428551414,[3.061 3.065 0.    0.   ],0.23809523809453118
1,[1099. 1100.    0.    0.],10081.0,201.60000000059856,[ 19.459 182.141   0.      0.   ],13507.403565270213,40560.0,12632.0,11789.0,2668500000.0,0.0,56.0,66.9943634821272,0.239976192838012,18.18311675429025,4.201073147034518,0.26999299012020633,0.09116159111199286,0.001091161591111993,0.3205039182620772,[0.097 0.903 0.    0.   ],0.9332647245091831,0.0,13236607.142817844,[5.451 5.456 0.    0.   ],0.27777777777695306
2,[819. 820.   0.   0.],10081.0,201.60000000059856,[ 13.656 187.944   0.      0.   ],13486.832317297249,44985.0,9582.0,8954.0,1891500000.0,0.0,48.0,66.89233368363045,0.1537942664418226,17.909731177462554,2.6612181535283623,0.16568063061030514,0.052474952881658564,9.919650828290844e-05,0.21555401249876005,[0.068 0.932 0.    0.   ],0.9344604466708412,0.0,9382440.47616262,[4.062 4.067 0.    0.   ],0.23809523809453118
3,[1049. 1050.    0.    0.],10081.0,201.60000000059856,[ 18.194 183.406   0.      0.   ],13298.412937465528,41415.0,12610.0,11797.0,2692500000.0,0.0,48.0,65.95780645502415,0.21823231822239975,18.05693879575439,4.004416508834391,0.2712862260365252,0.08610256918956452,0.001091161591111993,0.3208015077869259,[0.09 0.91 0.   0.  ],0.9355273592386995,0.0,13355654.76186511,[5.203 5.208 0.    0.   ],0.23809523809453118
4,[782. 783.   0.   0.],10081.0,201.60000000059856,[ 11.943 189.657   0.      0.   ],13053.485046970358,45600.0,9088.0,8537.0,1908000000.0,0.0,48.0,64.74300687911241,0.14054161293522582,18.34619581390735,2.4452766772386805,0.13352888465115187,0.04662235889296697,0.0002975895248487253,0.2173395496478524,[0.059 0.941 0.    0.   ],0.9393705985915493,0.0,9464285.714257615,[3.879 3.884 0.    0.   ],0.23809523809453118
5,[1101. 1102.    0.    0.],10081.0,201.60000000059856,[ 19.87 181.73   0.     0.  ],13430.159250180845,39725.0,13034.0,12141.0,2737500000.0,1528.5036438084353,48.0,66.61124516504913,0.24886419998016013,18.252157524055153,4.659000000985805,0.33710063621211395,0.10276758258109314,0.0014879476242436267,0.33449062592996726,[0.099 0.901 0.    0.   ],0.9314868804664723,5.583574954551362e-07,13578869.047578732,[5.461 5.466 0.    0.   ],0.23809523809453118
6,[644. 645.   0.   0.],10081.0,201.60000000059856,[  9.381 192.219   0.      0.   ],13167.287686745463,47653.0,7959.0,7484.0,1410000000.0,0.0,48.0,65.30744810406526,0.09157821644678152,18.959230235095724,1.5414554792783557,0.07270749019310575,0.028469397877194724,0.0004959825414145422,0.15464735641305427,[0.047 0.953 0.    0.   ],0.9403191355697952,0.0,6994047.619026854,[3.194 3.199 0.    0.   ],0.23809523809453118
7,[852. 853.   0.   0.],10081.0,201.60000000059856,[ 12.362 189.238   0.      0.   ],13253.126304894091,44960.0,9815.0,9245.0,1965000000.0,0.0,56.0,65.7331926638741,0.14212875706775238,18.524749528816585,2.428285268624264,0.14938163045468533,0.04781271699236187,0.000892768574546176,0.22448169824422182,[0.061 0.939 0.    0.   ],0.9419256240448294,0.0,9747023.80949487,[4.226 4.231 0.    0.   ],0.27777777777695306
8,[1063. 1064.    0.    0.],10081.0,201.60000000059856,[ 17.035 184.565   0.      0.   ],13438.2932185439,41813.0,12209.0,11455.0,2748000000.0,0.0,48.0,66.65158822805314,0.21823231822239975,18.14462850907648,3.9004137844456905,0.27210570336309675,0.08421783553218927,0.0006943755579803591,0.32586052970935425,[0.084 0.916 0.    0.   ],0.9382422802850356,0.0,13630952.38091191,[5.273 5.278 0.    0.   ],0.23809523809453118
9,[1018. 1019.    0.    0.],10081.0,201.60000000059856,[ 17.183 184.417   0.      0.   ],13560.834767071556,42136.0,11868.0,11137.0,2691000000.0,0.0,64.0,67.25937291472874,0.21124888403928338,17.987898025989484,3.638800095718288,0.26496399605414983,0.07975399265945839,0.0009919650828290843,0.31683364745560955,[0.085 0.915 0.    0.   ],0.9384057971014492,0.0,13348214.285674654,[5.05  5.055 0.    0.   ],0.3174603174593749
10,[1047. 1048.    0.    0.],10081.0,201.60000000059856,[ 15.753 185.847   0.      0.   ],13199.356327280868,42276.0,12310.0,11635.0,2758500000.0,0.0,48.0,65.46650296239082,0.19283801210197588,18.169626029163773,3.3050477429252036,0.21028814650724012,0.07112389643884535,0.0005951790496974506,0.329332407499256,[0.078 0.922 0.    0.   ],0.9451665312753859,0.0,13683035.714245088,[5.193 5.198 0.    0.   ],0.23809523809453118
11,[1050. 1051.    0.    0.],10081.0,201.60000000059856,[ 18.412 183.188   0.      0.   ],13417.581469317975,41286.0,12573.0,11794.0,2805000000.0,1528.5036438084353,64.0,66.54886156787146,0.22934232715008482,18.257712528518997,3.959012171852459,0.307218510255815,0.08957444697946633,0.000892768574546176,0.33647455609562543,[0.091 0.909 0.    0.   ],0.938041835679631,5.44921085136697e-07,13913690.476149166,[5.208 5.213 0.    0.   ],0.3174603174593749
12,[1038. 1039.    0.    0.],10081.0,201.60000000059856,[ 15.671 185.929   0.      0.   ],13320.32273732327,42576.0,12173.0,11470.0,2674500000.0,33606.27011539702,48.0,66.06647523717606,0.19625037198690798,17.885130443408393,3.5674026032902133,0.2447771781744924,0.07657970439440531,0.001091161591111993,0.32119829382005755,[0.078 0.922 0.    0.   ],0.9422492401215805,1.2565440312356336e-05,13266369.04757966,[5.149 5.154 0.    0.   ],0.23809523809453118
13,[799. 800.   0.   0.],10081.0,201.60000000059856,[ 12.55 189.05   0.     0.  ],13367.096508629525,45139.0,9802.0,9244.0,1900500000.0,0.0,56.0,66.29846497681673,0.1447475448864212,18.45531197301855,2.5001389836895975,0.1680710537681208,0.05207816684852693,0.0004959825414145422,0.2196210693383593,[0.062 0.938 0.    0.   ],0.9430728422770863,0.0,9427083.333305344,[3.963 3.968 0.    0.   ],0.27777777777695306
14,[798. 799.   0.   0.],10081.0,201.60000000059856,[ 12.005 189.595   0.      0.   ],13465.202733916183,45411.0,9635.0,9078.0,1936500000.0,0.0,48.0,66.78505472627991,0.1382402539430623,18.26842575141355,2.3763530315440318,0.13309419446918624,0.047614323975796055,0.00039678603313163377,0.21991865886320802,[0.06 0.94 0.   0.  ],0.9421899325376233,0.0,9605654.761876242,[3.958 3.963 0.    0.   ],0.23809523809453118
15,[1009. 1010.    0.    0.],10081.0,201.60000000059856,[ 15.538 186.062   0.      0.   ],13335.221732510456,42693.0,11502.0,10828.0,2608500000.0,0.0,48.0,66.14037165215129,0.19339351254836018,17.679992064279336,3.423006174249571,0.22260668290127936,0.06923916278147009,0.0006943755579803591,0.31177462553318125,[0.077 0.923 0.    0.   ],0.9414014953921057,0.0,12938988.09519968,[5.005 5.01  0.    0.   ],0.23809523809453118
16,[993. 994.   0.   0.],10081.0,201.60000000059856,[ 15.824 185.776   0.      0.   ],13308.361992572245,42439.0,11506.0,10848.0,2643000000.0,0.0,48.0,66.00715203138815,0.20299573455014586,17.291141751810336,3.468895515776736,0.23034614845833815,0.07558773931157624,0.0005951790496974506,0.3177264160301557,[0.078 0.922 0.    0.   ],0.9428124456805145,0.0,13110119.047580123,[4.926 4.931 0.    0.   ],0.23809523809453118
17,[1036. 1037.    0.    0.],10081.0,201.60000000059856,[ 17.476 184.124   0.      0.   ],13506.589695951685,41384.0,12223.0,11448.0,2721000000.0,239603.6716704899,72.0,66.99032683239749,0.22362860827298967,17.662533478821544,3.972090224503392,0.2675098791946931,0.08332506695764309,0.000892768574546176,0.32486856462652514,[0.087 0.913 0.    0.   ],0.9365949439581117,8.805721119826897e-05,13497023.809483737,[5.139 5.144 0.    0.   ],0.3571428571417968
18,[982. 983.   0.   0.],10081.0,201.60000000059856,[ 16.216 185.384   0.      0.   ],13202.687123090254,42944.0,11524.0,10831.0,2581500000.0,42850.46730785803,48.0,65.48302312809513,0.19950401745858742,17.79228251165559,3.5398759166468894,0.252726390760118,0.07747247296895149,0.0004959825414145422,0.30959230235095725,[0.08 0.92 0.   0.  ],0.9398646303366887,1.659905764395043e-05,12805059.523771506,[4.871 4.876 0.    0.   ],0.23809523809453118
19,[1014. 1015.    0.    0.],10081.0,201.60000000059856,[ 15.038 186.562   0.      0.   ],13318.443014087183,42489.0,12179.0,11529.0,2614500000.0,74928.23377944661,64.0,66.05715213809819,0.18395000495982716,18.08828489237179,3.120954947007447,0.2177862848515477,0.06854478722348974,0.0013887511159607182,0.3139569487154052,[0.075 0.925 0.    0.   ],0.9466294441251334,2.865872395465543e-05,12968749.999961495,[5.03  5.035 0.    0.   ],0.3174603174593749
20,[802. 803.   0.   0.],10081.0,201.60000000059856,[ 12.433 189.167   0.      0.   ],13265.159335547612,44914.0,9282.0,8753.0,1860000000.0,32077.766471588584,56.0,65.79287439511903,0.14927090566412188,18.284297192738816,2.5049717219680523,0.16923431266413616,0.05237575637337566,0.00039678603313163377,0.21525642297391132,[0.062 0.938 0.    0.   ],0.9430079724197371,1.7246111006230423e-05,9226190.476163084,[3.978 3.983 0.    0.   ],0.27777777777695306
21,[772. 773.   0.   0.],10081.0,201.60000000059856,[ 11.545 190.055   0.      0.   ],13265.439073565978,45766.0,8932.0,8409.0,1840500000.0,0.0,48.0,65.79426184685033,0.1322091062394614,18.24938002182323,2.3274076904504395,0.1296605277597571,0.04652316238468406,0.00019839301656581688,0.21109016962602917,[0.057 0.943 0.    0.   ],0.9414464845499328,0.0,9129464.28568718,[3.829 3.834 0.    0.   ],0.23809523809453118
22,[1024. 1025.    0.    0.],10081.0,201.60000000059856,[ 16.261 185.339   0.      0.   ],13390.779144749158,42063.0,11770.0,11071.0,2625000000.0,0.0,48.0,66.4159267173165,0.2074397381212199,17.880369011010814,3.672072116549406,0.21710049309081977,0.07578613232814205,0.0005951790496974506,0.31683364745560955,[0.081 0.919 0.    0.   ],0.9406117247238742,0.0,13020833.333294675,[5.079 5.084 0.    0.   ],0.23809523809453118
23,[985. 986.   0.   0.],10081.0,201.60000000059856,[ 16.682 184.918   0.      0.   ],13528.102567640482,42173.0,11421.0,10707.0,2638500000.0,239603.6716704899,48.0,67.09702692013076,0.2106140263862728,17.555401249876006,3.705279801083295,0.27082368100850845,0.07965479615117547,0.000892768574546176,0.31623846840591213,[0.083 0.917 0.    0.   ],0.9374835828736537,9.081056345290501e-05,13087797.61900876,[4.886 4.891 0.    0.   ],0.23809523809453118
24,[1027. 1028.    0.    0.],10081.0,201.60000000059856,[ 16.442 185.158   0.      0.   ],13362.294968284474,42121.0,12305.0,11572.0,2761500000.0,0.0,56.0,66.27465017498639,0.2062493800218251,17.868862216049994,3.670647102454139,0.24670593366585167,0.07836524154349767,0.0007935720662632675,0.3318123202063287,[0.082 0.918 0.    0.   ],0.9404307192198293,0.0,13697916.666625997,[5.094 5.099 0.    0.   ],0.27777777777695306
25,[1067. 1068.    0.    0.],10081.0,201.60000000059856,[ 16.132 185.468   0.      0.   ],13232.043705258358,42150.0,12569.0,11900.0,2716500000.0,0.0,56.0,65.62862665040443,0.19672651522666595,17.844658268028965,3.399443828351712,0.22813332722742138,0.0716198789802599,0.0004959825414145422,0.3268524947921833,[0.08 0.92 0.   0.  ],0.9467738085766568,0.0,13474702.380912375,[5.293 5.298 0.    0.   ],0.27777777777695306
26,[1037. 1038.    0.    0.],10081.0,201.60000000059856,[ 16.35 185.25   0.     0.  ],13686.216779045617,41942.0,12674.0,11953.0,2650500000.0,0.0,56.0,67.8812458041955,0.20307509175677219,18.13708957444698,3.5355179751994283,0.2340936356130472,0.07548854280329333,0.0007935720662632675,0.32139668683662337,[0.081 0.919 0.    0.   ],0.9431118825942875,0.0,13147321.428532394,[5.144 5.149 0.    0.   ],0.27777777777695306
27,[800. 801.   0.   0.],10081.0,201.60000000059856,[ 12.033 189.567   0.      0.   ],13142.95677154043,45243.0,9439.0,8877.0,1842000000.0,0.0,56.0,65.18677101248296,0.13228846344608772,18.6227556790001,2.3598007621392276,0.1375485051262373,0.047515127467513144,0.00039678603313163377,0.20523757563733758,[0.06 0.94 0.   0.  ],0.9404597944697531,0.0,9136904.761877634,[3.968 3.973 0.    0.   ],0.27777777777695306
