id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,cell_traffic,cell_dropped_traffic,num_requests,num_rejects,ant_switches,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[842. 843.   0.   0.],10081.0,201.60000000059856,[ 12.838 188.762   0.      0.   ],13227.774967295876,74048.0,2013000000.0,0.0,10267.0,9576.0,56.0,65.60745445537138,0.12816188870151865,18.136692788413846,2.477612199213563,0.11754900872557035,0.044340839202460076,0.00019839301656581688,0.22358892966967564,[0.064 0.936 0.    0.   ],0.9326969903574559,0.0,9985119.0475894,[4.177 4.182 0.    0.   ],0.27777777777695306
1,[1370. 1371.    0.    0.],10081.0,201.60000000059856,[ 29.578 172.022   0.      0.   ],13978.660731502969,58752.0,4051500000.0,0.0,16627.0,15257.0,48.0,69.33171675180499,0.3864695962702029,17.70419601230037,7.60147743564085,0.5443293954303077,0.17805773236782066,0.001785537149092352,0.5087788909830374,[0.147 0.853 0.    0.   ],0.9176038972755157,0.0,20096726.190416522,[6.796 6.801 0.    0.   ],0.23809523809453118
2,[1044. 1045.    0.    0.],10081.0,201.60000000059856,[ 19.268 182.332   0.      0.   ],13541.937881317208,68537.0,2871000000.0,219208.0514432584,12699.0,11824.0,80.0,67.16564766051629,0.23077075686935858,17.075290149786728,4.024360449666349,0.24573522215769103,0.08659855173097906,0.0005951790496974506,0.34996528122210097,[0.096 0.904 0.    0.   ],0.9310969367666745,7.635250833969292e-05,14241071.428529147,[5.179 5.184 0.    0.   ],0.39682539682421863
3,[1438. 1439.    0.    0.],10081.0,201.60000000059856,[ 27.875 173.725   0.      0.   ],13912.250921635909,59732.0,4075500000.0,488028.09283599677,17771.0,16523.0,72.0,69.00233568907788,0.3577422874714744,17.103065172105943,6.673201401458151,0.4782690600601309,0.15087788909830374,0.0020831266739410772,0.5152266640214265,[0.138 0.862 0.    0.   ],0.9297732260424286,0.00011974680231529794,20215773.809463788,[7.133 7.138 0.    0.   ],0.3571428571417968
4,[1072. 1073.    0.    0.],10081.0,201.60000000059856,[ 19.961 181.639   0.      0.   ],13473.508024750965,68546.0,2947500000.0,0.0,13357.0,12400.0,64.0,66.82624751883276,0.22846939787719533,17.472869754984625,4.1691044009890765,0.25344249074586983,0.08798730284693979,0.0009919650828290843,0.35680984029362167,[0.099 0.901 0.    0.   ],0.928352174889571,0.0,14620535.714242306,[5.317 5.322 0.    0.   ],0.3174603174593749
5,[1459. 1460.    0.    0.],10081.0,201.60000000059856,[ 29.515 172.085   0.      0.   ],13975.266315934401,58828.0,4170000000.0,74231.82189819643,18106.0,16729.0,64.0,69.31488104320188,0.3834540224184026,17.331217141156632,7.3424413690245,0.5219021431722631,0.16734450947326654,0.0018847336573752603,0.5176073802202162,[0.146 0.854 0.    0.   ],0.9239478625869877,1.7801396138656218e-05,20684523.8094624,[7.237 7.242 0.    0.   ],0.3174603174593749
6,[835. 836.   0.   0.],10081.0,201.60000000059856,[ 14.383 187.217   0.      0.   ],13535.189899362944,73273.0,2016000000.0,0.0,10407.0,9702.0,56.0,67.13217884812502,0.15546076778097548,18.11804384485666,2.790689792128441,0.1565635290385751,0.055252455113580005,0.0009919650828290843,0.2303342922329134,[0.071 0.929 0.    0.   ],0.9322571346209282,0.0,9999999.99997031,[4.142 4.147 0.    0.   ],0.27777777777695306
7,[1087. 1088.    0.    0.],10081.0,201.60000000059856,[ 18.112 183.488   0.      0.   ],13420.422127242544,68882.0,2868000000.0,0.0,13061.0,12188.0,48.0,66.56295073523792,0.21156631286578867,17.487154052177363,4.070510231329437,0.25713072934759323,0.08382104949905764,0.0014879476242436267,0.3312171411566313,[0.09 0.91 0.   0.  ],0.933159788683868,0.0,14226190.476148238,[5.392 5.397 0.    0.   ],0.23809523809453118
8,[1307. 1308.    0.    0.],10081.0,201.60000000059856,[ 25.338 176.262   0.      0.   ],13610.300357250879,62421.0,4042500000.0,0.0,16049.0,14943.0,88.0,67.50471360602631,0.3255232615811875,17.237178851304435,5.812291975333801,0.40549301014001843,0.13341930364051185,0.0007935720662632675,0.5094732665410178,[0.126 0.874 0.    0.   ],0.931086048975014,0.0,20052083.3332738,[6.483 6.488 0.    0.   ],0.4365079365066405
9,[1256. 1257.    0.    0.],10081.0,201.60000000059856,[ 25.154 176.446   0.      0.   ],13585.367000480337,63377.0,4005000000.0,268820.04139273835,15763.0,14673.0,48.0,67.38104850945544,0.3174288265053026,16.86935819859141,5.6424377388433395,0.4164306145525449,0.13460966173990677,0.0018847336573752603,0.5054062097014185,[0.125 0.875 0.    0.   ],0.9308507263845714,6.71211089619821e-05,19866071.428512447,[6.23  6.235 0.    0.   ],0.23809523809453118
10,[1315. 1316.    0.    0.],10081.0,201.60000000059856,[ 23.74 177.86   0.     0.  ],13782.12823412325,63353.0,4029000000.0,563235.8267219159,16639.0,15613.0,88.0,68.35694987659649,0.3034619581390699,17.375260390834242,5.298714253543785,0.37470734649199267,0.12201170518797738,0.0013887511159607182,0.5097708560658665,[0.118 0.882 0.    0.   ],0.9383376404832021,0.00013979543974234696,19985119.047559712,[6.523 6.528 0.    0.   ],0.4365079365066405
11,[1342. 1343.    0.    0.],10081.0,201.60000000059856,[ 26.55 175.05   0.     0.  ],13670.404714426297,61868.0,4270500000.0,378837.211203609,17228.0,16078.0,64.0,67.80282072424522,0.3445689911715047,17.295903184207916,6.331403877005651,0.4982224862707375,0.15186985418113283,0.001785537149092352,0.5385378434679099,[0.132 0.868 0.    0.   ],0.9332482006036684,8.871027074197612e-05,21183035.714222822,[6.657 6.662 0.    0.   ],0.3174603174593749
12,[1368. 1369.    0.    0.],10081.0,201.60000000059856,[ 27.443 174.157   0.      0.   ],13994.621850614938,60588.0,4156500000.0,553856.2563773552,17092.0,15866.0,72.0,69.41088111601536,0.35996428925701124,17.133617696657076,6.539077145792113,0.4895954801248236,0.15246503323083027,0.0014879476242436267,0.5128459478226366,[0.136 0.864 0.    0.   ],0.9282705359232389,0.0001332506330752689,20617559.52374831,[6.786 6.791 0.    0.   ],0.3571428571417968
13,[1116. 1117.    0.    0.],10081.0,201.60000000059856,[ 19.28 182.32   0.     0.  ],13355.938401790454,67822.0,2983500000.0,0.0,13808.0,12922.0,64.0,66.24312271494219,0.22878682670370062,17.548655887312766,4.0585108245997725,0.26751640067547616,0.08520980061501836,0.0009919650828290843,0.3489733161392719,[0.096 0.904 0.    0.   ],0.9358342989571263,0.0,14799107.142813204,[5.536 5.541 0.    0.   ],0.3174603174593749
14,[1083. 1084.    0.    0.],10081.0,201.60000000059856,[ 18.61 182.99   0.     0.  ],13523.916214619021,68794.0,2838000000.0,0.0,12848.0,11969.0,48.0,67.07626334002165,0.2226763217934738,17.686340640809444,4.1776646245455105,0.2480111883518247,0.08540819363158417,0.0005951790496974506,0.33171312369804584,[0.092 0.908 0.    0.   ],0.9315846824408468,0.0,14077380.952339156,[5.372 5.377 0.    0.   ],0.23809523809453118
15,[1299. 1300.    0.    0.],10081.0,201.60000000059856,[ 24.553 177.047   0.      0.   ],13624.723099471963,63235.0,3973500000.0,518315.07665373205,15238.0,14180.0,64.0,67.57624788943622,0.3144926098601286,16.950302549350262,5.529535043085121,0.41185162569790823,0.1305426049003075,0.0011903580993949012,0.5050094236682868,[0.122 0.878 0.    0.   ],0.9305683160519753,0.00013044295373190688,19709821.42851291,[6.443 6.448 0.    0.   ],0.3174603174593749
16,[1288. 1289.    0.    0.],10081.0,201.60000000059856,[ 26.445 175.155   0.      0.   ],13699.011691547286,61500.0,4047000000.0,668208.0354783676,15350.0,14220.0,88.0,67.94470633639146,0.3478226366431841,17.01021724035314,6.252883511385176,0.5052605659479081,0.14968753099890883,0.0014879476242436267,0.5125483582977879,[0.131 0.869 0.    0.   ],0.9263843648208469,0.00016511194353307823,20074404.76184516,[6.389 6.394 0.    0.   ],0.4365079365066405
17,[1328. 1329.    0.    0.],10081.0,201.60000000059856,[ 25.736 175.864   0.      0.   ],13618.565794376045,61994.0,4090500000.0,444308.7441538131,16188.0,15061.0,112.0,67.54570873113853,0.33226862414442476,17.137982343021527,5.973782164415282,0.5264048319991453,0.14938994147406012,0.0012895546076778098,0.5238567602420395,[0.128 0.872 0.    0.   ],0.9303805287867556,0.00010861966609309696,20290178.57136833,[6.587 6.592 0.    0.   ],0.5555555555539061
18,[1300. 1301.    0.    0.],10081.0,201.60000000059856,[ 24.716 176.884   0.      0.   ],13773.478546950173,63441.0,3976500000.0,725794.5460432954,16028.0,14967.0,64.0,68.31404893833115,0.31203253645471263,16.866580696359488,5.594203500150706,0.45064197188561933,0.13212974903283403,0.0011903580993949012,0.5053070131931356,[0.123 0.877 0.    0.   ],0.9338033441477415,0.00018252094707488882,19724702.38089382,[6.448 6.453 0.    0.   ],0.3174603174593749
19,[1332. 1333.    0.    0.],10081.0,201.60000000059856,[ 24.127 177.473   0.      0.   ],13588.061508117207,62910.0,3918000000.0,175019.04517374613,16392.0,15346.0,48.0,67.39441279691162,0.3104453923221862,17.074893363753596,5.551821383410254,0.3886252901623268,0.1266739410772741,0.001091161591111993,0.49290744965777206,[0.12 0.88 0.   0.  ],0.9361883845778428,4.4670506680384414e-05,19434523.80946611,[6.607 6.612 0.    0.   ],0.23809523809453118
20,[1064. 1065.    0.    0.],10081.0,201.60000000059856,[ 17.702 183.898   0.      0.   ],13425.50837159031,68891.0,2844000000.0,42926.76117827079,13364.0,12551.0,64.0,66.58817761921658,0.206963594881462,17.451443309195515,3.7354133880481695,0.2523954744133694,0.07935720662632675,0.0011903580993949012,0.32972919353238767,[0.088 0.912 0.    0.   ],0.9391649206824304,1.509379788265499e-05,14107142.857100973,[5.278 5.283 0.    0.   ],0.3174603174593749
21,[1052. 1052.    0.    0.],10081.0,201.60000000059856,[ 17.054 184.546   0.      0.   ],13338.51232300279,69109.0,2892000000.0,292099.1896936047,12821.0,12026.0,56.0,66.15669240650223,0.2028370201368932,17.514532288463446,3.644427625384476,0.22683747513211042,0.07598452534470787,0.0006943755579803591,0.344509473266541,[0.085 0.915 0.    0.   ],0.937992356290461,0.00010100248606279554,14345238.095195504,[5.218 5.218 0.    0.   ],0.27777777777695306
22,[1296. 1297.    0.    0.],10081.0,201.60000000059856,[ 25.808 175.792   0.      0.   ],13674.377928644108,61387.0,4069500000.0,720857.9581694251,15445.0,14282.0,72.0,67.82252717309849,0.34226763217934136,17.2919353238766,6.6044402444601005,0.5571465196090648,0.1587144132526535,0.0011903580993949012,0.5214760440432497,[0.128 0.872 0.    0.   ],0.9247005503399158,0.00017713673870731666,20186011.90470197,[6.429 6.434 0.    0.   ],0.3571428571417968
23,[1279. 1280.    0.    0.],10081.0,201.60000000059856,[ 25.235 176.365   0.      0.   ],13798.901072556606,62435.0,3988500000.0,278518.79708678403,15212.0,14137.0,80.0,68.44014022692527,0.330364051185393,17.18837416922924,5.901137020209104,0.45208885761547535,0.1434381509770856,0.0014879476242436267,0.5104652316238468,[0.125 0.875 0.    0.   ],0.9293321062319222,6.983046184951336e-05,19784226.19041745,[6.344 6.349 0.    0.   ],0.39682539682421863
24,[1308. 1309.    0.    0.],10081.0,201.60000000059856,[ 24.199 177.401   0.      0.   ],13631.133608033482,63315.0,4062000000.0,430459.43382114306,15589.0,14512.0,48.0,67.60804289271692,0.30679496081737534,17.18242237873227,5.6417960486999785,0.4001095303332881,0.12409483186191846,0.000892768574546176,0.5151274675131435,[0.12 0.88 0.   0.  ],0.930912823144525,0.00010597228799141878,20148809.5237497,[6.488 6.493 0.    0.   ],0.23809523809453118
25,[1357. 1358.    0.    0.],10081.0,201.60000000059856,[ 26.522 175.078   0.      0.   ],13687.66970931935,62315.0,4224000000.0,264982.6236138564,16333.0,15233.0,64.0,67.88845208469193,0.3415534173197045,17.315742485864497,5.890900291417615,0.45663264339748605,0.1434381509770856,0.0014879476242436267,0.5397282015673048,[0.132 0.868 0.    0.   ],0.9326516867691177,6.273262869646221e-05,20952380.952318743,[6.731 6.736 0.    0.   ],0.3174603174593749
26,[1346. 1347.    0.    0.],10081.0,201.60000000059856,[ 25.462 176.138   0.      0.   ],13574.931188737508,61902.0,4065000000.0,123339.30455766252,15941.0,14814.0,64.0,67.32928870515617,0.3275865489534718,17.550639817478423,6.167198883324756,0.467558391093812,0.14482690209304633,0.0011903580993949012,0.5152266640214265,[0.126 0.874 0.    0.   ],0.9293018003889342,3.0341772338908367e-05,20163690.47613061,[6.677 6.682 0.    0.   ],0.3174603174593749
