id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,ant_switches,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[827. 828.   0.   0.],10081.0,201.60000000059856,[ 12.832 188.768   0.      0.   ],13151.016675487459,74235.0,10194.0,9508.0,1977000000.0,10212.890594461154,48.0,65.22674672891326,0.12903481797440827,17.907747247296896,2.4251573786837977,0.1337106860503071,0.045927983334986607,0.00019839301656581688,0.21952187283007638,[0.064 0.936 0.    0.   ],0.9327055130468903,5.165852602155363e-06,9806547.619018503,[4.102 4.107 0.    0.   ],0.23809523809453118
1,[1433. 1434.    0.    0.],10081.0,201.60000000059856,[ 28.916 172.684   0.      0.   ],13743.864754165143,59630.0,17281.0,15964.0,4057500000.0,154905.84143666073,64.0,68.16716969626638,0.3659954369606118,17.2217041960123,7.089459906602829,0.5500517391271124,0.1656581688324571,0.0018847336573752603,0.5077869259002084,[0.143 0.857 0.    0.   ],0.9237891325733465,3.817765654631195e-05,20126488.09517834,[7.108 7.113 0.    0.   ],0.3174603174593749
2,[1074. 1075.    0.    0.],10081.0,201.60000000059856,[ 19.944 181.656   0.      0.   ],13370.992492167985,67564.0,13189.0,12255.0,2860500000.0,189378.18858694183,48.0,66.31778837498292,0.22680289653804256,17.60976093641504,4.167800264006979,0.24414541519881974,0.08768971332209106,0.0006943755579803591,0.3417319710346196,[0.099 0.901 0.    0.   ],0.9291834104177724,6.62045756290655e-05,14188988.095195968,[5.327 5.332 0.    0.   ],0.23809523809453118
3,[1390. 1391.    0.    0.],10081.0,201.60000000059856,[ 27.781 173.819   0.      0.   ],13799.258022974202,59989.0,16824.0,15552.0,4015500000.0,52614.41838384094,64.0,68.44191063867851,0.3586152167443638,17.351453228846346,6.80207707038995,0.5028594985592977,0.15554012498760045,0.002182323182223986,0.5009423668286876,[0.138 0.862 0.    0.   ],0.9243937232524965,1.3102831125349505e-05,19918154.761845626,[6.895 6.9   0.    0.   ],0.3174603174593749
4,[1066. 1067.    0.    0.],10081.0,201.60000000059856,[ 18.451 183.149   0.      0.   ],13418.228997059847,69325.0,12693.0,11803.0,2869500000.0,221166.52157573338,48.0,66.55207319242078,0.21370895744469937,17.606586648149985,3.919891412826338,0.23019257267540297,0.08015077869259002,0.0006943755579803591,0.33786330721158614,[0.092 0.908 0.    0.   ],0.9298826124635626,7.707493346427369e-05,14233630.952338692,[5.288 5.293 0.    0.   ],0.23809523809453118
5,[1419. 1420.    0.    0.],10081.0,201.60000000059856,[ 29.78 171.82   0.     0.  ],13872.446320615976,58561.0,17052.0,15710.0,4146000000.0,516593.42893662193,56.0,68.80491181733977,0.3849618093443028,17.60738022021625,7.436460566568875,0.5615814414824855,0.17488344410276757,0.0012895546076778098,0.525543100882849,[0.148 0.852 0.    0.   ],0.9212995543044804,0.00012460044113280798,20565476.190415133,[7.039 7.044 0.    0.   ],0.27777777777695306
6,[858. 859.   0.   0.],10081.0,201.60000000059856,[ 14.444 187.156   0.      0.   ],13374.840792274521,72889.0,10325.0,9587.0,2076000000.0,172957.78051677588,48.0,66.33687527165279,0.15347683761531725,17.939490129947426,2.765868857292914,0.1568365480404528,0.05426049003075092,0.0004959825414145422,0.23301259795655194,[0.072 0.928 0.    0.   ],0.9285230024213075,8.33129963953641e-05,10297619.047588473,[4.256 4.261 0.    0.   ],0.23809523809453118
7,[1116. 1117.    0.    0.],10081.0,201.60000000059856,[ 18.718 182.882   0.      0.   ],13415.915297687126,68199.0,13649.0,12759.0,2940000000.0,0.0,48.0,66.54059764747187,0.21791488939589446,17.470092252752703,4.0471007793365175,0.25414137341675413,0.08322587044936018,0.0002975895248487253,0.34331911516714614,[0.093 0.907 0.    0.   ],0.9347937577844531,0.0,14583333.333290035,[5.536 5.541 0.    0.   ],0.23809523809453118
8,[1365. 1366.    0.    0.],10081.0,201.60000000059856,[ 25.384 176.216   0.      0.   ],13674.249235149582,61304.0,16552.0,15394.0,4231500000.0,746951.6611605373,80.0,67.82188887583378,0.3283007638131086,17.18837416922924,6.169723737120157,0.45744245345603035,0.1433389544688027,0.001785537149092352,0.5317924809046721,[0.126 0.874 0.    0.   ],0.930038666022233,0.00017652172070436897,20989583.333271015,[6.771 6.776 0.    0.   ],0.39682539682421863
9,[1329. 1330.    0.    0.],10081.0,201.60000000059856,[ 26.96 174.64   0.     0.  ],13822.65754016201,61654.0,16076.0,14913.0,4164000000.0,92433.43438472191,64.0,68.5579681587043,0.34599742089077856,17.101478027973414,6.356677241038317,0.4435653556276508,0.1445293125681976,0.0012895546076778098,0.5195913103858745,[0.134 0.866 0.    0.   ],0.9276561333665091,2.219823112025022e-05,20654761.90470058,[6.592 6.597 0.    0.   ],0.3174603174593749
