id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,num_requests,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
0,[4806. 4807.    0.    0.],20161.0,403.19999999737746,[178.247 224.953   0.      0.   ],39113.243170534326,192507.0,18907.0,49576500000.0,280665.2747446236,97.00223989517771,5.689241605079972,64.0,53.53138010342008,3.097187946620049,0.8930608600763851,0.013292991419076436,2.131987500620009,[0.442 0.558 0.    0.   ],0.0,0.0,5.66125633605889e-06,122957589.28651404,[11.92  11.922  0.     0.   ],0.0,0.0
1,[4752. 4753.    0.    0.],20161.0,403.19999999737746,[231.131 172.069   0.      0.   ],43377.71574545627,109822.0,24583.0,102501000000.0,1149909.72563425,107.57828417602474,7.347572045037721,64.0,75.7771816322933,5.102318223940362,1.4600962253856455,0.012846584990823869,4.737165815187739,[0.573 0.427 0.    0.   ],0.0,0.0,1.1218522020607117e-05,254218750.00165352,[11.786 11.788  0.     0.   ],0.0,0.0
2,[4684. 4685.    0.    0.],20161.0,403.19999999737746,[216.135 187.065   0.      0.   ],42173.36946228537,133704.0,22673.0,74472000000.0,1414551.224117667,104.59146238352666,6.819344278558364,64.0,67.62692936292899,4.4881580393840235,1.2808888447993652,0.013292991419076436,3.581171568870592,[0.536 0.464 0.    0.   ],0.0,0.0,1.899440358950568e-05,184702380.95358232,[11.617 11.62   0.     0.   ],0.0,0.0
3,[4842. 4842.    0.    0.],20161.0,403.19999999737746,[233.11 170.09   0.     0.  ],43635.6012193882,109003.0,24791.0,103261500000.0,1004101.412786096,108.2178493611139,7.430742522692523,64.0,75.9861562301078,5.106103045978517,1.4609890382421507,0.012251376419820445,4.762164575169883,[0.578 0.422 0.    0.   ],0.0,0.0,9.723870104405765e-06,256104910.7159515,[12.009 12.009  0.     0.   ],0.0,0.0
4,[4813. 4814.    0.    0.],20161.0,403.19999999737746,[179.534 223.666   0.      0.   ],39287.609918035676,190203.0,18807.0,49561500000.0,333630.65751432715,97.43467565605597,5.74257229304189,64.0,53.200635533647,3.119638706781918,0.8897872129358663,0.010912157135062744,2.125589008481722,[0.445 0.555 0.    0.   ],0.0,0.0,6.731649718316176e-06,122920386.90556142,[11.937 11.939  0.     0.   ],0.0,0.0
5,[4990. 4991.    0.    0.],20161.0,403.19999999737746,[191.834 211.366   0.      0.   ],40209.05268368686,171188.0,20586.0,74896500000.0,242653.57717079727,99.71988662190822,6.073984425376671,64.0,59.04668093305981,3.478726517046296,1.000892812856505,0.014037002132830713,3.1565398541739,[0.476 0.524 0.    0.   ],0.0,0.0,3.239852024738102e-06,185755208.33454153,[12.376 12.378  0.     0.   ],0.0,0.0
6,[4894. 4894.    0.    0.],20161.0,403.19999999737746,[218.55 184.65   0.     0.  ],42430.98960922198,125846.0,23017.0,110010000000.0,701628.1639212738,105.23036954819294,6.948861663608591,64.0,69.34119980493016,4.567503736755387,1.314617330489559,0.011606567134566738,5.005406477853281,[0.542 0.458 0.    0.   ],0.0,0.0,6.37785804855262e-06,272842261.9065366,[12.138 12.138  0.     0.   ],0.0,0.0
7,[4649. 4650.    0.    0.],20161.0,403.19999999737746,[218.977 184.223   0.      0.   ],42452.611280697376,123941.0,22914.0,110524500000.0,1511032.6952586644,105.2839920656152,6.939338326472545,64.0,69.04599911681166,4.725508238816464,1.3443281583254798,0.012499379991071872,5.1096671792073804,[0.543 0.457 0.    0.   ],0.0,0.0,1.3671472797964835e-05,274118303.57321155,[11.53  11.533  0.     0.   ],0.0,0.0
8,[4789. 4789.    0.    0.],20161.0,403.19999999737746,[219.203 183.997   0.      0.   ],42396.97120127642,122923.0,22846.0,110493000000.0,622589.2008868622,105.14600268160433,6.986320123010373,64.0,69.27016291715992,4.513012171915098,1.3176429740588265,0.012003372848569019,5.0282228064084125,[0.544 0.456 0.    0.   ],0.0,0.0,5.6346483567905866e-06,274040178.573211,[11.877 11.877  0.     0.   ],0.0,0.0
9,[5019. 5020.    0.    0.],20161.0,403.19999999737746,[193.418 209.782   0.      0.   ],40259.46956517845,166565.0,20620.0,74506500000.0,340145.3191728862,99.84492228852305,6.141282674471474,64.0,59.17005192237397,3.4832610544457117,1.0014384207132583,0.013590595704578146,3.1345171370467733,[0.48 0.52 0.   0.  ],0.0,0.0,4.565310666490658e-06,184787946.42977336,[12.448 12.45   0.     0.   ],0.0,0.0
10,[4969. 4970.    0.    0.],20161.0,403.19999999737746,[193.838 209.362   0.      0.   ],40348.25243396702,165420.0,20987.0,74661000000.0,903253.1872415325,100.0651069737767,6.134933783047436,64.0,60.13281413482514,3.6545977756338988,1.0320420614056842,0.014285005704082138,3.1810922077277914,[0.481 0.519 0.    0.   ],0.0,0.0,1.2098059056823944e-05,185171130.95358536,[12.324 12.326  0.     0.   ],0.0,0.0
11,[4767. 4767.    0.    0.],20161.0,403.19999999737746,[218.871 184.329   0.      0.   ],42437.6160708114,122907.0,22724.0,110136000000.0,1304343.016784267,105.24680340958267,6.943147661326964,64.0,68.60224466951537,4.535297964789999,1.3034075690689946,0.01354099499032786,5.018203462129855,[0.543 0.457 0.    0.   ],0.0,0.0,1.1843021507810952e-05,273154761.9065386,[11.823 11.823  0.     0.   ],0.0,0.0
12,[4855. 4855.    0.    0.],20161.0,403.19999999737746,[223.087 180.113   0.      0.   ],42795.680232115774,118567.0,23052.0,109782000000.0,731204.848965501,106.13481531698767,7.114567729775794,64.0,69.85397122163347,4.717237165512974,1.3538514954615346,0.011755369277317594,5.096225385645553,[0.553 0.447 0.    0.   ],0.0,0.0,6.660516741956795e-06,272276785.7160567,[12.041 12.041  0.     0.   ],0.0,0.0
13,[4823. 4824.    0.    0.],20161.0,403.19999999737746,[219.755 183.445   0.      0.   ],42523.51581148076,121324.0,22974.0,110356500000.0,346635.46331587224,105.45983783413756,7.030762362978588,64.0,69.8013575013487,4.566449501789136,1.3150141362035612,0.012945786419324439,5.018997073557859,[0.545 0.455 0.    0.   ],0.0,0.0,3.1410516219332097e-06,273701636.9065421,[11.962 11.964  0.     0.   ],0.0,0.0
14,[4894. 4894.    0.    0.],20161.0,403.19999999737746,[192.274 210.926   0.      0.   ],40233.811398296835,167084.0,20550.0,74299500000.0,82401.88470384257,99.78128911833814,6.1063637716392645,64.0,59.28899077835254,3.540101344352026,1.0179554585586033,0.01334259213332672,3.1486533406081048,[0.477 0.523 0.    0.   ],0.0,0.0,1.10905032609698e-06,184274553.57262716,[12.138 12.138  0.     0.   ],0.0,0.0
15,[4880. 4881.    0.    0.],20161.0,403.19999999737746,[195.217 207.983   0.      0.   ],40447.503808090514,165580.0,20765.0,74782500000.0,570711.1560401146,100.31125392612003,6.193343584148585,64.0,59.61216934839831,3.619624626552042,1.0390357621149744,0.01344179356182729,3.2027181191409158,[0.484 0.516 0.    0.   ],0.0,0.0,7.631613760440138e-06,185472470.23930162,[12.103 12.106  0.     0.   ],0.0,0.0
16,[4819. 4819.    0.    0.],20161.0,403.19999999737746,[220.031 183.169   0.      0.   ],42504.21821568852,122589.0,23203.0,110553000000.0,1188522.2670543198,105.41197910740749,7.00854124299448,64.0,69.98387190500013,4.617679864381613,1.3244878726253657,0.014136203561331284,5.018005059272854,[0.546 0.454 0.    0.   ],0.0,0.0,1.0750701175493381e-05,274188988.0970215,[11.952 11.952  0.     0.   ],0.0,0.0
17,[4739. 4739.    0.    0.],20161.0,403.19999999737746,[221.553 181.647   0.      0.   ],42655.34645073389,121002.0,23156.0,110239500000.0,1871999.5459741873,105.78678252748956,7.023778582412154,64.0,69.82136878856697,4.749399174781687,1.3561331283170477,0.01324339070482615,5.112692822776648,[0.549 0.451 0.    0.   ],0.0,0.0,1.6981204976203514e-05,273411458.3351117,[11.753 11.753  0.     0.   ],0.0,0.0
18,[4840. 4840.    0.    0.],20161.0,403.19999999737746,[222.551 180.649   0.      0.   ],42781.69506490997,117268.0,23226.0,110451000000.0,884561.4017977455,106.10013160287264,7.1113932840637775,64.0,70.9305209556207,4.638179705834204,1.3366400476166858,0.012995387133574723,5.0229155299836314,[0.552 0.448 0.    0.   ],0.0,0.0,8.008631898287436e-06,273936011.9065437,[12.004 12.004  0.     0.   ],0.0,0.0
19,[4990. 4991.    0.    0.],20161.0,403.19999999737746,[194.49 208.71   0.     0.  ],40445.467663096366,165696.0,20624.0,74932500000.0,0.0,100.30620421381855,6.202232032142238,64.0,59.39014975899392,3.509776265822305,1.0218739149843759,0.014632210703834135,3.2080749962799464,[0.482 0.518 0.    0.   ],0.0,0.0,0.0,185844494.04882783,[12.376 12.378  0.     0.   ],0.0,0.0
