id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,cell_traffic,cell_dropped_traffic,num_requests,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
0,[4814. 4815.    0.    0.],20161.0,403.19999999737746,[180.285 222.915   0.      0.   ],39305.12035608108,188718.0,49824000000.0,438783.73642127763,18973.0,97.47810216775119,5.764793413026023,64.0,53.44400620157791,3.149258652028312,0.8983185357869153,0.014235404989831854,2.1502405634641137,[0.447 0.553 0.    0.   ],0.0,0.0,8.806674221685887e-06,123571428.57223232,[11.939 11.942  0.     0.   ],0.0,0.0
1,[4808. 4809.    0.    0.],20161.0,403.19999999737746,[230.462 172.738   0.      0.   ],43361.24166084972,111037.0,102453000000.0,543968.9781181355,24616.0,107.5374278578702,7.317732255344777,64.0,75.042580217002,5.037548888880718,1.4475472446803235,0.01334259213332672,4.734884182332226,[0.572 0.428 0.    0.   ],0.0,0.0,5.3094489972781225e-06,254099702.38260514,[11.925 11.927  0.     0.   ],0.0,0.0
2,[4671. 4672.    0.    0.],20161.0,403.19999999737746,[216.172 187.028   0.      0.   ],42256.813199018005,129356.0,74629500000.0,1404574.675492482,22766.0,104.79840583060965,6.88664252765309,64.0,68.03735499613047,4.496984710781596,1.289072962650662,0.01448340856108328,3.579832349585834,[0.536 0.464 0.    0.   ],0.0,0.0,1.8820636283138465e-05,185093005.95358485,[11.585 11.587  0.     0.   ],0.0,0.0
3,[4864. 4864.    0.    0.],20161.0,403.19999999737746,[232.358 170.842   0.      0.   ],43565.0641415524,108136.0,102147000000.0,1447402.3322595116,24360.0,108.04291488902577,7.422488963841284,64.0,74.98204467862249,5.034589363483278,1.4382223104012697,0.012548980705322156,4.704528545211051,[0.576 0.424 0.    0.   ],0.0,0.0,1.4169797764589382e-05,253340773.81117162,[12.063 12.063  0.     0.   ],0.0,0.0
4,[4924. 4924.    0.    0.],20161.0,403.19999999737746,[180.261 222.939   0.      0.   ],39259.94928457163,187976.0,49459500000.0,448821.74274556065,18854.0,97.36607629723439,5.757174743317178,64.0,52.65443732500697,3.0651785171598713,0.875651009374535,0.014929814989335847,2.1195873220574377,[0.447 0.553 0.    0.   ],0.0,0.0,9.074530529939863e-06,122667410.71508358,[12.212 12.212  0.     0.   ],0.0,0.0
5,[4995. 4996.    0.    0.],20161.0,403.19999999737746,[193.719 209.481   0.      0.   ],40319.08875020028,167183.0,74562000000.0,443911.4276524881,20619.0,99.99277999652672,6.143822231041089,64.0,58.9307186153156,3.4958110554836694,1.007638509994544,0.013044987847825009,3.1414116363275633,[0.48 0.52 0.   0.  ],0.0,0.0,5.953587989223574e-06,184925595.23929805,[12.388 12.391  0.     0.   ],0.0,0.0
6,[4781. 4782.    0.    0.],20161.0,403.19999999737746,[217.568 185.632   0.      0.   ],42268.3598986005,123194.0,109515000000.0,1041589.0017655652,22682.0,104.82704205793523,6.915212539061228,64.0,68.6195856664395,4.486024713931129,1.2874361390804028,0.011556966420316452,4.948712861465205,[0.54 0.46 0.   0.  ],0.0,0.0,9.51092546012478e-06,271614583.3351,[11.858 11.86   0.     0.   ],0.0,0.0
7,[4699. 4699.    0.    0.],20161.0,403.19999999737746,[219.893 183.307   0.      0.   ],42518.112982120074,121952.0,109536000000.0,1935595.7791308293,22819.0,105.44643862437476,6.969178116165489,64.0,68.67993443669255,4.638542657433391,1.3284063290511383,0.01314418927632558,5.0298100292644214,[0.545 0.455 0.    0.   ],0.0,0.0,1.7670864182833307e-05,271666666.66843367,[11.654 11.654  0.     0.   ],0.0,0.0
8,[4798. 4799.    0.    0.],20161.0,403.19999999737746,[218.524 184.676   0.      0.   ],42403.41484802395,125195.0,110404500000.0,1415339.9174113108,23016.0,105.16198315565806,6.9520361093206064,64.0,69.44808938232096,4.548378925157963,1.308318039779773,0.014086602847080998,5.016417836416845,[0.542 0.458 0.    0.   ],0.0,0.0,1.281958541011744e-05,273820684.52559054,[11.9   11.902  0.     0.   ],0.0,0.0
9,[5086. 5087.    0.    0.],20161.0,403.19999999737746,[192.535 210.665   0.      0.   ],40280.649261519204,168573.0,74338500000.0,154407.9467329142,20725.0,99.89744869182809,6.1679480184524325,64.0,59.881408910291604,3.516106033121027,1.0105153514210605,0.012896185705074153,3.121968156341451,[0.478 0.522 0.    0.   ],0.0,0.0,2.077092579658107e-06,184371279.76310396,[12.614 12.617  0.     0.   ],0.0,0.0
10,[4969. 4970.    0.    0.],20161.0,403.19999999737746,[192.543 210.657   0.      0.   ],40290.61850235176,166399.0,74086500000.0,403637.3507951138,20404.0,99.92217276511906,6.147631565895511,64.0,58.96998522472798,3.5360765971470016,1.009572937850305,0.012499379991071872,3.1232081741977082,[0.478 0.522 0.    0.   ],0.0,0.0,5.448190301810907e-06,183746279.7630999,[12.324 12.326  0.     0.   ],0.0,0.0
11,[4831. 4832.    0.    0.],20161.0,403.19999999737746,[220.21 182.99   0.     0.  ],42500.615698128815,122554.0,109420500000.0,1967731.3740849025,22721.0,105.40304473520442,6.999017905858434,64.0,68.69455793509862,4.4968144561325305,1.2943306383611923,0.0110609592778136,4.9565001736025,[0.546 0.454 0.    0.   ],0.0,0.0,1.798320583514883e-05,271380208.3350985,[11.982 11.984  0.     0.   ],0.0,0.0
12,[4721. 4722.    0.    0.],20161.0,403.19999999737746,[219.352 183.848   0.      0.   ],42432.17244350251,121498.0,109809000000.0,2148411.7919187183,22827.0,105.23330301945127,6.978701453301536,64.0,69.0243721907952,4.630600527429246,1.3311839690491543,0.012747383562323298,5.06428252566837,[0.544 0.456 0.    0.   ],0.0,0.0,1.956498822426867e-05,272343750.0017714,[11.709 11.711  0.     0.   ],0.0,0.0
