id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,num_requests,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_operation_pc,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
0,[1897. 1898.    0.    0.],10081.0,201.60000000059856,[ 66.161 135.439   0.      0.   ],17617.846896201085,55933.0,6783.0,15378000000.0,0.0,87.38144477828433,4.224342823132717,64.0,87.13747137876055,37.11355506600484,2.211025342422518,0.6136296002380717,0.010911615911119929,1.301259795655193,[0.328 0.672 0.    0.   ],0.0,0.0,0.0,76279761.90453543,[9.41  9.415 0.    0.   ],0.0,0.0
1,[1918. 1919.    0.    0.],10081.0,201.60000000059856,[ 73.76 127.84   0.     0.  ],18227.190696687678,45788.0,6949.0,26478000000.0,192481.47461163517,90.40368364588949,4.666203749628204,64.0,89.82586559587031,38.997852437696565,2.569713425719743,0.7081638726316833,0.01011804384485666,2.3159408788810634,[0.366 0.634 0.    0.   ],0.0,0.0,7.2694869178803225e-06,131339285.71389577,[9.514 9.519 0.    0.   ],0.0,0.0
2,[1888. 1889.    0.    0.],10081.0,201.60000000059856,[ 73.794 127.806   0.      0.   ],18245.42657762696,45402.0,7238.0,20509500000.0,321168.5983525528,90.49413043162083,4.675091756770355,64.0,89.90453004714226,40.43088284734635,2.660845014671274,0.7452633667294911,0.01150679496081738,1.893859736137288,[0.366 0.634 0.    0.   ],0.0,0.0,1.565950405190535e-05,101733630.95207891,[9.365 9.37  0.    0.   ],0.0,0.0
3,[1940. 1941.    0.    0.],10081.0,201.60000000059856,[ 74.563 127.037   0.      0.   ],18294.877618577357,43844.0,7058.0,26821500000.0,635295.412616371,90.73939896128336,4.765241543497883,64.0,90.45042252574666,39.506438871002395,2.622294398284804,0.7195714710842178,0.010614026386271203,2.3407400059517904,[0.37 0.63 0.   0.  ],0.0,0.0,2.3686050840421713e-05,133043154.76150975,[9.623 9.628 0.    0.   ],0.0,0.0
4,[1876. 1877.    0.    0.],10081.0,201.60000000059856,[ 65.804 135.796   0.      0.   ],17588.515267278268,54236.0,6612.0,15310500000.0,352994.27131336625,87.23596501971483,4.205297093542394,64.0,86.9543492718792,36.34805418371381,2.143718687628035,0.5972621763713917,0.009324471778593394,1.2905465727606389,[0.326 0.674 0.    0.   ],0.0,0.0,2.3055698462712925e-05,75944940.475965,[9.306 9.311 0.    0.   ],0.0,0.0
5,[1948. 1948.    0.    0.],10081.0,201.60000000059856,[ 63.47 138.13   0.     0.  ],17395.68267504417,57774.0,6403.0,20643000000.0,0.0,86.2795490280765,4.05166154151379,64.0,85.88053429777744,34.04594157221352,1.9576723817992774,0.5443904374566015,0.009324471778593394,1.626326753298284,[0.315 0.685 0.    0.   ],0.0,0.0,0.0,102395833.33302931,[9.663 9.663 0.    0.   ],0.0,0.0
6,[1952. 1953.    0.    0.],10081.0,201.60000000059856,[ 65.159 136.441   0.      0.   ],17531.243809984804,55123.0,6348.0,26902500000.0,186329.1850493301,86.95190859032581,4.149429620077447,64.0,86.4935139430149,34.07392176588357,2.097074321450281,0.5711734946929868,0.009820454320007936,2.1856958635056047,[0.323 0.677 0.    0.   ],0.0,0.0,6.92609181486219e-06,133444940.47579427,[9.683 9.687 0.    0.   ],0.0,0.0
7,[1909. 1910.    0.    0.],10081.0,201.60000000059856,[ 64.778 136.822   0.      0.   ],17502.02095658296,53774.0,6253.0,26973000000.0,192481.47461163517,86.80696833934913,4.1481599047714255,64.0,86.68983980923576,34.45251726394818,2.1243528955694986,0.5886320801507787,0.009225275270310486,2.2302350957246304,[0.321 0.679 0.    0.   ],0.0,0.0,7.1360795837183546e-06,133794642.85674562,[9.469 9.474 0.    0.   ],0.0,0.0
8,[1927. 1928.    0.    0.],10081.0,201.60000000059856,[ 64.937 136.663   0.      0.   ],17511.63974452361,54933.0,6249.0,26818500000.0,282301.1413030047,86.85467584823087,4.127844459875082,64.0,86.51986477957956,33.70370791776504,2.056647496118037,0.5684951889693483,0.00892768574546176,2.1914492609860132,[0.322 0.678 0.    0.   ],0.0,0.0,1.0526358346029967e-05,133028273.80912885,[9.559 9.563 0.    0.   ],0.0,0.0
9,[1984. 1985.    0.    0.],10081.0,201.60000000059856,[ 63.055 138.545   0.      0.   ],17361.67043609204,57547.0,6369.0,20365500000.0,282301.1413030047,86.11085426093,4.0415038190656185,64.0,85.89334371935139,34.64550220317156,1.927903350077485,0.5487550838210495,0.009324471778593394,1.6050987005257416,[0.313 0.687 0.    0.   ],0.0,0.0,1.3861733878520277e-05,101019345.23779531,[9.841 9.846 0.    0.   ],0.0,0.0
