id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,cell_traffic,cell_dropped_traffic,num_requests,avg_pc,avg_tx_power,avg_num_ants,avg_operation_pc,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
0,[1877. 1878.    0.    0.],10081.0,201.60000000059856,[ 65.894 135.706   0.      0.   ],17599.728528155818,55439.0,15526500000.0,209600.21645866567,6759.0,87.29158083598983,4.186251363952071,64.0,86.94699225351373,37.4930596141716,2.233940738907719,0.6238468405912112,0.009126078762027577,1.3297291935323876,[0.327 0.673 0.    0.   ],0.0,0.0,1.3499514794619887e-05,77016369.04739039,[9.311 9.315 0.    0.   ],0.0,0.0
1,[1939. 1940.    0.    0.],10081.0,201.60000000059856,[ 74.815 126.785   0.      0.   ],18314.92543416547,44461.0,26686500000.0,237426.3588763236,7066.0,90.83883262653579,4.757623251661753,64.0,90.43593017508121,39.885060302207776,2.6320100941400537,0.7278047812716992,0.00892768574546176,2.3471877789901794,[0.371 0.629 0.    0.   ],0.0,0.0,8.896871409751133e-06,132373511.90436888,[9.618 9.623 0.    0.   ],0.0,0.0
2,[1839. 1840.    0.    0.],10081.0,201.60000000059856,[ 73.407 128.193   0.      0.   ],18214.70516292688,43402.0,20710500000.0,477811.60763885675,6989.0,90.34175757823348,4.711913500644979,64.0,90.17851881820546,40.24705902876201,2.6803907194379466,0.7387163971828191,0.00952286479515921,1.9337367324670172,[0.364 0.636 0.    0.   ],0.0,0.0,2.3070983686480613e-05,102730654.76159975,[9.122 9.127 0.    0.   ],0.0,0.0
3,[1862. 1863.    0.    0.],10081.0,201.60000000059856,[ 73.518 128.082   0.      0.   ],18214.921029394252,43329.0,26467500000.0,436702.88761579065,6982.0,90.34282823822494,4.6941374863606775,64.0,90.10515563480018,39.86589069435738,2.6884867048085037,0.7277055847634163,0.008530899712330125,2.3351850014879476,[0.365 0.635 0.    0.   ],0.0,0.0,1.6499589595382664e-05,131287202.38056259,[9.236 9.241 0.    0.   ],0.0,0.0
4,[1900. 1900.    0.    0.],10081.0,201.60000000059856,[ 65.354 136.246   0.      0.   ],17551.36097356983,56739.0,15328500000.0,0.0,6667.0,87.05168620953458,4.118956452732931,64.0,86.42391199705568,35.818276739901556,2.1318722645761454,0.5899216347584565,0.01150679496081738,1.3014581886717587,[0.324 0.676 0.    0.   ],0.0,0.0,0.0,76034226.19025044,[9.425 9.425 0.    0.   ],0.0,0.0
5,[1911. 1912.    0.    0.],10081.0,201.60000000059856,[ 62.988 138.612   0.      0.   ],17359.073804374195,57869.0,20779500000.0,0.0,6529.0,86.09797542094383,3.9983334986608865,64.0,85.72566837394086,35.238109414777874,2.0639371579407277,0.5659160797539926,0.009721257811725028,1.655490526733459,[0.312 0.688 0.    0.   ],0.0,0.0,0.0,103072916.66636065,[9.479 9.484 0.    0.   ],0.0,0.0
6,[1939. 1940.    0.    0.],10081.0,201.60000000059856,[ 65.465 136.135   0.      0.   ],17552.762203899747,54700.0,27040500000.0,28098.898835365755,6343.0,87.0586360673368,4.149429620077447,64.0,86.55923088715099,34.200170291378036,2.077042941098828,0.569883940085309,0.009721257811725028,2.1989881956155144,[0.325 0.675 0.    0.   ],0.0,0.0,1.0391412449979014e-06,134129464.28531605,[9.618 9.623 0.    0.   ],0.0,0.0
7,[1866. 1867.    0.    0.],10081.0,201.60000000059856,[ 64.324 137.276   0.      0.   ],17466.43553109979,53436.0,26857500000.0,196317.6388532575,6165.0,86.63047084166413,4.122765598650995,64.0,86.45723415642867,33.81659323598847,2.085853816791007,0.5781172502727904,0.008530899712330125,2.2142644578910824,[0.319 0.681 0.    0.   ],0.0,0.0,7.309602116848459e-06,133221726.19008066,[9.256 9.261 0.    0.   ],0.0,0.0
8,[1913. 1914.    0.    0.],10081.0,201.60000000059856,[ 63.965 137.635   0.      0.   ],17436.468981952898,55806.0,26301000000.0,303426.88156500366,6306.0,86.48184198963173,4.066898125186048,64.0,86.21824887737388,34.368703724326565,2.1110525596253824,0.57742287471481,0.010614026386271203,2.1370895744469793,[0.317 0.683 0.    0.   ],0.0,0.0,1.1536705127751936e-05,130461309.52342218,[9.489 9.494 0.    0.   ],0.0,0.0
9,[1918. 1919.    0.    0.],10081.0,201.60000000059856,[ 62.911 138.689   0.      0.   ],17349.890315364788,58533.0,20209500000.0,168491.49643559955,6379.0,86.05242691876586,4.022458089475295,64.0,85.81175680404178,34.25234814329628,1.9820337365625667,0.5486558873127666,0.010614026386271203,1.6075786132328143,[0.312 0.688 0.    0.   ],0.0,0.0,8.33724220963406e-06,100245535.71398808,[9.514 9.519 0.    0.   ],0.0,0.0
10,[1967. 1968.    0.    0.],10081.0,201.60000000059856,[ 62.328 139.272   0.      0.   ],17302.426014734105,59449.0,20283000000.0,272.7564177078093,6393.0,85.81701227423277,3.9538934629501337,64.0,85.36633106369669,33.653473536692324,1.9147581655557842,0.5354627517111398,0.012994742585061007,1.5981549449459378,[0.309 0.691 0.    0.   ],0.0,0.0,1.3447538219583361e-08,100610119.04732034,[9.757 9.762 0.    0.   ],0.0,0.0
11,[1923. 1924.    0.    0.],10081.0,201.60000000059856,[ 64.512 137.088   0.      0.   ],17478.763621043592,54501.0,26935500000.0,272.7564177078093,6187.0,86.69161601547513,4.111338160896802,64.0,86.36235739878816,33.64458095592224,2.054305516830662,0.5622458089475251,0.008530899712330125,2.1795456799920645,[0.32 0.68 0.   0.  ],0.0,0.0,1.0126280102756931e-08,133608630.95198427,[9.539 9.544 0.    0.   ],0.0,0.0
12,[1967. 1968.    0.    0.],10081.0,201.60000000059856,[ 64.958 136.642   0.      0.   ],17511.92101372,55332.0,26614500000.0,0.0,6293.0,86.85607089433955,4.15958734252562,64.0,86.60490024417635,34.168155231706876,2.0494555402045425,0.5711734946929868,0.0077373276460668584,2.1686340640809445,[0.322 0.678 0.    0.   ],0.0,0.0,0.0,132016369.04722708,[9.757 9.762 0.    0.   ],0.0,0.0
13,[1923. 1924.    0.    0.],10081.0,201.60000000059856,[ 63.355 138.245   0.      0.   ],17386.45409347987,55347.0,26757000000.0,134935.3851294041,6143.0,86.23377687469723,4.050391826207769,64.0,86.0031669247003,33.33196455896185,1.9997797020784593,0.554706874318024,0.009820454320007936,2.1760738022021626,[0.314 0.686 0.    0.   ],0.0,0.0,5.042993800852267e-06,132723214.28532022,[9.539 9.544 0.    0.   ],0.0,0.0
14,[1990. 1991.    0.    0.],10081.0,201.60000000059856,[ 62.884 138.716   0.      0.   ],17345.23506924836,59056.0,20179500000.0,134935.3851294041,6300.0,86.02933771076773,4.011030651721102,64.0,85.7751819152247,33.90223749260447,1.9700809059228939,0.5385378434679099,0.011308401944251562,1.5951790496974507,[0.312 0.688 0.    0.   ],0.0,0.0,6.68675562473818e-06,100096726.190179,[9.871 9.876 0.    0.   ],0.0,0.0
