id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,cell_traffic,cell_dropped_traffic,num_requests,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
0,[3429. 3430.    0.    0.],20161.0,403.19999999737746,[106.762 296.438   0.      0.   ],33590.076773631205,124188.0,27019500000.0,0.0,10918.0,83.30458998469707,3.4049104707111173,64.0,28.515242750113053,1.6233996013254608,0.444868806110808,0.007737711423044492,1.088190069937007,[0.265 0.735 0.    0.   ],0.0,0.0,0.0,67012648.80995968,[8.504 8.507 0.    0.   ],0.0,0.0
1,[3829. 3830.    0.    0.],20161.0,403.19999999737746,[144.809 258.391   0.      0.   ],36438.90942458484,75667.0,56026500000.0,177438.5300797952,14404.0,90.36979669804148,4.631516293835249,64.0,41.68669456060621,2.6428919868100738,0.7345865780467239,0.00962253856455533,2.3994345518575466,[0.359 0.641 0.    0.   ],0.0,0.0,3.167046488354532e-06,138954613.0961419,[9.497 9.499 0.    0.   ],0.0,0.0
2,[3592. 3593.    0.    0.],20161.0,403.19999999737746,[132.134 271.066   0.      0.   ],35449.364619977314,89661.0,40440000000.0,630223.214599459,13011.0,87.91569024347935,4.225822131839224,64.0,36.62979594900552,2.315197351969683,0.6341451316898963,0.009275333564803333,1.7833936808690045,[0.328 0.672 0.    0.   ],0.0,0.0,1.558415466368593e-05,100297619.04827142,[8.909 8.911 0.    0.   ],0.0,0.0
3,[3757. 3758.    0.    0.],20161.0,403.19999999737746,[143.053 260.147   0.      0.   ],36484.09693466072,79069.0,55986000000.0,779217.5069935168,14240.0,90.48186333678828,4.547076037895544,64.0,40.7221404135478,2.532952919145967,0.713555875204603,0.010267347849809037,2.382471107583949,[0.355 0.645 0.    0.   ],0.0,0.0,1.3918077858634602e-05,138854166.66756982,[9.318 9.32  0.    0.   ],0.0,0.0
4,[3473. 3474.    0.    0.],20161.0,403.19999999737746,[107.642 295.558   0.      0.   ],33572.17264067063,122404.0,27168000000.0,621694.9488443412,11000.0,83.2601870955533,3.4417340409705375,64.0,29.028443626421527,1.6610308157157967,0.4508704925350925,0.007539308566043351,1.0869004513664997,[0.267 0.733 0.    0.   ],0.0,0.0,2.2883353535201017e-05,67380952.38139065,[8.614 8.616 0.    0.   ],0.0,0.0
5,[3718. 3719.    0.    0.],20161.0,403.19999999737746,[118.028 285.172   0.      0.   ],34372.17260260178,109515.0,40906500000.0,0.0,11976.0,85.24421557115306,3.752194831605993,64.0,32.20045837432448,1.8288476321070546,0.5081593174941719,0.009572937850305045,1.611477605277516,[0.293 0.707 0.    0.   ],0.0,0.0,0.0,101454613.09589799,[9.221 9.224 0.    0.   ],0.0,0.0
6,[3789. 3790.    0.    0.],20161.0,403.19999999737746,[135.219 267.981   0.      0.   ],35813.68760486052,87825.0,60112500000.0,177438.5300797952,13534.0,88.81922425688049,4.2886761569372,64.0,37.670765328135175,2.3496678016975476,0.651306978820495,0.00982094142155647,2.51822826248698,[0.335 0.665 0.    0.   ],0.0,0.0,2.951774257929635e-06,149088541.6676364,[9.397 9.4   0.    0.   ],0.0,0.0
7,[3687. 3688.    0.    0.],20161.0,403.19999999737746,[135.399 267.801   0.      0.   ],35838.28660699628,84810.0,59772000000.0,312821.11499432236,13277.0,88.88023066066754,4.3153415009181595,64.0,37.67091862577087,2.4057540814602487,0.6623183373840583,0.008233718565547344,2.5364317246168344,[0.336 0.664 0.    0.   ],0.0,0.0,5.23357282664663e-06,148244047.62001184,[9.144 9.147 0.    0.   ],0.0,0.0
8,[3650. 3651.    0.    0.],20161.0,403.19999999737746,[134.296 268.904   0.      0.   ],35683.12416321869,85877.0,60052500000.0,555457.7755520621,13301.0,88.49542225885881,4.2766132632315275,64.0,37.59300389831557,2.3684504560762902,0.6539358166757602,0.009473736421804473,2.512672982490948,[0.333 0.667 0.    0.   ],0.0,0.0,9.24953624831709e-06,148939732.1438259,[9.053 9.055 0.    0.   ],0.0,0.0
9,[3641. 3641.    0.    0.],20161.0,403.19999999737746,[115.228 287.972   0.      0.   ],34171.46842351828,111152.0,40705500000.0,84400.9453937663,11930.0,84.74646203937546,3.666484797381481,64.0,32.150588019209856,1.8185634915424713,0.5022568324983879,0.008481722136798769,1.590942909577898,[0.286 0.714 0.    0.   ],0.0,0.0,2.073453105692506e-06,100956101.19113284,[9.03 9.03 0.   0.  ],0.0,0.0
