id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,cell_traffic,cell_dropped_traffic,num_requests,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
0,[4118. 4118.    0.    0.],20161.0,403.19999999737746,[138.439 264.761   0.      0.   ],36044.04615069382,155646.0,38076000000.0,302954.8681460035,14866.0,89.39052167723042,4.420098209414785,64.0,40.56245029857265,2.308145977542745,0.6739745052328754,0.010217747135558753,1.633748325975894,[0.343 0.657 0.    0.   ],0.0,0.0,7.956583363431125e-06,94434523.81013805,[10.213 10.213  0.     0.   ],0.0,0.0
1,[4510. 4510.    0.    0.],20161.0,403.19999999737746,[186.561 216.639   0.      0.   ],39885.217382955656,94380.0,78624000000.0,356396.56770817644,19644.0,98.91676351112355,5.959704379743988,64.0,58.45313614921931,3.7585662067823,1.1052527156391052,0.01066415356381132,3.60175586528446,[0.463 0.537 0.    0.   ],0.0,0.0,4.5329233784617475e-06,195000000.00126833,[11.186 11.186  0.     0.   ],0.0,0.0
2,[4309. 4309.    0.    0.],20161.0,403.19999999737746,[167.807 235.393   0.      0.   ],38425.2660156521,112075.0,56869500000.0,1221312.353308647,17623.0,95.29603198167585,5.359734140172402,64.0,50.874291808538786,3.300100676767751,0.956004166459997,0.010465750706810177,2.712911065919349,[0.416 0.584 0.    0.   ],0.0,0.0,2.1475700565481444e-05,141045386.90567932,[10.687 10.687  0.     0.   ],0.0,0.0
3,[4653. 4653.    0.    0.],20161.0,403.19999999737746,[186.822 216.378   0.      0.   ],39890.73045648257,94481.0,78312000000.0,1157481.9197863168,19764.0,98.93043613035556,5.933673924905433,64.0,58.047360553155585,3.778121725870001,1.1000942413570756,0.012350577848321016,3.5673825703090123,[0.463 0.537 0.    0.   ],0.0,0.0,1.4780390231207437e-05,194226190.4774538,[11.54 11.54  0.    0.  ],0.0,0.0
4,[4201. 4202.    0.    0.],20161.0,403.19999999737746,[138.989 264.211   0.      0.   ],36037.04862219022,154142.0,38097000000.0,524412.8722350717,14978.0,89.37316755664189,4.425812211696419,64.0,40.59804375505198,2.292123684245517,0.6709984623778582,0.010118545707058182,1.6241257874113386,[0.345 0.655 0.    0.   ],0.0,0.0,1.376520125561256e-05,94486607.14347172,[10.419 10.422  0.     0.   ],0.0,0.0
5,[4458. 4459.    0.    0.],20161.0,403.19999999737746,[152.26 250.94   0.     0.  ],37116.13675043776,135076.0,57445500000.0,0.0,16412.0,92.04934465164605,4.854362382818981,64.0,45.657456863622365,2.5814717426360474,0.7633549923118893,0.011556966420316452,2.397748127573037,[0.378 0.622 0.    0.   ],0.0,0.0,0.0,142473958.33426002,[11.057 11.059  0.     0.   ],0.0,0.0
6,[4472. 4472.    0.    0.],20161.0,403.19999999737746,[175.053 228.147   0.      0.   ],38928.39918910533,105936.0,83932500000.0,58805.63321578348,18326.0,96.54382021998981,5.54512176975431,64.0,53.17251172534667,3.3537917710463936,0.986260602152671,0.01220177570557016,3.7516988244630722,[0.434 0.566 0.    0.   ],0.0,0.0,7.006300683976228e-07,208165922.6204016,[11.091 11.091  0.     0.   ],0.0,0.0
7,[4391. 4392.    0.    0.],20161.0,403.19999999737746,[171.53 231.67   0.     0.  ],38769.442809742424,106216.0,83242500000.0,597255.8556377188,18042.0,96.14960272243883,5.480363077229123,64.0,52.83170800395028,3.3938793457728353,0.9980159714299885,0.010366549278309607,3.7738703437329497,[0.425 0.575 0.    0.   ],0.0,0.0,7.174890898732244e-06,206454613.09658095,[10.89  10.893  0.     0.   ],0.0,0.0
8,[4512. 4513.    0.    0.],20161.0,403.19999999737746,[171.735 231.465   0.      0.   ],38705.53562208391,107326.0,82476000000.0,914657.4729329883,17946.0,95.99111061475885,5.477823520659507,64.0,52.22899094741762,3.272404245266237,0.9672635285948118,0.009969743564307326,3.685035464510689,[0.426 0.574 0.    0.   ],0.0,0.0,1.1089983424668852e-05,204553571.4299019,[11.19  11.193  0.     0.   ],0.0,0.0
9,[4400. 4400.    0.    0.],20161.0,403.19999999737746,[151.001 252.199   0.      0.   ],37044.870592914835,134252.0,56601000000.0,360726.64742542733,16228.0,91.87260203589693,4.811189921135523,64.0,45.338036282949716,2.527807120660038,0.7562620901740985,0.011904171420068449,2.3487922226080054,[0.375 0.625 0.    0.   ],0.0,0.0,6.373149722185603e-06,140379464.28662735,[10.913 10.913  0.     0.   ],0.0,0.0
10,[4417. 4418.    0.    0.],20161.0,403.19999999737746,[151.422 251.778   0.      0.   ],36996.93847181466,133026.0,56967000000.0,130220.67873828227,16299.0,91.75372866379071,4.823887703983599,64.0,45.478961530634514,2.620222886900157,0.7719359158771887,0.011755369277317594,2.3841575318684587,[0.376 0.624 0.    0.   ],0.0,0.0,2.2858967250914083e-06,141287202.38187134,[10.955 10.957  0.     0.   ],0.0,0.0
11,[4456. 4457.    0.    0.],20161.0,403.19999999737746,[170.158 233.042   0.      0.   ],38571.61249073317,109375.0,83527500000.0,144469.30154569965,17976.0,95.65897646627762,5.424492832697589,64.0,51.94361026673023,3.271347891532503,0.9584842021725113,0.011259362134814741,3.732900153762214,[0.422 0.578 0.    0.   ],0.0,0.0,1.7296016467115578e-06,207161458.33468077,[11.052 11.054  0.     0.   ],0.0,0.0
12,[4366. 4366.    0.    0.],20161.0,403.19999999737746,[171.369 231.831   0.      0.   ],38647.62735078595,106882.0,82299000000.0,517636.9000142236,17985.0,95.8474960338905,5.462586181241817,64.0,52.41152238178349,3.386718523705893,0.9913198750062001,0.011209761420564457,3.753930856604335,[0.425 0.575 0.    0.   ],0.0,0.0,6.289710689245599e-06,204114583.33466095,[10.828 10.828  0.     0.   ],0.0,0.0
13,[4498. 4499.    0.    0.],20161.0,403.19999999737746,[172.118 231.082   0.      0.   ],38751.36526410995,108729.0,82951500000.0,489864.62391511607,18002.0,96.10476976367546,5.46322107038422,64.0,51.79286004486887,3.3155637818258215,0.9668667228808094,0.012102574277069589,3.7228808094836565,[0.427 0.573 0.    0.   ],0.0,0.0,5.9054341864235855e-06,205732886.90610006,[11.156 11.158  0.     0.   ],0.0,0.0
14,[4334. 4335.    0.    0.],20161.0,403.19999999737746,[149.54 253.66   0.     0.  ],36849.0883090194,138023.0,56194500000.0,250294.9770573145,15980.0,91.38705497995701,4.757224344031201,64.0,44.250506834787075,2.5298080273865233,0.7451019294677843,0.012052973562819305,2.3435345468974753,[0.371 0.629 0.    0.   ],0.0,0.0,4.4540831764196585e-06,139371279.76281127,[10.749 10.751  0.     0.   ],0.0,0.0
15,[4408. 4409.    0.    0.],20161.0,403.19999999737746,[152.016 251.184   0.      0.   ],37011.65964762628,134302.0,56799000000.0,108234.4769425535,16216.0,91.79023770553327,4.851822826249366,64.0,45.597683874709496,2.6142595079612003,0.7720351173056892,0.011804969991567878,2.3910520311492487,[0.377 0.623 0.    0.   ],0.0,0.0,1.9055701146596509e-06,140870535.71520197,[10.933 10.935  0.     0.   ],0.0,0.0
16,[4415. 4416.    0.    0.],20161.0,403.19999999737746,[171.136 232.064   0.      0.   ],38615.98253816688,107714.0,83280000000.0,249749.37346499998,18114.0,95.76901576847894,5.450523287536145,64.0,52.59212381917013,3.352044760632109,0.9835821635831556,0.011011358563563315,3.722087198055652,[0.424 0.576 0.    0.   ],0.0,0.0,2.998911785122478e-06,206547619.0489625,[10.95  10.952  0.     0.   ],0.0,0.0
17,[4434. 4435.    0.    0.],20161.0,403.19999999737746,[173.213 229.987   0.      0.   ],38812.76942148298,105808.0,82242000000.0,273041.42382940673,18075.0,96.25705426685785,5.524170428054985,64.0,52.88513148177625,3.4389212404898344,1.0066464957095382,0.010564952135310748,3.7774911958732207,[0.43 0.57 0.   0.  ],0.0,0.0,3.3199754849031726e-06,203973214.28704098,[10.997 11.     0.     0.   ],0.0,0.0
18,[4423. 4424.    0.    0.],20161.0,403.19999999737746,[171.578 231.622   0.      0.   ],38608.512623259325,108265.0,83355000000.0,452166.0019752957,18175.0,95.75049011273875,5.442904617827299,64.0,52.71298495047116,3.3781270266175656,0.9921134864342046,0.011209761420564457,3.755964485888597,[0.426 0.574 0.    0.   ],0.0,0.0,5.424581632479104e-06,206733630.9537256,[10.97  10.972  0.     0.   ],0.0,0.0
19,[4323. 4324.    0.    0.],20161.0,403.19999999737746,[152.282 250.918   0.      0.   ],37130.457025441414,131531.0,56505000000.0,185273.2488689362,16202.0,92.08485944506863,4.858171717673404,64.0,45.57569368231904,2.5885120566255146,0.7688110708794207,0.010267347849809037,2.37909825901493,[0.378 0.622 0.    0.   ],0.0,0.0,3.2788823797705728e-06,140141369.04853058,[10.722 10.724  0.     0.   ],0.0,0.0
20,[4282. 4283.    0.    0.],20161.0,403.19999999737746,[168.563 234.637   0.      0.   ],38480.06498970659,113092.0,52023000000.0,29721.45408050863,17963.0,95.43193539434014,5.367352809881248,64.0,52.09211039845994,3.225863614454106,0.9498536778929617,0.011457764991815882,2.305441198353256,[0.418 0.582 0.    0.   ],0.0,0.0,5.71313728168476e-07,129025297.61988685,[10.62  10.623  0.     0.   ],0.0,0.0
21,[4343. 4344.    0.    0.],20161.0,403.19999999737746,[169.751 233.449   0.      0.   ],38465.410330016064,112322.0,56536500000.0,239056.43553651555,17862.0,95.39559131495389,5.388304151580573,64.0,51.511717137811154,3.270136038190312,0.955309756460493,0.010912157135062744,2.6403948216854323,[0.421 0.579 0.    0.   ],0.0,0.0,4.228355761968207e-06,140219494.0485311,[10.771 10.774  0.     0.   ],0.0,0.0
22,[4442. 4443.    0.    0.],20161.0,403.19999999737746,[185.631 217.569   0.      0.   ],39803.142105732644,94630.0,77022000000.0,239056.43553651555,19361.0,98.71321389249542,5.907008580924473,64.0,57.18527357390415,3.8024910293625656,1.1204305341996925,0.010812955706562174,3.5984822181439413,[0.46 0.54 0.   0.  ],0.0,0.0,3.10374224944192e-06,191026785.71552822,[11.017 11.019  0.     0.   ],0.0,0.0
23,[4357. 4358.    0.    0.],20161.0,403.19999999737746,[168.748 234.452   0.      0.   ],38475.09620694012,112407.0,55836000000.0,276257.52456552885,17868.0,95.41961263563171,5.381955260156535,64.0,51.432950896757944,3.2712708087574893,0.9566489757452508,0.011457764991815882,2.6155448638460395,[0.419 0.581 0.    0.   ],0.0,0.0,4.947659656234846e-06,138482142.85804358,[10.806 10.809  0.     0.   ],0.0,0.0
24,[4283. 4284.    0.    0.],20161.0,403.19999999737746,[168.304 234.896   0.      0.   ],38443.85996133859,115879.0,52125000000.0,457975.08855553204,17879.0,95.34214563101503,5.349575913893942,64.0,51.53636601988382,3.1592102304006624,0.9363126829026338,0.011804969991567878,2.308169237637022,[0.417 0.583 0.    0.   ],0.0,0.0,8.78609282600541e-06,129278273.81036468,[10.623 10.625  0.     0.   ],0.0,0.0
