id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,cell_traffic,cell_dropped_traffic,num_requests,ant_switches,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[1733. 1734.    0.    0.],10081.0,201.60000000059856,[ 77.019 124.581   0.      0.   ],15692.492664801086,375458.0,5596500000.0,44012.56737415755,5417.0,48.0,77.83202393015623,1.231465132427401,16.25791092153556,27.590683954631928,2.322956255830566,0.6545977581589129,0.009225275270310486,0.6704691994841782,[0.382 0.618 0.    0.   ],0.0,0.0,7.864302219987054e-06,27760416.666584246,[8.596 8.601 0.    0.   ],0.23809523809453118
1,[1618. 1618.    0.    0.],10081.0,201.60000000059856,[106.367  95.233   0.      0.   ],16815.69638425691,235840.0,7824000000.0,1909789.1858560601,6763.0,80.0,83.40291828317883,1.6967364348776603,16.113084019442514,38.38000688195342,4.663149178335559,1.2584069040769765,0.009622061303442118,1.275369506993354,[0.528 0.472 0.    0.   ],0.0,0.0,0.00024409370984867845,38809523.80940858,[8.026 8.026 0.    0.   ],0.39682539682421863
2,[1769. 1770.    0.    0.],10081.0,201.60000000059856,[ 92.82 108.78   0.     0.  ],16286.241610620427,299750.0,6693000000.0,490899.24556867476,6174.0,48.0,80.77691504125399,1.4828687630196615,16.107925801011806,32.69186956482443,3.1388839157767925,0.8929669675627417,0.009820454320007936,0.9115167146116456,[0.46 0.54 0.   0.  ],0.0,0.0,7.334517340036976e-05,33199404.761806194,[8.775 8.78  0.    0.   ],0.23809523809453118
3,[1679. 1680.    0.    0.],10081.0,201.60000000059856,[104.223  97.377   0.      0.   ],16746.927366535503,241342.0,7575000000.0,1675154.5700625754,6593.0,80.0,83.06183596137855,1.665072909433749,16.116258307707568,37.10758850563107,4.18665624312144,1.1394702906457692,0.008134113679198493,1.154944945937903,[0.517 0.483 0.    0.   ],0.0,0.0,0.00022114251750000996,37574404.7617932,[8.328 8.333 0.    0.   ],0.39682539682421863
4,[1739. 1740.    0.    0.],10081.0,201.60000000059856,[ 78.451 123.149   0.      0.   ],15755.389521258558,364706.0,5763000000.0,384220.20298221416,5554.0,56.0,78.14398135728307,1.2493205039183288,16.20394802102966,28.17976129990126,2.4791419916895667,0.6884237674833846,0.009324471778593394,0.7054855669080449,[0.389 0.611 0.    0.   ],0.0,0.0,6.667017230300437e-05,28586309.52372465,[8.626 8.631 0.    0.   ],0.27777777777695306
5,[1742. 1743.    0.    0.],10081.0,201.60000000059856,[ 93.842 107.758   0.      0.   ],16309.975288210024,298628.0,6627000000.0,722435.0386552601,6098.0,56.0,80.89462993853448,1.5000892768575784,16.178156928876103,32.23579268262172,3.2353672950396315,0.9007042952088087,0.0082333101874814,0.9158813609760936,[0.465 0.535 0.    0.   ],0.0,0.0,0.00010901388843447414,32872023.80942621,[8.641 8.646 0.    0.   ],0.27777777777695306
6,[1651. 1652.    0.    0.],10081.0,201.60000000059856,[105.598  96.002   0.      0.   ],16797.59235898767,236785.0,7534500000.0,1552150.3663132046,6554.0,88.0,83.31312547854985,1.6949905763318807,16.115861521674436,37.0575310310622,4.24983480186809,1.164666203749628,0.007340541612935225,1.1792480904672156,[0.524 0.476 0.    0.   ],0.0,0.0,0.00020600575569887911,37373511.90465094,[8.189 8.194 0.    0.   ],0.4365079365066405
7,[1611. 1612.    0.    0.],10081.0,201.60000000059856,[106.274  95.326   0.      0.   ],16865.807438983597,234792.0,7572000000.0,3776761.9934772607,6546.0,144.0,83.65146036594196,1.7078464438053487,16.144033330026783,37.1557443575888,4.812460265049586,1.2493800218232318,0.009026882253744668,1.2657474456899118,[0.527 0.473 0.    0.   ],0.0,0.0,0.0004987799780080904,37559523.80941229,[7.991 7.996 0.    0.   ],0.7142857142835936
8,[1598. 1598.    0.    0.],10081.0,201.60000000059856,[106.918  94.682   0.      0.   ],16877.97821518642,224792.0,7545000000.0,2177691.8783928924,6530.0,120.0,83.71182529106292,1.7138775915089508,16.110703303243724,37.056121086666025,4.674431529426001,1.2475944846741396,0.009225275270310486,1.2636643190159706,[0.53 0.47 0.   0.  ],0.0,0.0,0.000288627154193889,37425595.23798412,[7.927 7.927 0.    0.   ],0.595238095236328
9,[1714. 1715.    0.    0.],10081.0,201.60000000059856,[ 93.348 108.252   0.      0.   ],16320.637381764951,294183.0,6825000000.0,637042.9254259886,6214.0,64.0,80.94751206111637,1.4960420593196346,16.189663723836922,33.546526151746065,3.3932092340535207,0.9391925404225772,0.009622061303442118,0.9559567503223887,[0.463 0.537 0.    0.   ],0.0,0.0,9.333962277303863e-05,33854166.666566156,[8.502 8.507 0.    0.   ],0.3174603174593749
