cluster,weekday,time,Delay Sensitive,Delay Stringent,Delay Tolerant
0,Mon,0:00,66296.50667,687.714424,142211.204
0,Mon,0:20,57557.43538,433.3125098,134062.4459
0,Mon,0:40,50411.23885,279.2146665,130575.9723
0,Mon,1:00,45915.6936,225.798983,128134.3521
0,Mon,1:20,42288.23141,202.8315138,123244.2046
0,Mon,1:40,38292.4702,150.5147559,115684.7659
0,Mon,2:00,35240.03051,120.7117296,110723.3003
0,Mon,2:20,33884.62698,115.3375853,109605.5978
0,Mon,2:40,34730.58023,133.332088,108337.2668
0,Mon,3:00,36296.58371,163.8985883,109239.1031
0,Mon,3:20,37423.17299,174.5903877,115475.3304
0,Mon,3:40,41814.93829,202.5031485,124335.7902
0,Mon,4:00,49412.62885,278.9068846,131730.6181
0,Mon,4:20,55317.82134,364.5425448,138583.6633
0,Mon,4:40,63263.93229,488.8769214,152906.3314
0,Mon,5:00,72863.00365,651.9229644,174758.2441
0,Mon,5:20,79029.42287,757.6440833,197267.6544
0,Mon,5:40,84433.19501,937.3940345,217796.9656
0,Mon,6:00,92584.52539,1447.9829,243928.2056
0,Mon,6:20,102038.7997,2761.837058,272227.5008
0,Mon,6:40,110806.0095,5284.135602,293634.3456
0,Mon,7:00,112524.1105,8219.197563,300945.1772
0,Mon,7:20,107152.5918,11003.21342,296650.7806
0,Mon,7:40,104837.7722,13760.5053,302217.8634
0,Mon,8:00,107500.7051,15442.44771,316749.2018
0,Mon,8:20,109942.6738,14417.54904,326047.3504
0,Mon,8:40,109521.5583,13143.69524,330831.9679
0,Mon,9:00,107732.1781,13031.07024,327864.4806
0,Mon,9:20,106957.7612,11985.32202,318658.2832
0,Mon,9:40,112230.2558,9927.105249,325022.051
0,Mon,10:00,120748.7104,8676.982025,340400.4967
0,Mon,10:20,127711.3015,7614.849553,345936.8753
0,Mon,10:40,134080.9923,6521.248219,352454.7973
0,Mon,11:00,135576.9881,6074.476008,358437.7154
0,Mon,11:20,132983.2357,7063.126153,356148.0213
0,Mon,11:40,130460.0685,9628.194644,362267.7019
0,Mon,12:00,130936.4319,11359.41524,370510.5786
0,Mon,12:20,132938.9541,11123.13381,362972.3397
0,Mon,12:40,132769.2799,10917.36735,354493.1651
0,Mon,13:00,132534.4753,10773.10617,339467.2495
0,Mon,13:20,132178.5307,10188.63361,319323.2329
0,Mon,13:40,135441.7042,10583.78491,334941.8199
0,Mon,14:00,141368.4407,10928.63238,370771.039
